	1/44.0550mz/1.27min	3/40.0341mz/1.37min	4/40.0334mz/1.41min	5/40.0281mz/1.51min	6/44.0898mz/2.11min	7/45.1029mz/2.19min	8/43.0922mz/2.21min	10/58.0836mz/2.25min	11/62.0384mz/2.35min	13/75.0380mz/2.46min	14/43.0922mz/2.56min	15/43.0938mz/2.62min	17/43.0900mz/2.73min	18/44.0531mz/3.04min	19/78.0691mz/3.10min	21/40.0256mz/3.13min	23/40.0257mz/3.27min	24/40.0249mz/3.30min	25/45.0645mz/3.33min	26/41.0794mz/3.39min	30/40.0250mz/3.68min	31/40.0255mz/3.73min	32/40.0251mz/3.79min	33/93.9932mz/3.95min	37/43.1008mz/4.12min	38/40.0272mz/4.19min	39/91.0622mz/4.23min	42/55.0679mz/4.51min	46/41.0800mz/4.64min	47/40.0260mz/4.67min	53/43.1074mz/4.86min	55/43.0993mz/5.15min	57/40.0252mz/5.23min	60/43.0956mz/5.52min	61/91.0559mz/5.55min	62/91.0501mz/5.67min	63/60.0589mz/5.71min	64/40.0255mz/5.89min	65/43.0791mz/5.97min	66/104.0594mz/6.00min	67/91.0533mz/6.03min	69/43.0818mz/6.08min	72/70.0849mz/6.13min	73/42.0820mz/6.35min	77/192.9742mz/6.86min	82/57.0838mz/7.08min	83/106.0432mz/7.11min	87/125.9557mz/7.26min	88/57.0831mz/7.27min	89/40.0265mz/7.40min	92/57.0895mz/7.50min	100/56.0900mz/7.72min	104/43.0921mz/7.86min	107/43.0949mz/8.00min	108/57.0883mz/8.12min	109/57.0942mz/8.16min	111/68.0827mz/8.16min	116/91.0575mz/8.41min	117/43.0980mz/8.55min	122/57.0830mz/8.74min	124/105.0295mz/8.78min	126/40.0232mz/8.85min	131/43.0759mz/8.97min	132/71.0832mz/9.24min	135/56.0894mz/9.30min	137/266.9887mz/9.33min	149/57.0960mz/10.70min	150/41.0885mz/10.81min	152/57.0866mz/10.91min	153/134.9981mz/11.23min	160/43.0802mz/11.62min	164/43.0915mz/11.85min	168/57.0865mz/12.12min	170/57.0808mz/12.24min	176/85.0348mz/13.06min	178/85.0955mz/13.45min	180/57.0928mz/13.46min	181/43.0959mz/13.60min	182/43.0669mz/14.18min	189/57.0948mz/14.70min	192/170.0620mz/15.10min	193/57.0955mz/15.91min	194/149.0195mz/15.96min	196/71.0537mz/15.97min	199/105.0235mz/16.45min	203/57.0982mz/17.05min	209/221.1299mz/17.46min	211/57.0843mz/18.13min	215/149.0141mz/18.93min	217/57.0895mz/19.16min	219/163.0344mz/19.71min	220/149.0110mz/19.87min	221/57.0969mz/20.13min	225/57.0968mz/21.07min	227/57.0885mz/21.97min	228/57.0943mz/22.30min	231/57.0853mz/22.84min	236/57.0935mz/23.67min	Groups
ArginineBurkA	21.2355860166649	-3.62133542936373	3.7331149664763	-1.02063974139522	12.8133460653255	-0.846651295944625	-6.3371763103821	-2.04898822622799	3.73546529053069	-4.71673658849704	-4.234948365142	-3.59285914662789	-2.44337573659008	3.06700161015354	2.3765315290876	-0.110920743942415	-1.05509721130533	2.58011674136575	-3.27870735373218	-1.87691755778719	1.96049975932059	-1.82531676216943	1.30714260163441	9.8454905875522	-2.57543837950398	1.92863713235096	-3.59150521213059	-2.21840770780362	-2.85046394605206	-0.718019044801308	-2.69661038448496	-6.06664033813888	0.729994918399269	-3.18311495757294	-4.4967380775664	-4.8096154644754	-1.64140972897591	-2.50955451658809	-3.41423013032362	-4.26892687724355	-3.18541757635502	-4.98070456454735	-2.26024602297305	-2.31753037342597	-5.32748465874299	-4.1103127539906	-6.17545882010847	-2.73338150727708	-3.11874408223823	1.86672265711533	-1.58161423908519	-2.16224746672819	-3.9548667864638	-4.7237515086193	-3.25579951334128	-3.78673947522095	-6.7240449825221	-2.73181604870772	-1.14824362213082	-0.925010489039631	-3.77367744989535	3.42984205808058	-4.26399110153223	-4.58316595998972	-3.30744375246756	-3.86277747402122	-3.88774539315749	-3.56562175508682	-4.25041189040316	-2.30534305678445	-3.10001748621662	-4.51572295052908	-2.91200614081115	-1.79161777294069	-1.42856423172514	-1.55955803296109	-2.86104948768427	-1.5133713191724	-1.9359208317719	-3.14535338605486	-1.11007152352089	-2.26259798642779	-3.03963508073968	-2.79685735537085	-1.81680942482189	-3.56483464483738	-5.14852735068234	-1.88560821646342	-2.96556544502903	-1.9180119155686	-1.06571188089764	-2.27842345310157	-2.10568720042698	-2.37128836946877	-2.80662038355115	-1.31501446924256	-3.03777907880042	-2.11670225966113	0.1 TSBA + AA
ArginineBurkB	3.9971805253093	3.35622046923282	-8.00862927465073	5.51835309742366	-3.67917524007115	-1.52786408462119	-1.58559373170202	-3.38261267303201	4.69781367360571	1.61574837729326	6.49456652306483	-0.271168479883749	-1.81418224087877	-0.933426736546215	7.07969824987236	1.18512169407781	0.85017367011177	2.89837045738737	4.43744008102474	2.75466612369589	3.28872148997205	1.03347034555608	1.77866007431496	15.0623602590839	3.31267081835069	-3.12128101214435	2.7435464178498	-0.517362009110396	-1.63138514256866	0.20011690862371	0.13480027248707	4.3726810203919	-1.03845993458322	3.28624938981727	0.414638312447939	-0.551819850695663	-1.64140972897591	-1.01748408405227	0.281815099045747	1.18369010674118	1.14399827824036	2.93756018941165	-0.378209158686888	-0.578111591330505	0.898241264787077	2.3728599894913	-0.62988329885438	7.09283374648508	-0.360259172302985	-0.291013723326109	0.403365580342421	-0.318356580886686	-0.40427841405839	0.700699208392842	1.19317182152343	-0.883431829396255	0.594739072389943	-2.73181604870772	0.801262969212512	0.199932545838809	1.23434808953457	-4.01604823551021	0.472749107522147	2.02192845874388	0.112171021769432	1.29311961992858	-0.210054150579942	3.79948175366581	1.63778545971041	6.89589973100441	1.21967448314157	1.13701527096548	-1.67805199216961	-0.812302770764682	-1.42856423172514	-1.55955803296109	-0.749112810595014	-1.5133713191724	-1.9359208317719	-1.51317308851577	-1.11007152352089	-0.985102481369246	-1.36738261861096	-1.46333662448153	-1.81680942482189	-3.56483464483738	1.26189433451972	-1.88560821646342	-0.287373604839513	-1.9180119155686	-1.06571188089764	0.0529650152319021	-2.10568720042698	-2.37128836946877	-1.55731240078015	-1.31501446924256	-1.34814484302766	-1.19023628335822	0.1 TSBA + AA
ArginineBurkC	-4.33526410056589	-5.15480107657574	-1.15337560710292	-0.304373659753563	7.89456435343938	1.75950409570891	-3.06004197902319	4.47645415260693	-0.629142775761636	2.67651889891595	-1.59191351910676	10.2491984361555	-5.5539913433136	-1.99777416270682	-1.94064938540333	-2.94120089420118	-1.65912369619151	-2.39115224471505	6.38401067040329	4.57408176583676	0.253064482656574	1.24779287719107	-0.464454503076055	12.8477783251754	3.36697773942339	-0.0185342478211426	-1.48212579020155	0.167498941197108	-0.8294920701135	-1.19899634800836	-2.39797560054351	2.23952733370635	-0.896636138495785	3.74964758041591	0.709662784644517	0.454692811149513	-1.64140972897591	-0.891481469342595	3.22282267241753	2.46324264153737	-0.939743601423006	2.41017466263235	2.23384010811432	4.72087080677502	0.792578531939868	0.899920979916213	1.40635958313036	5.28422936129385	-0.370356996122169	-1.8204204696884	0.874912582126456	1.72969795668125	0.594317495497955	-0.834757445787179	5.53803194954114	0.925701623943399	1.00957318662401	-1.00220122113743	0.822754158068374	2.36605445255047	3.57373472423001	3.31222354962935	0.171262692423306	-0.779844232360335	2.91476634581479	0.634845172623269	0.475702145322605	2.95250785165023	0.628140634833891	3.32610269565598	1.25716489155692	1.35775107501154	0.00684246598131817	2.94955458657373	2.89202553374176	1.18161126444967	0.973990239568665	4.05392279862601	3.93047535152275	-0.17697442390764	3.06150656368571	1.41101608140633	8.87360301889897	17.6965056820844	6.19001940708272	-0.33685241039498	0.7593003256118	1.89847965423213	8.14085472031641	1.45264350206112	6.08047137862732	6.76137727168896	1.4664292737633	2.11353253640207	3.42369715898919	-1.31501446924256	2.5140699344727	1.50295043227219	0.1 TSBA + AA
ArginineControlA	0.858586201007116	6.86243060466166	-0.436810101505916	-1.21597794775044	-3.86383225730798	-2.20306904347609	-5.1755696821801	-4.35247156219166	-2.55546383689708	1.21523258667528	-2.78283276339577	-2.94579538302746	7.89548700322134	0.291780474063571	-1.69276580207753	3.2863961629786	-1.64912309151067	0.159423399353138	-1.46154675411574	-1.38639841403421	-1.27782127058363	0.0312734904010503	3.178748198412	-5.72178425218945	-1.58007620017445	0.667865608188603	-1.93077733033152	-0.871452643267745	-1.23758650685801	-0.0362909724071871	-3.35059176870922	-2.91993679148621	-0.980334723005475	2.88663471058354	-0.646740539737483	-1.72571658143273	-1.64140972897591	1.18630431492735	-2.01582099357192	-4.26892687724355	-1.39250553297354	-2.10853106913207	-2.26024602297305	-2.31753037342597	-0.289095680211952	1.77840299089493	2.0978774686264	-2.73338150727708	-0.653355955803006	-6.31180879401724	-0.281161636004425	-2.16224746672819	3.1862465499887	-0.266534658062468	-1.28973758021874	0.0303894651828535	0.39520594919534	-2.73181604870772	-0.928544903792269	-2.52483506189177	-3.77367744989535	-0.479336852497737	-0.173857786941092	1.49709405040612	-2.33598165728556	-0.083300825988052	2.17643963007354	-2.91729236348427	1.51174386631077	-2.30534305678445	-0.297771914859005	-0.340013741853724	3.79579336981733	1.05010478383399	-1.42856423172514	-1.55955803296109	-0.292050971387124	-1.5133713191724	-1.9359208317719	-2.59857903284522	-1.11007152352089	-2.26259798642779	-3.03963508073968	-2.79685735537085	-1.81680942482189	-0.508484122160315	-0.115913450881872	-1.88560821646342	-2.96556544502903	-1.9180119155686	-1.06571188089764	-2.27842345310157	-2.10568720042698	-2.37128836946877	-1.61969403124001	-1.31501446924256	-1.12715545518748	-1.03918695015397	CTL 0.1 TSBA + AA
ArginineControlB	-2.41648811674263	-5.41996187678807	6.53477419967303	-1.32019628961695	-3.21163137429483	-7.22664573075962	8.7978472439332	-2.33487884506666	0.751029266254485	-4.48051969777633	4.82040869007266	-2.46662619252107	11.6578503658033	4.10884628242159	-2.14038288416337	-1.45792702699975	0.45578361736105	-0.308526440353905	-2.52252642760424	1.66656864866186	-1.96004279702627	1.57123373329093	-2.32808653194968	-5.53254988660376	3.29991460581043	0.600936605255344	2.21309603601773	-0.409169874662695	-0.42262802623492	-0.549242299140404	0.427829820447316	-2.91767264785545	1.0773479668829	-2.28702205451181	1.64968553266964	0.826639796509486	7.35895949159805	-2.28021067432379	-0.6502528320121	2.27422477929355	0.743128952111854	0.0835698710461664	1.50472629099886	3.08513229394352	0.554531268585344	0.578720586650153	4.27502074017794	-1.86924567567663	7.43104076878741	-1.19182416867023	2.32129488593002	2.6510053166573	1.76536143056137	1.39380073154268	-3.10697322285625	-0.756135501143521	0.635770294555171	4.26606578283012	0.598228835546601	-0.0287354022159806	-0.102759313523718	-4.01604823551021	0.557715821657776	-0.912478972589083	1.12573405044441	-1.14928077376059	1.12352031889292	-0.738371074084833	-0.146339508923112	-2.30534305678445	0.717201999910282	0.500012623342465	1.00348990868388	-1.79161777294069	-1.42856423172514	-1.55955803296109	0.13283529826948	-1.5133713191724	-1.9359208317719	-1.79263976799445	-1.11007152352089	0.189092860133814	-3.03963508073968	-2.27633103877676	-1.81680942482189	1.82007824088393	0.782129090800875	-0.337270226434402	-1.76952662266536	-0.342571308867642	-1.06571188089764	-2.27842345310157	0.176666969065222	-0.908736979510293	-1.12168673734069	-1.31501446924256	-1.56023181030996	-1.57093968845473	CTL 0.1 TSBA + AA
ArginineControlC	3.64328579116182	-6.22839156624025	2.32099989338545	-1.87284152975897	-2.94545775075421	-4.60994094987761	-6.08566980076486	-2.77660233615446	-1.8710483918133	0.884455781470615	-2.15338416115268	-2.2573350780729	9.38049064885631	0.366852200060446	-2.87400202485669	0.338949194612924	3.66916510823414	-4.84252164949173	-2.15496985410415	-2.16658632713807	-0.174337160630222	-0.802154395708878	3.22914374241793	-5.69504601764539	-1.49447475036736	1.9517080817372	2.28601635436972	-0.919246340452082	-1.20378028977143	2.39025749887554	-0.5437594681301	-1.27887732257186	1.84459037166819	-2.88578717749301	1.16530067710316	1.41871615733802	-1.64140972897591	-0.690894245510537	-1.14981689307787	-0.70351772515621	-1.15588799846675	1.93496400402173	-2.26024602297305	-2.31753037342597	-0.37752125508129	1.58876934197363	-1.84406615848291	-2.73338150727708	-0.55391939395797	1.86067487041255	-0.844638556306652	-2.16224746672819	-1.64238542785064	1.00230992582738	-1.36636626225918	4.07052071002236	-0.632790607651805	-2.73181604870772	-1.9043824214039	-2.52483506189177	-3.77367744989535	3.86188286299653	0.00182420699820502	-1.82018983216151	-3.30744375246756	0.0611887524748456	0.309278320138553	-3.56562175508682	2.73986605918687	-2.30534305678445	-1.2931256897039	-0.499555743671051	-2.91200614081115	-1.79161777294069	-1.42856423172514	-1.55955803296109	-2.86104948768427	-1.5133713191724	-1.9359208317719	-2.60144952659945	-1.11007152352089	-2.26259798642779	-3.03963508073968	-2.40778519863632	-1.81680942482189	0.860205449216965	-0.52830746048838	-1.88560821646342	-2.96556544502903	-1.9180119155686	-1.06571188089764	-2.27842345310157	-2.10568720042698	-2.37128836946877	-2.16224640367447	-1.31501446924256	-2.43540756089727	-2.63810173707222	CTL 0.1 TSBA + AA
TSBABurkA	-8.27005787889327	2.65817084478999	-8.00862927465073	3.92517950463128	-2.01855422003231	-4.64668289844047	-3.76175627979456	1.35187799054055	-1.43943387390698	0.402231464788354	-4.54606114545783	3.73604636457107	-3.46335448767665	0.270371627114985	6.33481151017024	-0.690119353205858	3.2445313761751	-1.7850816467906	-2.12035337259769	-2.11076983788918	-2.37883098442603	2.25123672400022	-0.114143577871735	0.0319894575535555	1.55537990756043	-2.18188217867158	-3.67348250998233	-2.21840770780362	-2.44009162068887	1.70865424852962	1.70375373875974	0.517974340198414	-4.57684846688985	-1.42709045875886	0.416127340350502	-2.10315716468879	-1.64140972897591	2.02155003603367	-3.41423013032362	-4.26892687724355	-0.878911986952066	-2.8656591303598	-2.26024602297305	-2.31753037342597	-1.96977251276913	-1.89268022291798	-6.17545882010847	2.84329861601353	-1.80326948977252	-0.288438240921494	-1.47353824301445	-2.16224746672819	2.98031335967481	0.588841746233663	-3.04893544716176	-1.89173812752919	-0.220628093718361	-2.73181604870772	1.57072055525744	-2.52483506189177	-3.77367744989535	-4.01604823551021	-2.33550250069629	0.473576745285489	-3.30744375246756	-1.74661957941915	-3.88774539315749	-3.56562175508682	-2.85642441147448	-2.30534305678445	-3.10001748621662	-2.58809434781429	-2.91200614081115	-1.79161777294069	-1.42856423172514	-1.55955803296109	-2.86104948768427	-1.5133713191724	-1.9359208317719	-3.14535338605486	-1.11007152352089	-2.26259798642779	-3.03963508073968	-2.79685735537085	-1.81680942482189	-3.56483464483738	-1.46094764123851	-1.88560821646342	-2.96556544502903	-1.9180119155686	-1.06571188089764	-2.27842345310157	-2.10568720042698	-2.37128836946877	-2.80662038355115	-1.31501446924256	-3.03777907880042	-3.28662727744832	0.1 TSBA
TSBABurkB	-5.50351147181029	-4.99219584542726	2.97712572899537	-0.641589863384244	-4.07945757714248	12.62646983563	5.00915206312673	-0.947947367029494	1.19300096197147	-3.96720046143861	12.3439998724161	-6.02644239039542	-5.5539913433136	0.542450183332929	-0.32316612009069	-5.81155890999182	0.146359750854532	-4.84252164949173	-0.986235322330129	3.88413037572905	4.21843881829931	-2.65954206560147	-1.30289550441366	-2.43299636491491	-3.00547097323537	0.578698715279158	3.01299256397028	-0.360181466961182	3.34300468807346	1.27171754228921	0.929842435373408	3.10703809417188	1.27260577712673	1.41704005375255	-0.447669166090434	1.45433712585144	9.05513779816105	2.22234310308854	2.01182660311707	2.693689402812	0.490310808187431	6.30490082480831	2.05906522409882	0.140277582192843	3.24232310342371	-0.499545500315089	1.71944213187005	2.76210307246479	1.54710592881954	2.29777462793409	1.68992863574384	-2.16219244465815	1.51799748420445	0.333917434900331	1.64288259071934	2.34341889785211	1.42250907120966	0.817024689776463	1.9472669378983	1.93174887375972	3.50553011057119	-4.01604823551021	1.98121747761566	-0.34434423532917	2.64627378629912	2.27094137212016	1.54857357052735	5.54745176455564	-2.7976658744326	2.95377369204147	2.96439499666484	3.28594009588003	1.7040833193215	3.86456010243038	7.66461308147012	3.15732744005363	3.35753675472584	2.6818258807615	6.61316811258228	6.03454606091471	-1.11007152352089	3.36323151555816	7.86602804965309	2.14156331695059	6.15910820228704	2.80923080797568	2.51489177970179	3.33592680463612	5.57732739784175	4.46391042497106	-1.06571188089764	3.14988628976653	4.28690371316366	3.99657864606655	1.56184270202395	2.53898472408984	2.27503562445333	0.438140416472958	0.1 TSBA
TSBABurkC	-0.085600043629699	8.08612162656558	-5.00314640319589	-5.34552101026804	-0.402152918683365	7.03996117204294	2.71385406845421	7.23093786531983	-2.30278900223404	1.23663057428146	-4.90489597110386	3.72737962186767	-4.00497419269769	-1.5905185731053	-2.31539723430553	1.49313663670253	1.32624436267421	3.02113523628928	-1.50117027326859	-1.99850670743082	2.54825347707142	-3.57776763026359	-1.12131743941109	-1.29855738940789	2.26734151283305	-2.63763282266062	-2.90517451918176	-2.21840770780362	-1.84957931960881	1.9810232316263	-0.635619695908941	1.08898540076281	0.940805446553943	-2.91978400829933	-2.37501911039417	1.52172154458795	-1.64140972897591	-1.35174035437708	-1.87494423879126	-2.21038281772361	2.42724717274212	-2.20906318653798	-2.26024602297305	-2.31753037342597	-1.3525528419975	1.1257774106778	-6.17545882010847	-0.295946281682264	-0.790373130813244	-0.876604554289755	-2.38340310991305	-2.16224746672819	-2.09447596957301	0.565280384739653	-2.92251185856611	-1.38334176973742	-0.0918997150005132	-2.73181604870772	-2.13918777129435	-2.52483506189177	-3.77367744989535	-2.54893467147657	1.06804349326413	1.66322095365004	-3.30744375246756	-1.51888228107316	-3.88774539315749	-3.56562175508682	1.8776661830872	-2.30534305678445	-1.99238914551437	-1.02070953400035	-2.91200614081115	-1.79161777294069	-1.42856423172514	-1.55955803296109	-2.86104948768427	-1.5133713191724	-1.9359208317719	-3.14535338605486	-1.11007152352089	-2.26259798642779	-3.03963508073968	-2.79685735537085	-1.81680942482189	-3.56483464483738	0.87489672935494	-1.88560821646342	-2.96556544502903	-1.9180119155686	-1.06571188089764	-2.27842345310157	-2.10568720042698	-2.37128836946877	-2.80662038355115	-1.31501446924256	-3.03777907880042	-2.41576159424877	0.1 TSBA
TSBAControlA	-4.86179779559545	3.0133471480666	-8.00862927465073	5.21823503689864	7.20103776873833	4.19748875222616	0.297378475272828	-1.1266814927786	-2.85373485960738	2.07243918485175	-3.28397472078988	-1.98771274158208	-2.23668150852763	-1.10833168136376	-0.622407598150404	3.44734879037113	2.13731508810778	1.5754752129246	5.70118864010439	-1.21300211758064	0.421316975134763	-0.230038198196749	-3.96302519691451	-5.53309834903517	-3.41789600500577	2.62671232326808	-2.33899051132765	4.90803690976455	5.28312416749683	-6.50730457907277	3.6467822803927	1.5055844373152	1.83107154614973	-0.478511351069376	2.15855809294427	0.352781463166797	-1.64140972897591	2.33009569007044	1.67177186324535	2.44847995541269	1.61663026079917	-0.0977811903861058	1.42084429114489	0.308107434495909	2.19342734549547	-0.868781806245627	3.42907980583316	-2.15036530251294	-0.0118368185800433	2.73730772339347	0.317721972010279	3.28343127202613	-0.0718350288746785	0.869219228715411	3.43957582473042	-1.1539241254616	1.20162685286058	4.31942645400746	0.0444170124247014	2.25456290391738	4.07411611403769	1.94555131988374	1.12538507865936	-0.0660922522734152	2.85810029571669	2.46543605495998	1.63426759132682	2.03289156885767	0.550509728688906	0.627398192156637	1.24925062584039	1.31940105998881	2.82608865700305	1.08198911467374	0.372632385207084	2.40379606270165	2.66888027936019	2.55871268223988	-0.738707268992904	3.9181935006547	-1.11007152352089	2.51354805514278	1.38271399743082	0.555927273288388	0.10572727939559	2.52645927409779	0.10741770208185	2.30272265899835	1.08128642574985	1.80597155634563	-1.06571188089764	1.0124931840444	1.2482615288091	1.12009249817822	0.691812483916756	-1.31501446924256	0.414555237395109	0.0166150662155274	CTL 0.1 TSBA
