	1/44.0593mz/1.28min	3/40.0349mz/1.40min	4/40.0285mz/1.51min	5/44.0910mz/2.12min	6/45.1038mz/2.19min	7/58.0839mz/2.25min	8/62.0359mz/2.34min	10/59.0722mz/2.38min	11/79.0126mz/2.39min	12/75.0379mz/2.46min	13/43.0922mz/2.57min	14/43.0944mz/2.61min	15/78.0654mz/3.05min	17/78.0691mz/3.09min	18/40.0279mz/3.15min	19/45.0760mz/3.24min	22/45.0652mz/3.33min	24/77.0313mz/3.37min	25/57.0764mz/3.44min	26/40.0257mz/3.63min	27/40.0240mz/3.68min	28/40.0260mz/3.74min	30/93.9953mz/3.94min	31/44.0450mz/3.97min	32/43.1009mz/4.12min	33/40.0253mz/4.18min	34/91.0605mz/4.23min	38/40.0251mz/4.47min	40/55.0686mz/4.52min	41/44.0523mz/4.65min	42/40.0261mz/4.67min	48/43.1059mz/4.86min	50/43.0993mz/5.16min	51/40.0254mz/5.22min	52/40.0255mz/5.49min	53/91.0571mz/5.55min	56/91.0544mz/5.67min	57/40.0241mz/5.85min	59/43.0814mz/5.97min	60/104.0584mz/6.01min	64/43.0838mz/6.08min	65/70.0878mz/6.13min	66/40.0259mz/6.36min	67/40.0270mz/6.40min	71/192.9773mz/6.86min	75/40.0248mz/7.04min	76/57.0887mz/7.08min	79/106.0439mz/7.11min	84/40.0252mz/7.30min	85/40.0260mz/7.40min	86/103.0325mz/7.47min	89/57.0895mz/7.50min	100/84.0866mz/7.72min	103/57.0921mz/7.86min	106/71.0992mz/8.00min	108/57.0965mz/8.12min	110/68.0836mz/8.16min	113/91.0588mz/8.42min	114/43.1009mz/8.55min	117/42.0759mz/8.57min	119/57.0782mz/8.75min	121/105.0308mz/8.79min	122/44.0443mz/8.84min	127/71.0869mz/9.24min	131/41.0830mz/9.31min	134/43.0655mz/9.73min	148/57.0955mz/10.70min	150/57.0856mz/10.82min	152/41.0854mz/10.85min	153/57.0867mz/10.90min	155/134.9959mz/11.23min	158/57.0782mz/11.45min	161/57.0849mz/11.62min	166/57.0908mz/11.85min	170/57.0877mz/12.12min	173/43.0869mz/12.24min	186/57.0926mz/13.46min	191/43.0685mz/14.19min	193/57.0770mz/14.26min	196/73.0619mz/14.69min	200/57.0934mz/14.71min	205/57.0951mz/15.92min	207/149.0133mz/15.97min	208/71.0667mz/15.97min	212/105.0176mz/16.45min	215/57.0953mz/17.05min	221/221.1332mz/17.46min	222/57.0843mz/18.13min	228/149.0115mz/18.93min	230/57.0865mz/19.15min	232/149.0036mz/19.87min	233/57.0949mz/20.13min	238/57.0996mz/21.07min	243/57.0997mz/21.97min	246/71.0959mz/22.30min	247/158.9526mz/22.52min	253/57.1006mz/22.83min	257/57.0957mz/23.66min	259/102.0383mz/23.71min	Groups
AspragineBurkA	14.2464606586995	-4.78375596719652	-1.34434865675388	-1.06405055750174	2.76449781824524	4.37823491801387	-0.949457253060438	-0.777903057897142	-0.863654326214439	3.52408667419737	0.990983775888867	6.49865335115726	-4.31022395423818	-0.778901368343829	0.517567838064383	1.50195306219707	-1.6553005421038	0.181562971268416	-1.56515782214245	-1.57472389759527	1.48812098575231	-2.66437210159285	8.6644211819428	-0.708933149031904	-2.39971773607346	-1.07717904460962	-1.74624928734583	-0.0805951645128292	-0.96721601376149	-1.4140326751572	-1.56976433816116	-0.261941990288675	0.0623058771552175	-7.24322380011728	-0.598564544806309	1.53462893490581	-2.91148010669762	3.55680054776183	-1.1350199385375	-1.63175455832952	0.463472996192619	-2.0075218296731	1.88697187809583	0.129467565122437	-1.49784766431942	1.38034720561042	3.93364118649397	0.0449945161515461	-0.292965711747004	2.94743713724516	-1.77614213166091	1.40924287163373	-1.92910839249075	2.01139862933966	0.813756169083378	-2.46215551457587	0.797291191403821	-1.99691378786042	1.14072501671942	-1.35488804112495	-1.42867734993131	1.73155061693506	4.32618587642237	2.68657489798515	-0.908013431152835	0.44949682461355	0.380577364399092	-3.66064215116119	3.97558641817475	0.750154958958298	-1.73253805879393	-0.117636021965892	1.33907525896119	1.38271609554059	2.73864219387139	-0.0363117273422306	-1.25840814256881	-1.04492745005153	1.71264442147088	0.242710837436704	-1.49822233740884	-1.20842587800716	-1.05356221088765	-1.31899707822967	-0.711780929321766	-2.39090292773272	0.635190571405402	-0.612408087044954	-0.168529238822206	-0.383069426846599	0.909551083466431	1.88069048094685	2.98161430528571	4.08395573407048	-1.47841254213136	4.02707652029681	4.86139747731144	6.38918154335578	8.28960135112337	0.1 TSBA + AA
AspragineBurkB	-0.370842583229076	7.27548088668771	-1.84016998215193	-1.62930054397015	1.27912034691658	4.26062270506093	2.4761870299019	-0.620140188130831	-2.10670792701859	0.563072806244346	-2.73821138298386	6.10132351739074	0.850423438786458	-2.00899699078557	0.974830960657579	3.21836055303782	-0.283279851063703	-1.45855719636339	-1.21106572021414	1.63849934221384	2.21132677428368	-3.37227607139845	2.93264542915151	0.361325788700688	3.55044916859979	3.21759199855921	2.67842399028872	-2.70538872089249	-0.478220751478849	1.49233958940654	2.23117237621358	3.41851758747452	-0.0903490280147679	1.64529180417817	3.86996075625424	-1.73672763194557	1.08070127457315	1.23253410949193	-1.13499545066008	2.2440121673767	3.4573026919167	-0.0215076584850593	-0.429319898934297	2.30573933116654	0.186875036686318	-0.125863757464582	2.89298914619662	-4.3929172381653	-5.03816390356016	-2.07274784377489	-1.77614213166091	0.209900271653674	-1.92910839249075	1.98460910440779	1.81787581641369	2.76236375105691	0.727708093470642	-3.5105405411341	1.02627102176873	-1.6027259185925	-0.547603003274542	-2.40582296953176	-0.572613050550574	-0.104149630009793	-0.778197939954748	-0.160266675160986	-1.09869676200229	1.18365122635168	0.342190320125198	3.59804732751329	-1.73253805879393	-0.154806577881438	1.34595620250639	1.62361387327235	-1.89551232517961	0.231430462054918	-0.681926106292373	-2.7422452994814	1.79846509615705	-0.340595459014104	-1.67679294296919	-0.502144463135283	-1.89227066807321	-0.7327211370572	-1.71690516543281	-2.06210860469331	0.39884600838281	0.0111466973071955	-1.53522412024664	-0.380918490196372	-1.23521645216661	0.755291997255507	2.16536000034726	3.20830188008922	-1.47841254213136	1.28264474176951	3.38647604781938	3.61278958498226	3.46103925308915	0.1 TSBA + AA
AspragineBurkC	-8.67233504141066	-2.60648806930243	-1.9542479222553	9.15779193587234	2.92471168956353	-0.231125335738194	2.92113282014659	6.42722220943498	0.731268715193559	1.10590197302245	-2.43033176507012	-2.41153291593968	1.8132841553194	-2.73175976740192	0.832439785846283	-1.290777583776	-2.71165023203064	-2.66045669203377	3.03327752990524	4.39016685069434	0.302244937980426	1.40652607023478	9.26159996240476	-1.10574662278779	3.48827098882126	1.64911121849305	2.60512348765752	-6.09131657941432	-0.0817263500453215	-0.986161649197872	2.21204709929425	-0.762390569472565	-2.1464298917234	0.705856078921874	3.36531217257525	-0.695303659629818	4.46895481874411	0.525375489604772	-0.336166986722572	-1.51225643533718	-2.40205343751009	-2.0075218296731	-5.37439638521702	2.97386690618263	-1.73437324658781	0.086805146034489	1.15087024829296	-2.76069733270299	0.158806517938865	-1.8907224308437	-1.77614213166091	0.493826883140021	-1.92910839249075	-2.20674108056627	1.64981377040266	2.94713086387363	0.524726780979144	-3.5105405411341	1.58665876745629	-1.25355407771529	-1.36418802849187	-2.35173538389855	3.25509550662988	-0.542123459184033	-0.800600200422756	0.280504394493807	-0.286006015846969	-3.54438704215447	4.12099995548782	2.59834940315002	-1.73253805879393	0.0491075849904192	0.822138677542091	1.12700704679754	-1.74866930131255	-1.22395062504553	-1.40747555661098	-1.4977357654065	0.0551535825077486	-0.211905447146467	-2.19893142176767	-0.557100929134361	-0.337249897223137	-0.0627256843320317	-1.71690516543281	-2.61191273454012	-0.864714280214109	-0.644314625072929	-1.01248746245807	-0.956984631045914	-1.32666445660763	-0.681519921775799	-1.67883471359386	-0.881694649599241	0.92706119853747	-1.14897540930441	-1.92301724099653	0.848414320475174	-0.159380935126108	0.1 TSBA + AA
AspragineControlA	5.09493903094211	-4.02733140181977	-1.27099278906435	-3.51486419170748	-1.02529189634273	0.294997138854502	1.281155730059	-1.62648490692243	3.29917857068929	-0.867622998299301	3.56037171193754	-2.84855338037103	-4.31022395423818	-0.39343797624502	2.87598375727233	-0.931937059691126	-1.44289065258019	4.2084576662115	0.0727304441243577	1.72546811782925	2.08781859918507	-0.383072271665374	-4.72323170520502	1.46775660819914	-5.07934915045444	-6.05616458561164	1.68044591672082	1.60839739502592	-1.04759696348945	-2.24010765281783	-2.55899063982998	-0.730912190141823	0.23513174855292	2.18538604043705	0.475090901255643	1.50469205613255	-2.69373117082993	0.835200787323437	-1.7761120182962	-2.08324840876569	2.12737254238588	-2.0075218296731	-5.37439638521702	1.63196860577284	-0.169190494162655	2.43146137579391	-0.584694577324531	2.58583117476996	3.32252321312505	-1.13120031769077	-1.77614213166091	-0.220494894107958	-1.0446799132595	0.536406534351871	-1.54425335270122	-1.07014977581064	-0.518899852686895	3.20049125717007	-0.611493186035952	-0.646845231655171	-0.892759192509717	-2.52117444750022	-0.865079228896476	-1.77112627554396	-1.31592984663181	-1.72700029287497	-0.301455521876921	-1.96064414320078	-0.116795386238394	2.75041468735345	-1.73253805879393	-0.500162159312787	-0.0244951245962964	0.30285844466013	-2.23040631952063	-1.78917025931365	-0.708148634377823	-1.59118958569971	-1.59942029352908	-0.600073705440371	-2.37368414565223	-0.882703830878421	-2.99184913266278	-0.0299129884962326	-1.71690516543281	1.11437918093855	0.870661739043391	-2.49205932771341	-2.69179191973223	-2.30584082398753	-2.1064292800595	-2.92639739090757	-2.11923522023873	-1.93809551480922	-1.47841254213136	-1.14897540930441	-2.11980435350371	-1.99559428849458	-1.2879177410096	CTL 0.1 TSBA + AA
AspragineControlB	8.02786130565642	-0.549453351237707	6.09649548585556	-2.13969584988525	-1.89311149466527	-0.18946357489246	-1.58082277632464	-1.68521627607942	-1.82985171500913	0.614353761234167	-3.65656901781403	4.5013066791743	-1.5883447730838	-2.32619293641316	-3.38255653667727	-0.119341618762206	2.9178453230048	-3.5005831502563	-2.10557941988379	2.03289420059437	-1.67668194895719	1.32386159775617	-4.84201375581294	1.22189368145683	1.62749840472442	0.651465025992592	1.78512285762329	0.897508043710279	-1.23419449515561	-3.12841007904033	0.963508759435458	-3.26054162552574	-0.764894998837553	0.788051274488553	1.32884980540487	-1.99061962491906	-1.48547923033111	-2.27098911279419	-1.80307764245781	-2.99891367846501	-1.48199814495279	-2.0075218296731	0.963414496353954	-5.69936815148822	-0.00407691855315408	3.63564427320107	-1.08957509126555	2.074468734147	-5.03816390356016	1.2376698772562	-1.77614213166091	-0.335612042901578	-1.92910839249075	-0.253374885116378	-1.91330195018319	-2.00483990071502	-0.694408556137548	-0.327156505950678	-1.68984601918824	-1.85140986702911	-0.504347887075966	1.33294066453578	-2.96610414841899	-1.44950869640945	-0.542348061162511	-1.72700029287497	2.20654121243664	2.70224631091178	2.10422014919813	-0.473573394556775	-1.73253805879393	-1.0764898981714	-0.0579870937293568	-0.192944014430388	1.63273128395778	-0.359241163061613	0.494396212789822	3.85744972462252	-0.0206937612669411	-0.735063737281339	-0.650111321521878	-0.677725814375131	-2.99184913266278	-2.1799352932456	-1.71690516543281	0.929574755962938	-0.378089097297664	-1.47005667034091	-2.69179191973223	-2.30584082398753	-2.1064292800595	-2.92639739090757	-3.64738168908887	-4.00780791832584	-1.47841254213136	-1.14897540930441	-3.32859504711776	-3.55770818173632	-1.2879177410096	CTL 0.1 TSBA + AA
AspragineControlC	-2.50574034978195	-2.69757220008659	-1.38282093725591	2.03612307975259	1.28579328103664	-0.862539376277914	-2.46471542320573	-1.24757070672225	-1.34606915386487	0.489491598076495	7.8068655544669	-3.93528693189932	2.29049768774214	7.94795070906712	1.29351630890068	-0.947471415122122	-2.03653474840488	-1.74354088049379	-0.914668868259477	2.97162441875539	-1.21999595841723	1.77200521721548	-4.73808493283736	-1.44128799771176	-2.35103299879388	-3.66238640447246	-3.20612095426054	1.1006350489324	1.84163594953098	3.75927929950075	-0.10557953093266	2.51913057615054	-2.6859218145392	0.323457671590902	2.03576698908818	2.17657943008162	0.207095680686685	2.20699620135993	3.79299767786159	2.03710904561858	-0.992168137443254	2.68508130364731	2.81973256391982	0.215843034477496	-0.712147280182599	-3.14910010621159	-0.877658770539661	4.10775664331623	1.77958329509544	-1.37401315836624	2.57653609519614	0.523435691123506	3.30920306214264	1.49964211507621	1.56866802434384	3.28354156282645	0.860094825632525	2.27597001214775	0.703067009520758	4.61650038327732	2.20547074463971	4.07913064694607	-1.7989689577138	-0.394342189644954	4.87949327654044	4.88667407172784	1.45950858672391	3.78355148854857	-2.9689876564799	-0.549830273288604	3.62167833507794	3.87960069522519	1.84311338762881	1.85436891955423	1.0932678508852	3.54205213427884	0.867829194233155	1.91616163316108	3.151366872461	-0.400830264607654	-0.821506346866702	1.13876914987405	0.527390469620084	0.0932652045233402	2.49409757277199	2.54598093351843	-0.150617705861589	1.79668699927197	-0.231897473767212	1.53660044348559	-0.528523317935912	1.9040407352279	1.48830838538719	1.82817931048029	-1.47841254213136	5.03105742167335	1.47087785661738	-0.0772583478608593	-1.2879177410096	CTL 0.1 TSBA + AA
TSBABurkA	7.29173315509077	-8.86714491927875	3.65143289787931	-2.13237405477211	-8.54831160836333	-3.08875898550614	-1.16370454771837	-0.300964008712192	1.56213144751242	-0.983102121865133	-6.69506716025681	2.1990847050724	-1.75686797465059	5.73859628926242	-1.28775979076395	-1.62395839122597	-1.2267901617796	-4.47194748149987	-0.00381311019888705	-0.0450150167770321	-2.5881357284621	2.49930678936811	3.58959862901149	-2.88396287736875	1.2562932658381	0.366916602093053	-4.37268024702486	0.632819525443929	-2.72115365576108	-2.46688140909434	1.44382929653261	0.0456021048013036	-0.122945877443953	-1.62826973077807	2.40646687757743	-1.25382180032856	-2.28365362838616	1.65997544529257	-3.75710714480513	-3.82045441941171	-3.53547928995927	-2.0075218296731	-1.03131620647144	-0.0428118267101501	-2.44327352309009	-0.518962433611248	-2.25617306072739	-6.71315846281792	0.245274083084224	-1.24289551801002	-1.77614213166091	-1.83191036532727	-1.92910839249075	-2.2971112859759	-2.69700254675234	-3.21257054707463	-2.26604923883241	-3.5105405411341	0.889268029779674	-2.67479469305221	-2.9336620674983	-5.20419628766497	-3.49372313204877	-0.0905408429423012	-3.85235316319147	-1.72700029287497	-4.48440665006551	-3.52642421012323	-2.9689876564799	-4.74440803784731	-1.73253805879393	-2.6330345482795	-3.81944189669181	-3.12088332469383	-3.51741047840213	-2.79845661736417	-3.63443589973839	-2.7422452994814	-2.74140053009294	-1.31586357451791	-3.80143102359388	-3.18660755902882	-2.99184913266278	-2.94802929460574	-1.71690516543281	-4.14738757592392	-2.88330056182314	-2.49205932771341	-2.69179191973223	-2.30584082398753	-2.1064292800595	-2.92639739090757	-3.64738168908887	-4.00780791832584	-1.47841254213136	-1.14897540930441	-4.38918545330296	-5.0116902611816	-1.2879177410096	0.1 TSBA
TSBABurkB	-8.82800346620681	-2.02544981125527	-0.739704535668259	-3.73532800512724	10.1134362885643	-2.26489211094278	1.93051933522175	-0.909936560018869	2.88590689434514	-6.21565820792152	11.4635615993827	-7.54895607987691	2.55830221966602	0.515959988743792	-5.97503221261311	0.663775144617987	-0.0903884047033095	2.83577247321618	-1.2287668591855	-4.20837940810625	4.09202953935884	-1.87516832487359	2.42629121512488	1.14872031027433	-1.10269617495722	1.85163976934779	2.37642268777254	-0.255891607108408	-0.840761124682044	2.4438229741772	1.02820672894105	-0.323420210967414	4.06026446974621	0.352847000959898	-4.43458272946453	2.08211917903326	0.854482661453414	2.42128771591734	1.83124438663458	2.18018344039863	5.17919069260973	2.98951824764264	2.39639103673504	1.11879548069356	3.78095408261039	-0.138156738037418	-0.886053201147814	1.32676497826997	1.18094111113356	2.01916865830077	5.19002933884288	1.72914334570804	1.37618739886165	0.577343458006072	0.538006674539525	1.80652101812943	0.968351866621107	0.167782077360645	1.25724701224844	2.67766532589362	2.18779402730281	2.92787029811504	-2.27109381368052	-1.08886698176316	-3.85235316319147	1.93498479132269	1.23296909804706	5.46471059457956	-0.492731268950549	-0.929376226392649	4.59419261129941	1.66387680230224	1.96331331371661	-0.175232078946724	1.4068537094828	3.68292751519574	3.04125548398317	5.97237340515845	0.94200224371295	5.23022224018834	5.77542659065502	3.0262370063542	9.6335832836395	7.05087921404103	7.17938773785467	2.38805794101851	2.79495187418008	3.05206544964192	7.47345555065164	4.27423200298504	4.36281606330301	3.51193070245244	2.77321238535375	0.181634950396231	1.93865764147353	-1.14897540930441	0.663785721164316	-1.55428228516293	-1.2879177410096	0.1 TSBA
TSBABurkC	8.86566378453888	8.17640369452657	-4.78514081208613	-0.102007630619272	4.0778261189033	3.01812832834617	-2.17851183605793	-1.27940987950968	-1.69992391040381	0.0161216244465102	-4.06959449412089	2.19043078869248	0.521397001813845	-2.97730351117218	2.78348841437631	-2.18995035702084	-0.843108466511556	-3.3878926380068	0.0780957295925298	-1.44225566885908	2.40085812437666	-2.69311493863276	1.65625080896072	2.82547852019159	2.02762014179404	-1.25887683581598	-3.59717601524506	1.55562427089394	-2.72115365576108	-3.32902736860852	1.70291189241015	-2.17786645104516	0.799649934747653	1.03508419029134	-4.43458272946453	-2.17171945628153	0.918597537462178	-4.96815502843808	-2.1717808034394	0.323349667423477	-2.20335910882807	-2.0075218296731	1.7424790053333	-5.69936815148822	-1.70619653976254	-0.871099153381626	0.712419051715423	-6.71315846281792	3.00480250362682	-2.52194641148529	-1.77614213166091	-2.83095386986783	-1.92910839249075	-2.94603812026632	-1.03655685353803	-3.07732839530316	-2.0126563880618	-3.5105405411341	-2.7362303257815	-2.67479469305221	-2.9336620674983	-5.20419628766497	5.26913196400272	1.3614978469256	-3.03384285245678	-1.72700029287497	-4.48440665006551	-4.0087911985953	-2.9689876564799	-0.149295026653982	-1.73253805879393	-2.6330345482795	-2.5729633966888	-1.75292270686381	-3.51741047840213	-2.79845661736417	-3.63443589973839	-2.7422452994814	-2.74140053009294	-1.54205193717961	-3.80143102359388	-3.18660755902882	-2.99184913266278	-2.94802929460574	-1.71690516543281	-4.14738757592392	0.452728030677155	-2.49205932771341	-2.69179191973223	-2.30584082398753	-2.1064292800595	-2.92639739090757	-3.64738168908887	-4.00780791832584	-1.47841254213136	-1.14897540930441	-4.38918545330296	-4.20333435644992	-1.2879177410096	0.1 TSBA
TSBAControlA	-8.47113935288965	3.21076698369356	5.55409235436961	10.0443845073087	1.00684628567571	-4.92068614126987	-2.82610614945055	3.90507349210792	-0.0411109833693009	1.01703330034814	-4.3422698629203	-3.51620353857561	2.74534676176654	-1.27145704344089	2.49895683658966	1.58491900902732	7.8607663624152	10.4042298834583	5.23705069138621	-0.895736552868944	0.247196417040033	0.813273508125898	-4.49673850660325	2.53066396864652	-1.41729226494034	2.38132819208593	-2.59320922700032	0.328340493569482	4.49030043819703	4.5430969775236	-6.37134817513513	2.10657381478183	1.47275865895764	1.27810447952004	-4.43458272946453	1.95865652223261	-0.104935648686144	-4.96815502843808	1.48101851917846	1.85870243596216	0.367979700727137	1.48696395173688	2.4272936361933	0.763533770332292	2.52837423512711	-1.83905132041282	-1.24918964978074	3.06780721480598	-1.60774504429363	2.51064850455726	2.33989573114703	0.230368985400471	2.70920402436663	0.933225230317378	0.622137573313712	-2.46884120021606	0.533560598763339	3.79797136388508	-0.602308175762465	0.748992335061931	2.29939740514114	3.08980666547026	-2.98921814767794	-0.749242208163947	2.92988888822102	0.109298978977044	1.32309348544044	1.29364843527675	-0.959719067462868	-1.05975059835877	1.79555703650238	0.434992554636789	0.0578546432539645	-1.54154184626619	2.60376524048295	0.373792116950491	2.30197843294065	-2.05159399630261	0.0727751884700908	-0.449207381078032	3.56755849272591	2.08789515517047	2.12788258288374	3.84041360558203	0.427481278568023	2.09812713201095	-0.643377519572696	1.95502929442134	2.12358520123717	1.53376754855273	1.81555530422513	0.451547892783479	-0.127091573772743	-0.652741309954392	-1.47841254213136	-1.14897540930441	-1.10570075475389	-1.94555101057969	-1.2879177410096	CTL 0.1 TSBA
