	1/44.0555mz/1.26min	3/44.0592mz/1.36min	4/40.0341mz/1.40min	5/63.9885mz/2.06min	6/44.0904mz/2.12min	7/45.1035mz/2.19min	9/58.0864mz/2.24min	10/62.0403mz/2.34min	13/75.0397mz/2.46min	14/43.0919mz/2.56min	15/43.0918mz/2.62min	17/132.0126mz/2.76min	18/45.0747mz/2.97min	19/78.0680mz/3.09min	22/45.0692mz/3.28min	25/77.0320mz/3.36min	26/57.0750mz/3.42min	28/40.0261mz/3.67min	29/40.0255mz/3.76min	30/40.0260mz/3.86min	31/93.9909mz/3.94min	33/40.0286mz/4.04min	34/43.1014mz/4.11min	38/91.0635mz/4.22min	39/44.0440mz/4.32min	43/55.0702mz/4.51min	44/56.0865mz/4.64min	51/43.1037mz/4.86min	52/60.0522mz/5.10min	53/43.0982mz/5.15min	54/40.0249mz/5.19min	56/43.0950mz/5.51min	57/91.0575mz/5.54min	59/91.0530mz/5.66min	61/60.0528mz/5.72min	63/102.0261mz/5.78min	64/40.0260mz/5.86min	66/43.0839mz/5.96min	67/61.0362mz/5.96min	68/104.0612mz/6.00min	69/91.0518mz/6.03min	70/43.0868mz/6.08min	73/70.0894mz/6.12min	75/42.0831mz/6.35min	80/192.9757mz/6.86min	83/72.0640mz/6.95min	84/58.0595mz/6.96min	85/105.0422mz/7.10min	91/125.9495mz/7.26min	92/94.0496mz/7.39min	95/76.0376mz/7.47min	97/57.0878mz/7.50min	106/105.0491mz/7.61min	107/118.0256mz/7.67min	109/43.0982mz/7.71min	113/43.0949mz/7.86min	119/71.0951mz/8.00min	122/119.0726mz/8.09min	123/57.0979mz/8.11min	125/68.0845mz/8.16min	129/91.0614mz/8.41min	131/43.1003mz/8.55min	133/42.0748mz/8.58min	135/57.0837mz/8.74min	136/105.0363mz/8.77min	137/40.0250mz/8.84min	138/57.0838mz/8.90min	140/40.0184mz/8.91min	141/43.0782mz/8.96min	142/55.0634mz/9.08min	143/58.0588mz/9.10min	144/71.0904mz/9.24min	145/57.0947mz/9.29min	152/61.0385mz/9.72min	162/55.0624mz/10.19min	163/105.0243mz/10.34min	164/58.0643mz/10.61min	166/57.0964mz/10.69min	169/57.0911mz/10.80min	174/43.0757mz/11.02min	175/135.0011mz/11.22min	183/43.0831mz/11.61min	187/43.0950mz/11.85min	192/57.0915mz/12.11min	193/55.0760mz/12.11min	195/41.0750mz/12.25min	202/104.0228mz/12.49min	205/43.0545mz/12.77min	207/43.0674mz/12.96min	208/85.0368mz/13.06min	210/57.0948mz/13.45min	214/73.0509mz/13.58min	215/57.0828mz/13.60min	217/43.0696mz/14.18min	225/57.0996mz/14.71min	227/43.0803mz/14.88min	228/170.0557mz/15.10min	229/102.0573mz/15.26min	230/57.1007mz/15.91min	231/58.0751mz/15.91min	232/149.0186mz/15.96min	236/71.0699mz/15.97min	238/55.0658mz/16.08min	239/74.0592mz/16.21min	240/105.0168mz/16.45min	241/83.0563mz/16.60min	245/57.0999mz/17.05min	251/135.0473mz/17.22min	254/221.1327mz/17.46min	255/105.0289mz/17.58min	256/43.0869mz/17.67min	257/141.0152mz/18.11min	258/57.0900mz/18.12min	262/41.0642mz/18.39min	263/105.0101mz/18.47min	265/149.0197mz/18.93min	270/85.0990mz/19.15min	271/60.0526mz/19.73min	272/149.0139mz/19.87min	273/57.0936mz/20.13min	276/43.0961mz/20.37min	277/71.0845mz/20.51min	280/57.1007mz/21.07min	285/43.0957mz/21.43min	286/85.0961mz/21.73min	287/82.0829mz/21.82min	288/57.1006mz/21.97min	291/57.0898mz/22.30min	293/97.0909mz/22.35min	294/246.0891mz/22.48min	296/158.9697mz/22.51min	297/73.0506mz/22.67min	300/57.1030mz/22.84min	303/57.0847mz/23.14min	305/57.1014mz/23.66min	Groups
GlutamineBurkA	-1.8514432606485	-6.14561275613766	-4.52058401838168	3.91498360597479	-2.85327631709597	-0.383181444620402	2.4937306991769	0.81979409864202	-4.46161736668368	5.10927706056777	5.68171069070638	0.211016642073497	1.53189634007824	1.12639773086562	0.626569870457411	2.34148560928807	0.56643649006447	-1.07710257397278	-1.14689706614009	0.792485126805337	12.8903862819307	-3.88792623301219	0.758302406377721	-1.03268132254514	2.11286737349837	-0.873026109929253	-1.43043355605835	0.0349311283587807	8.62579748568674	-1.44761471923691	-1.0572837054147	0.581491606468362	-0.833857594299338	1.37534442168661	-0.487184483251225	-0.612887868092386	2.34112250534762	-0.13799807269487	3.4225946831588	0.923077151070305	-0.330348953527824	1.20526865253611	-0.0830092149051755	0.81637425619481	-0.649988040856501	-1.96586045768581	-0.192530716317314	-4.2152886196396	5.29790614028949	-1.54923650546639	0.0606632435100966	0.429646042422199	0.651633432764189	-0.165567179708794	-1.0333213466391	0.855287605277055	-0.21777068329195	0.0600183453223497	0.491748703777306	0.200310954475669	-3.02662008528985	-0.231006748589639	2.7414273417084	0.700179439606082	0.335342713157811	5.13950912330314	0.7513115312727	-3.11219372771668	0.392952436394578	-0.225366671295993	-0.676123064203791	-0.721932183126061	0.0228285488146506	3.51712664977114	-1.04131915066242	2.12639109105613	-0.267831864736517	-0.693291354646933	2.36909838198177	1.32296101819477	0.740180760651738	0.373553854273912	0.108322261599457	-1.15198697458993	-1.67328777665683	0.0681790486345992	-1.41334859061822	0.332054273060402	0.0720968933318317	-0.656329901376605	-1.09671535016465	0.937701205625262	0.610692173070701	1.58292484996897	-2.7411074595967	-0.190593349265032	-0.749038513137788	-1.47608163344624	-0.823345169311445	-1.11004898488621	0.508122534603617	3.01040500794049	-1.14305109543802	-1.59013703308048	0.793469393381846	-1.47595218521605	-2.55706054871538	-0.271657199793041	1.69461326593023	-0.98478601798295	-1.00402591292537	-1.77451583647582	-0.432627916591991	-1.5252556026448	-0.954331314645855	4.08860087855892	-1.82456440687071	-0.56614351302707	1.05905728516601	-1.53517409993743	-0.909126368203176	-1.25916836843185	-1.744636247957	-1.86642635886928	-1.27050347266171	-1.02179768448123	-1.48598673138694	0.212018980427533	-1.51549004279197	0.782396961899104	-1.46131035710016	-0.0196123777468256	-2.49005275578237	-0.541070878512971	-2.48021810526633	0.1 TSBA + AA
GlutamineBurkB	-2.64835998466395	-8.21710416364187	4.4302185524233	9.26710735632079	3.78207205371345	4.1501772181311	9.07058125975515	0.0994230038710149	-2.55819957958927	10.5863809224343	5.71427866245869	9.49861957662617	1.98855909291063	0.291677031439137	1.98662306685474	9.87499135439751	0.344619011315191	0.616285521620825	-4.1969801567898	-2.00959659997872	18.871604852543	-0.621226087093364	2.58590879570672	-2.82151054267227	4.5936372328058	5.3340066625834	2.10755412128576	-1.40287929293493	2.70895838654086	1.00780049565305	0.421471059473448	1.47447282087855	-1.06533425000251	-3.83890611627497	0.0714359924800315	-0.267782995550373	0.78324910767504	5.17522835664437	3.38158255234681	2.06860175027704	1.58435794020542	3.98755690440259	4.18289384199417	-3.09689444654619	3.55432215517292	0.285124582921109	3.67151288095428	2.68532813353541	7.01420014546448	4.49690288994719	2.81244522031487	2.47117689099243	2.49823653425833	-0.155336431266022	3.40528456705556	0.740374074039881	1.42720169235809	-0.357514993774915	-0.21672525475935	1.49938081412596	1.85582629990827	4.45914857907699	-1.14142188396911	1.51612155180069	1.94080991402949	-3.63630642708139	0.44061797871057	2.0659643090056	3.65461447446467	4.20691118616652	5.71994105025799	0.346961422143985	3.05688195335751	6.37680167230292	4.23021938258283	3.88674029624629	4.68665893761277	1.82798003603905	3.69621438046145	2.19958530603492	3.16083694116215	1.95705388643307	5.38714823447631	1.75707785981999	4.9981206962493	4.13614298525871	9.1183348645992	6.43603508532513	8.52708147144778	8.07707359219284	1.7023626688815	4.78215775536399	5.38085233270967	8.05703009159164	-0.214667366901337	5.80281718521072	0.181566700813506	6.14206277565924	1.22353701098372	5.57743447028159	16.932670905823	4.3288230767122	6.33787082326437	-1.59013703308048	6.00929772988446	4.99971936008432	2.04713976920314	4.28359801297896	2.35139893984772	4.51037833474535	4.64154717542705	9.83113491979163	3.3809248849034	5.26284041732984	8.12923454332629	9.38526352536656	5.5234074727681	6.22159318377836	12.71916480058	4.27337242066443	6.92218804600186	1.7983899826861	6.40134577309021	3.23434809162845	1.44339666583955	1.20515679261055	6.7145541228779	0.646222395187435	1.26194487612516	5.28867250348777	9.15894741281059	6.86562745524871	8.55451119783098	1.35133959296849	8.25882548764253	0.1 TSBA + AA
GlutamineBurkC	16.0519618198974	10.5682744933307	-5.19134039009174	-1.68801000605393	7.20812680379268	-1.27154208174577	-4.68292795161712	9.7167229161153	3.1729600547951	-3.74004026051467	6.01883660080672	-2.69358451872271	-3.51714569240711	-0.0548520788724878	-1.20490232479453	4.11358665326545	1.49705606063645	2.32066752592752	3.26321692776984	1.21677151084334	14.0713532517153	3.32372270620348	2.52832430969779	4.1975776833071	0.418810570410089	-1.1539699341042	-2.11322319556238	-0.714194472745406	-1.92779478891187	-3.20422312159157	1.72549151157777	-2.14889124158697	0.617272729554549	1.35506963625607	-2.11622056182465	6.22296976227277	-0.476335451538018	-0.483439499604337	4.61522450542417	2.20678126183257	-0.0909554045500097	1.90569216035228	-0.376178489769994	3.78003859984733	0.416094772094309	-1.96586045768581	0.52625181505436	4.05640599815656	4.65521972332923	6.5131453847637	3.19612820859572	-0.0202263285192014	0.280565681445573	0.786742871138208	-1.47326171831684	0.506249668272547	0.108029870275992	-2.22525494184114	3.75308286494073	0.554493886643998	0.8067616823056	-1.22634272244333	2.17724656399004	-0.326455638032118	9.56716722879507	-2.18215693094665	0.086446478600404	-0.397157670818146	0.965033764993324	0.423465180974883	-2.01915556745461	-0.987021588883204	-1.33530442384482	2.46889218640951	-0.653403402126762	4.87242287351296	-1.90799230755853	-0.369522933844575	-1.32685085535754	-0.997181297278601	-0.818613508985278	0.0700218079390138	-0.0260140247653511	-1.5826284872611	-1.67328777665683	0.156911868306758	1.48809315850855	-1.89543868302538	-0.483216500420855	-1.81068143966369	-1.40571350016599	1.95268042124849	-0.692908938108942	0.625901738427007	-2.3272552352994	0.19395643145409	-0.106800763106514	8.61875355880315	-1.49964417825105	-1.11004898488621	-2.00586954401146	-1.31287967730646	-1.14305109543802	-1.59013703308048	1.18803637916558	-1.47595218521605	-2.80539674785174	2.16159451545798	0.086676247134864	5.33748184508415	2.61658442689776	7.26899685587724	0.198263715290333	-0.458419036087914	4.13489479481311	-2.03570517023191	-1.82456440687071	-0.560158053507652	-1.24351838021997	-0.00503614929965218	0.881465666952856	-1.25916836843185	0.49701150227493	0.145876296712377	-1.27050347266171	-1.02179768448123	2.61258430451884	-0.745051624264563	-1.51549004279197	5.33290646192165	5.454156158191	1.54953819193897	3.68188960905671	-0.614975463450718	8.67814578081521	0.1 TSBA + AA
GlutamineControlA	-4.19388880109303	-8.27978276283024	5.47597056763948	-1.43453908399973	7.88351930455761	2.39276650556928	-1.43881978560807	-2.06434136091092	2.16839336966355	3.39537439648584	-4.16005734056796	0.617053144175026	0.851189913238428	6.16913934298978	-0.319395545998638	-4.97589348408324	1.12150835862666	0.684448288380345	-0.316438255547521	1.27024439160142	-6.0785600296679	0.985939989101895	2.85377349463274	-1.63880447721972	-2.25090337113291	-1.31270254766004	2.66954799992112	2.57352233821367	-0.95247158981729	-0.929890570860121	0.965703315964842	-1.55043856651883	-0.230388011849787	0.624462186087063	-0.228097239633512	0.807865538026285	-1.49403994668334	-0.236754753153591	-1.26882241565886	0.521885205046843	1.23927229501311	-1.80322548173274	1.40124096429286	1.27732542940297	0.525776670091133	3.18264953831566	1.32059118225642	3.80562976008286	-2.84259004988273	4.30734012098268	0.0902352844755329	-1.70766519996293	-0.192390009946072	3.09308393865163	2.72539475596871	1.26574178424859	0.402633429540046	3.61840209535961	-0.89715826515813	0.797324142519575	3.25110283358821	0.350110592191848	-0.169928289947257	-0.095072214267025	2.84619960069969	4.88851520705458	0.830822575720809	-0.152447714891796	0.98534820735375	-0.250618243802891	1.22513816298494	-0.2881869956041	2.27376482629144	-1.37364672316484	1.07249722039058	3.36704473874641	2.55966107920124	0.408128151615215	2.27286485727479	0.915028166759972	6.8420572145774	0.844573357209258	0.24866951906224	-0.257165799733916	-1.67328777665683	-0.0672132363809303	-0.580980905960001	-0.349751431976	-0.449917291816141	1.79311131477128	0.491410509545029	-1.196760205534	1.32036641045546	-2.39489029261199	-0.876959028543828	0.447702780060142	5.0011505830853	-1.47608163344624	5.57388902468928	1.61999639066705	1.56401753537854	6.76809718537411	-0.244775523861749	9.6454803436142	2.61875887385434	3.06830013342902	1.32944840137427	-0.0862488432900482	0.298728639440521	-0.98478601798295	-1.00402591292537	-1.77451583647582	-0.420575295588171	-0.152071672337147	0.171839014976732	0.599647756506799	-1.82456440687071	-0.56614351302707	-0.571098231766934	0.611689587989493	-0.908614594901462	-1.25916836843185	0.950595174238954	-1.86642635886928	-1.27050347266171	-1.02179768448123	2.20502683943266	-2.445671235916	-1.51549004279197	-0.693541743674945	-1.46131035710016	-0.67566399130749	2.35838610905131	-2.42835785455417	0.872864156893224	CTL 0.1 TSBA + AA
GlutamineControlB	-4.09465060203008	-8.01599361942044	1.91900113513916	-1.18752883867887	-1.58208319556015	-1.90988068008056	1.21431482658947	-1.95480596324924	-3.9291442088483	-9.14612066601757	0.00434668024839772	-0.602733157619902	-0.241190448896228	-0.859678237740959	-1.58211695343589	-4.77505528709697	-0.228911898718242	0.599381144007077	0.282173114233655	1.89478606343742	-6.11063488932265	-0.0296897225466138	-4.40504446926978	3.70789133833335	-0.120944977478442	0.907470327745012	0.0973206221993988	1.18652322648106	-1.92779478891187	-2.82261767013458	2.29492759886738	2.84238236271496	1.58194728325267	0.0330212794558947	-2.11622056182465	0.579399231068086	-1.74800941976363	-0.998415632886053	-1.26882241565886	0.536528110336983	0.993576739205381	-0.62513752574833	1.5662768006121	0.075702908436628	-2.26977858321785	1.21848987742613	0.443813887549055	2.04636728098779	-2.26401305573985	-2.22860575269015	-0.0845516398138517	0.424577547751863	-0.286133634211206	6.29069902663984	5.37016247452301	-2.20249069190201	0.473934331510023	8.4494436155496	2.82866929289072	1.3695064219499	1.8812235871429	-0.622516929185366	1.87086461597461	1.08824270770472	2.17933930280222	-3.22908878124205	1.11233595654008	4.12262061590239	0.390710914721843	0.914231229188094	1.41739885914723	-0.473044366878517	2.90016795934529	-1.37364672316484	1.09963870594465	-0.154333754376741	5.03639694351174	0.38398623485076	1.18052689244018	-0.238216023007715	4.11582518923608	0.785939648127125	-0.303003855029839	-0.44465511788773	-1.67328777665683	0.907255101607673	-1.41334859061822	-1.89543868302538	-1.04530030923448	2.42149214868521	0.16209210037202	-1.196760205534	0.897840381978128	-0.132876351164967	-1.59039614076744	-0.471173394503644	-1.63269046780152	-1.47608163344624	4.34361479359573	0.622494966232773	-3.69800019660613	-1.9157015894482	-1.14305109543802	6.25588998719059	-3.11816244663143	1.0746549944279	1.74471045933182	0.310649002186997	-1.63643599689674	-0.98478601798295	-1.00402591292537	-1.77451583647582	-1.40096676384478	-1.5252556026448	-1.66524348036192	-4.14967315755875	-1.82456440687071	-0.56614351302707	-3.1554647780936	-2.39500924406895	-1.76578980780196	-1.25916836843185	-2.47846988406831	-1.86642635886928	-1.27050347266171	-1.02179768448123	-2.45585110250998	-0.760311953450452	-1.51549004279197	-1.35003271313119	-1.46131035710016	-0.71260879359959	-1.93874822132446	-0.369395447490183	-1.45261029263514	CTL 0.1 TSBA + AA
GlutamineControlC	4.86548129777201	10.3032945323054	2.60611642699193	-1.55212198519499	-4.95618798394384	-0.829464932943015	-0.525857971454769	-2.03798539871765	1.37374697248071	2.18649356971013	-1.76712853652057	-2.69358451872271	1.08956006105587	-1.35487016172112	-0.862373683514139	3.70150081088351	-1.69422264375625	0.637341150080758	0.585476643824193	0.833029001135097	-6.57629055892151	-2.52409034784183	2.20146386323282	2.27623671022828	0.911498497746534	-1.28082926514295	-1.4504522584453	-1.18571203545245	-1.0525426847729	1.07728625740055	2.58137947244304	-0.133745854163269	1.01786607533119	0.183006046367258	4.62917064934396	-0.363530514423576	-1.50047175293437	0.10661577747518	-1.26882241565886	0.0784649695295814	-1.59173594933032	-1.71320300965	0.488460755930716	0.317492125743324	0.967566929586027	-0.0999020477663905	-1.27420655635794	1.6851455083305	-3.60984168958662	-2.91681685827192	-0.0591826503037417	1.3507316919717	-0.90455794008919	-0.264005457079939	1.28947952077008	0.567981659991056	-0.621610485495023	-2.22525494184114	-3.93725405980115	-0.386316678232405	0.913692451303821	-0.70571417344508	0.029415205728713	1.73141960782761	-0.941376993801908	1.80536677791539	0.0284578126975961	-0.885082946227745	0.0683721530701312	0.099005438092749	-2.01915556745461	-0.563094296032272	3.21711036570445	-1.37364672316484	1.59147911234938	-2.36127341053988	-1.90799230755853	2.93330751823329	1.89243064245	-0.305547197432869	-1.31917559252088	-0.0521750490458039	-0.32902620555022	3.44686559245623	1.63064368900393	1.3479622278865	-1.41334859061822	-1.89543868302538	-1.82102606396495	-2.87989855507123	0.661335620894327	-1.196760205534	0.0270450097192716	-1.48520155673566	0.355049468104975	-2.27280177787468	-1.63269046780152	-1.47608163344624	-1.21365659694718	-1.11004898488621	-3.60652379579275	-3.29595633261406	-1.14305109543802	-1.59013703308048	-2.47476167758131	-1.47595218521605	0.925264416934675	-0.5019052317459	1.09160412016461	-0.98478601798295	-1.00402591292537	-1.77451583647582	0.0407166155875042	-0.481293260875101	-1.66524348036192	-1.83398295131486	1.61742066012553	-0.56614351302707	-1.32250675179259	4.32301999096606	0.219610817341718	5.40549471831422	3.67008963272213	4.40517352457609	3.76084239654217	4.24842468721839	2.81066293999598	1.07360704758592	4.90602001468685	-1.12084248614972	-1.46131035710016	-0.876774078048752	0.906344557975374	3.21668754691077	-0.78079790596393	CTL 0.1 TSBA + AA
TSBABurkA	-8.18828732831754	7.99671485251926	-9.46606786576632	-2.79319383626161	-1.83408731903016	-8.01095508202767	-0.392897855474205	-1.31763441166975	0.64208006871618	-7.05695463405439	1.58633245451997	-2.69358451872271	-2.01539809880062	6.07405113907866	-1.58256810781411	-7.12730346854555	-2.28924345083294	-2.16138912955753	0.226591632229971	-5.06614066959489	-1.65885331890977	-1.97220783541104	1.14668524959111	-3.94555300248445	-2.61664307741439	-3.00593473816794	-3.75916444688758	-0.223848192607029	-1.92779478891187	0.188693760470697	-2.91106428630497	-2.42093906052532	-1.60569959074727	-3.14004390051696	-2.11622056182465	-2.86552653751857	-1.11525073504441	-4.60986154692469	-1.26882241565886	-5.90378827073348	-1.30327599454186	-3.54440289592283	-3.97650724284939	-3.09689444654619	-3.38080872959092	-1.96586045768581	-2.38203557363214	-7.92438853764938	1.46110656862315	-4.24512100098533	-3.18302829109224	-1.77119404764334	-2.68850050861959	-3.01179987988738	-4.32860292716282	3.10769361684026	-0.216852517608217	-2.22525494184114	-2.98086892287483	-2.48228312268803	-5.26878788684442	0.675271697358367	-4.12579248878379	-4.16102244449633	-6.72592499761132	-2.67677102829229	-4.29686013394113	-0.930111277456019	-3.39906167499299	-2.28830244313712	-2.01915556745461	0.0586343981492264	-6.13144379958798	-1.37364672316484	-2.86187337052598	-2.36127341053988	-1.90799230755853	-4.75888140781053	-5.75167106398367	-4.09342856574529	-4.09438214097457	-4.21032309597496	-3.71295423039625	-3.94146757106648	-1.67328777665683	-3.42203426122876	-1.41334859061822	-1.89543868302538	-1.82102606396495	-2.87989855507123	-4.16763562637268	-1.196760205534	-3.30755144979696	-3.61296127862019	-4.16162156330599	-2.27280177787468	-1.63269046780152	-1.47608163344624	-3.97607198081748	-1.11004898488621	-4.47914249162794	-4.10888867930584	-1.14305109543802	-1.59013703308048	-3.11816244663143	-1.47595218521605	-4.70302627412459	-1.93659122754149	-3.01251979040778	-0.98478601798295	-1.00402591292537	-1.77451583647582	-3.29245379985189	-1.5252556026448	-1.66524348036192	-4.14967315755875	-1.82456440687071	-0.56614351302707	-3.1554647780936	-3.81355755130965	-1.76578980780196	-1.25916836843185	-4.6037547608852	-1.86642635886928	-1.27050347266171	-1.02179768448123	-5.01087828774892	-2.445671235916	-1.51549004279197	-2.76423588968061	-1.46131035710016	-2.58857467750048	-5.32098816884009	-2.42835785455417	-5.74097807826225	0.1 TSBA
TSBABurkB	-4.97257636158787	-8.00309518057943	1.880256481128	3.58547211293697	-4.35442708784774	10.6356479110738	0.398025870200462	0.625179614936108	-3.60993590321358	8.6977394332873	-8.11992791726924	4.92033315430035	1.54722873176281	-1.24136188819331	9.02811074799417	-0.513025322104941	-0.994260286705773	3.41502797596004	0.796264624631771	1.82292355508119	-3.2565896431192	0.547061901825181	-3.32769702532458	-0.544991156603894	-1.0972712057442	-1.31873692090916	2.04818278741828	0.813159568608272	4.16482192474567	3.89950318168067	-1.85160201433102	4.41998332039462	-1.69506089170592	0.727741045780172	9.47354217452182	0.431764683713814	1.23288368775407	0.821365387792873	-1.26882241565886	0.592576938129014	0.909943750758123	6.23356412316631	0.49065067269467	-0.377370548857331	2.3246891504136	0.858531819582498	0.983962300823294	0.0386624497078618	1.98084293986309	0.883321306419535	2.24751658142443	1.36552727425462	0.92935162720592	-0.367085441905014	0.250062544226329	1.33320378254133	0.504737886522425	0.92455667943995	2.05196620954835	0.469229450765927	-1.44310665568978	0.973708313646957	1.86156240103073	0.952095065909064	-0.391459142715491	-3.78067676656402	-0.432886950753365	1.49266821267438	0.986172108102544	0.252252807163696	0.993649083707293	-1.04178654288395	0.667204723428593	-1.37364672316484	-0.48669265995771	-1.11613917527376	0.529393705812236	1.03077689588023	3.56757033731576	1.936395542021	0.760509577334363	2.57763044689324	1.83082045770488	1.06677092734921	0.656583781348974	2.35604738379503	1.28134160779799	5.00672862043285	0.76874751626433	4.32812174253077	2.50551992376265	1.9015422620343	0.838294917845789	3.97129707047374	5.51607359970016	2.59142649160718	-1.63269046780152	-1.47608163344624	0.653736157270489	1.06046605190824	3.64774054103751	3.67820164920552	1.92681191852843	-1.59013703308048	4.64302999665662	2.66494299378713	1.87415948472253	0.977322233603632	1.78635739582378	-0.98478601798295	1.77810161400351	-1.77451583647582	2.2594079573743	1.96835532375954	-0.828512427038643	3.66262741617392	2.3923440636242	-0.56614351302707	0.735525879224302	1.98458437339703	0.630443668431318	2.31943599982504	1.14693529590355	4.14399003747886	3.51310382846123	3.73803696277073	-1.223880858289	1.5962264835088	1.21782293539633	0.669643366200029	-1.46131035710016	-0.104043552850879	-0.928224809279789	4.09394958382948	-2.77061425133922	0.1 TSBA
TSBABurkC	13.978283624077	10.0675607697863	-0.825611302523454	-2.43473077802542	-3.37566977398079	4.6049359286596	-2.68922257496923	-1.95481578854367	1.45405709466159	-5.38252492876025	1.57771562910118	-2.69358451872271	-0.116224073884372	-3.43031388767497	-2.22904398976303	-6.2813333575573	-0.848863253155136	1.30352751876697	1.19530656683069	1.14960404806624	-2.77285948333297	2.60062148234836	1.84514886313869	-1.10989512050243	-1.00558752977962	-3.00593473816794	-3.75916444688758	-3.37514136223256	-1.92779478891187	1.00710281660365	-1.64269383657333	-4.1234641541558	-3.0730152437199	0.806763283617102	-2.11622056182465	-2.86552653751857	-2.5943757665053	-3.06910895161961	-1.26882241565886	-1.41765440780626	-3.34171915634692	-2.7933817989415	-3.97650724284939	-3.09689444654619	-2.48276265128652	-1.96586045768581	-2.38203557363214	-7.92438853764938	-1.39344992271657	-4.24512100098533	-3.18302829109224	-2.63478207983675	-2.35814794597466	-3.01179987988738	-4.64029903161477	-3.05045745504248	-2.46533585415456	-2.22525494184114	-2.84525644321043	-2.2510526226082	-5.26878788684442	-2.2650632487696	-4.12579248878379	-4.16102244449633	-6.72592499761132	4.5880089192663	-1.11359334388521	-0.298440925294213	-2.8512960639697	-2.28830244313712	-2.01915556745461	1.65916724947602	-5.77207335552427	-1.37364672316484	-2.86187337052598	-2.36127341053988	-1.90799230755853	-4.75888140781053	-5.36584795111893	-0.718883835497104	-4.09438214097457	-3.07087719883915	-1.92535399023511	-3.94146757106648	-1.67328777665683	-3.42203426122876	-1.41334859061822	-1.89543868302538	-1.82102606396495	-2.87989855507123	-4.16763562637268	-1.196760205534	-3.30755144979696	-3.61296127862019	-4.16162156330599	-2.27280177787468	-1.63269046780152	-1.47608163344624	-3.97607198081748	-1.11004898488621	-4.47914249162794	-4.10888867930584	-1.14305109543802	-1.59013703308048	-3.11816244663143	-1.47595218521605	-4.70302627412459	-1.93659122754149	-0.193132719192202	-0.98478601798295	-1.00402591292537	-1.77451583647582	-3.29245379985189	-1.5252556026448	-1.66524348036192	-4.14967315755875	-1.82456440687071	-0.56614351302707	-3.1554647780936	-3.81355755130965	-1.76578980780196	-1.25916836843185	-4.6037547608852	-1.86642635886928	-1.27050347266171	-1.02179768448123	-5.01087828774892	-2.445671235916	-1.51549004279197	-2.76423588968061	-1.46131035710016	-1.37897744611495	-5.32098816884009	-2.42835785455417	-5.0464950564872	0.1 TSBA
TSBAControlA	-4.77645917812024	-3.08154848236098	-9.46606786576632	-1.99886252715012	8.28634776853109	1.5364483429151	-2.0273812699277	-2.361429971359	2.26740574538426	-5.62969564246475	-4.10445988175378	-0.426558999748958	0.335316134144146	-2.39062978778548	-1.83178374494647	4.48170459230436	5.51830700410084	0.0282562682448604	-0.501186179990878	-0.917893532261552	-6.31824741409253	0.6274987250264	-3.73230294209663	-2.06830461110834	0.168737348033171	3.46460234677039	4.07450293214956	2.19123217245997	-1.92779478891187	1.60419882373482	-0.910483338226021	-1.33901589241613	1.96497907870305	0.121662908297785	-2.11622056182465	-1.39961489227135	2.46137292191683	0.480986627820252	-1.26882241565886	0.24453760275788	1.32418696473712	-0.64869209736492	-0.491289238501549	0.138419125525878	1.17649983005407	2.75808391454644	1.13315668656015	1.55064752715372	-3.07969742047041	0.705450895922825	0.414561984683003	-0.0710395076484081	1.67617946062804	-1.57690044466639	-0.397490210950811	-0.596024833532748	0.128901960442225	-0.366440718924998	-2.23510305324344	0.0724660772478949	2.3325129566754	-0.534419553843332	-0.576031005979248	1.06351673484123	-0.265318956963543	-1.75580804139842	2.24292415905701	-0.13985790735239	-0.407553182726512	1.1061924143564	0.712751582390909	-0.667429708549586	-0.00158950810068355	-1.37364672316484	-0.244980509321438	-2.36127341053988	-1.90799230755853	0.86295323554987	-0.736694975137016	0.454346644259802	-1.38705658015569	0.263881403600187	-0.0251525425964272	2.28409359324121	0.682287591710271	-0.385396749871136	-1.41334859061822	-1.10786472608709	-0.774895802639699	-1.28143738930019	1.76652369510508	-1.196760205534	0.250874940506102	-3.01189333864738	3.28495820960673	-0.353722731156519	-1.63269046780152	-1.47608163344624	-0.0455156416759935	-1.11004898488621	-1.18361490580445	1.17791017558817	-1.14305109543802	-1.59013703308048	-0.978549917052949	-1.47595218521605	1.58237696077492	-1.93659122754149	-1.11948743449933	-0.98478601798295	-1.00402591292537	-1.77451583647582	1.16084085777721	-0.0481105700926652	-1.66524348036192	-0.448909988291034	0.275010255485467	-0.56614351302707	-0.796548928464619	-0.771493542652876	-0.889997289820124	-1.25916836843185	-1.45076032945986	-1.86642635886928	-1.27050347266171	-1.02179768448123	-1.97810542994762	-2.445671235916	-1.51549004279197	-1.5034241579416	-1.46131035710016	-2.58857467750048	-2.46651487432661	-2.42835785455417	-3.10676505467095	CTL 0.1 TSBA
