	1/40.0326mz/1.27min	2/40.0340mz/1.38min	3/40.0282mz/1.51min	4/43.0921mz/2.16min	5/45.1039mz/2.19min	7/58.0824mz/2.25min	8/62.0393mz/2.35min	9/59.0753mz/2.39min	10/75.0406mz/2.46min	11/45.0926mz/2.49min	12/43.0922mz/2.59min	13/43.0924mz/2.66min	15/132.0074mz/2.76min	17/40.0274mz/2.94min	19/78.0714mz/3.10min	20/44.0499mz/3.25min	22/45.0662mz/3.30min	25/40.0259mz/3.69min	26/40.0256mz/3.84min	27/39.0756mz/3.81min	29/93.9965mz/3.95min	30/43.0818mz/3.96min	31/40.0252mz/4.15min	32/43.1039mz/4.12min	34/91.0629mz/4.23min	35/60.0487mz/4.32min	36/43.0711mz/4.41min	39/40.0253mz/4.49min	40/55.0688mz/4.51min	43/41.0819mz/4.64min	50/43.1058mz/4.86min	51/60.0427mz/5.11min	52/43.0992mz/5.15min	56/43.0906mz/5.53min	57/40.0257mz/5.62min	58/91.0555mz/5.65min	60/60.0465mz/5.73min	61/44.0420mz/5.82min	62/40.0252mz/5.84min	63/43.0847mz/5.96min	64/104.0610mz/6.00min	65/91.0517mz/6.03min	68/43.0861mz/6.09min	69/44.0532mz/6.12min	71/108.0636mz/6.29min	72/42.0885mz/6.35min	74/78.0428mz/6.40min	76/40.0253mz/6.67min	77/209.0077mz/6.86min	79/43.0779mz/6.96min	81/40.0253mz/7.03min	85/106.0461mz/7.10min	88/125.9527mz/7.26min	90/94.0505mz/7.39min	91/43.0824mz/7.47min	95/57.0847mz/7.49min	96/58.0600mz/7.53min	102/103.0400mz/7.49min	107/118.0253mz/7.68min	108/84.1018mz/7.71min	115/57.0926mz/7.86min	118/57.0905mz/8.00min	121/71.0874mz/7.96min	123/119.0773mz/8.09min	125/57.0968mz/8.13min	130/68.0841mz/8.16min	132/71.0619mz/8.36min	133/91.0604mz/8.41min	134/43.1014mz/8.55min	137/42.0690mz/8.61min	139/57.0833mz/8.74min	140/105.0356mz/8.78min	142/40.0262mz/8.84min	147/43.0790mz/8.96min	152/71.0875mz/9.24min	153/41.0930mz/9.30min	171/112.0852mz/10.12min	174/55.0638mz/10.20min	176/75.0531mz/10.37min	177/58.0584mz/10.62min	179/85.0890mz/10.69min	180/57.0872mz/10.73min	182/57.0891mz/10.80min	185/57.0810mz/11.00min	186/135.0025mz/11.22min	199/57.0897mz/11.85min	204/55.0737mz/12.22min	217/85.0376mz/13.07min	218/55.0811mz/13.35min	221/57.0985mz/13.45min	226/55.0728mz/13.60min	228/43.0710mz/14.18min	231/57.0724mz/14.44min	235/57.0983mz/14.71min	239/169.0631mz/15.11min	241/57.1016mz/15.91min	244/149.0190mz/15.96min	245/71.0788mz/15.96min	248/74.0585mz/16.21min	251/105.0200mz/16.46min	252/41.0788mz/16.59min	256/57.0981mz/17.05min	260/99.0782mz/17.14min	264/221.1306mz/17.46min	266/57.0867mz/18.13min	272/149.0162mz/18.93min	274/57.0884mz/19.16min	277/149.0102mz/19.87min	280/57.0960mz/20.13min	284/57.0902mz/21.07min	286/57.0938mz/21.97min	288/57.0943mz/22.30min	289/158.9436mz/22.54min	292/57.0953mz/22.84min	295/57.0928mz/23.67min	Groups
GlycineBurkA	7.61866376378858	0.789655850549476	-0.792780034221411	3.29937903115517	-3.54371540054548	3.42176537076347	-1.67739504963409	4.60738313572987	2.62922758877843	-2.03329788687443	0.148030020144485	-4.28742536005949	0.419911757931673	2.31353033953299	-3.25732917221226	-0.691427050466721	-0.833754785785312	-0.102593541733332	1.12625829836175	-0.232053431879756	3.87310983983551	-1.94017016576032	-2.08114223227781	-1.88585501042193	3.18994845399584	-1.30722334399297	-1.8847683189938	0.636973827403849	0.486854119285167	-2.48588547725259	3.45733366565603	-1.5870288654127	-1.63141718952999	-1.4257491600288	-0.402685983604623	1.12147333736902	-2.1856109397946	3.36698588053338	0.661366910898139	0.39379277652271	-0.340170995706851	-0.121861233754361	3.47670351527317	-0.0430886025634556	3.59647366531727	-1.13007483356107	1.12414442278827	0.432699974955855	-0.65008393875935	3.74593793509014	0.347241285692404	-2.82432520101043	2.61538091400106	-0.492822128258561	1.79963753556449	-0.209984098395167	0.33840253912519	2.00744719693315	1.09313839630036	1.34271868825498	-0.147538220985139	-0.916797820019199	0.352013311206458	1.92538727515367	1.40770764357279	-0.361040998653436	1.98520284965003	-2.97304571227808	-1.3658608511047	-0.729264548467417	0.406053127207519	1.68012757575408	0.432447816055281	1.8253299776445	-1.65503932546537	-0.00289377706238874	1.46228506737682	0.221301989272578	2.27408056589203	0.831537449962975	-0.449119888075429	-1.88780619376631	0.241844473620271	-0.169767361838877	3.45252670356874	0.474743863695965	0.118551228427716	2.3390806797701	1.25415126356271	-0.94098140823136	0.977415058641895	1.39032487012715	-1.1603299241038	-2.36701745478705	-0.977006688287673	0.869142296807542	-1.65534268355518	-2.07878601426367	2.24072919974887	-2.98975071936311	1.80985606371983	-2.78185619060797	-1.0699910355343	-0.738471753534876	-2.09432891446385	-2.85347877021669	-2.74734704087969	-2.97494865555347	-2.05919760421771	-1.28201232287164	-1.25920288753748	-1.31501446924256	-1.4171736596901	-2.10616537135065	-2.23549897004712	0.1 TSBA + AA
GlycineBurkB	-5.46923838717639	-4.00503774329976	-1.63805816680147	2.6560891264653	3.61511285024735	4.71843685722655	0.930205264109166	0.37746741554263	-2.97124628958622	0.186912245802369	2.72788102690246	4.88315777180308	7.14207315255832	0.297583959578813	-1.04666497621107	3.96976450948233	-3.03655943197482	-0.17461352549656	0.941060202530795	-1.19400898000271	10.1021864721998	-1.89346116549149	-0.292010872327402	-1.52101757295225	-0.594674704766436	-1.30722334399297	-1.41899212881568	-0.957942687050734	-0.35887148212818	0.48940128982129	0.301270801730463	1.47678295836969	2.47372628453828	-2.5049389124207	2.2837666708433	-0.551641745073302	-2.1856109397946	-0.0656561020979666	1.86184566474459	0.285676569873015	0.862253222156085	2.09301199619929	0.746757927602453	0.736169679902294	2.81721790036034	0.619017394577258	3.15388663092661	-2.14403713984955	1.40262810104587	0.363449242393381	-5.70836099888329	1.69819724563068	5.23651035433395	2.57452470501273	0.303045010306023	-0.732480287805601	2.14335362099011	2.5829777616323	2.90251596171299	2.14539332450647	1.58024676760854	-0.373950642884374	1.7080848519067	2.72746229137788	2.26812084072568	0.599560110163453	1.51606490689807	-0.382817527511523	0.218188998056641	-2.80176204645537	-0.598556750148673	3.32626173562162	5.42073964864509	1.83636017400389	-0.949213531404684	0.393721823252605	1.5259884342856	0.0877269902194601	-1.0655396509321	3.16609738720517	0.31087211713128	-1.88780619376631	1.2289178789271	-0.275781447783051	4.08296047593367	0.738450687877033	1.4562435632224	3.75790980807195	2.30721320927603	0.0908768321671976	1.99463998873923	2.35393718277201	0.688788955682625	-0.515642932938266	2.25960479134391	2.90477832510849	7.67408651311618	16.2217489821107	3.91049090963865	5.076227396542	0.826171194471041	-1.04886196424878	-1.0699910355343	0.833834139202146	1.01577403833876	6.47200426403088	0.535639650919619	5.71126616262015	0.308002257279195	-0.108072885027808	0.185906629700825	-1.31501446924256	0.621530084161165	0.0753835809785888	-0.567651088057181	0.1 TSBA + AA
GlycineBurkC	-2.5344930491002	-0.642665360659253	5.85658265375465	6.26549822938797	7.9953341755584	5.03119260004831	-1.52822612465139	-1.22886426006285	-3.7140334129878	0.525120321037844	-7.11771997087102	-4.28742536005949	5.38015734872856	-6.98798932051332	1.32798271479756	-1.10551568912768	-0.724840749980349	1.15733288867289	-0.794762188043484	-1.19400898000271	3.08367146520076	-1.29403204115872	-0.64869081050325	4.85031737105622	-1.34791457633797	-1.30722334399297	-1.948465601629	3.25880144496918	-0.179412854535762	-0.0529363966343821	1.68183147491092	-0.209267458251784	0.060788665095077	3.07794205144545	2.08777300497731	-1.64940823083067	-2.1856109397946	-2.28073997609893	1.18052916707628	1.60866543159933	1.22008063674897	0.0192891588033233	-1.59856147172582	1.40864811627106	-2.19491305476352	3.20272772273357	-1.86704678703834	-5.11021461297414	0.771425109993172	5.01436205599643	0.532238775798068	-2.19365512558444	1.96132410016367	2.82064484784323	-1.42073039957318	1.81045467524162	1.44446694406431	-2.1007771628545	-0.899793614713274	-0.331078143648153	2.03669427012385	-1.33695656187072	1.93537852989071	0.340342851709827	1.5488275155409	0.23992470327577	-1.41496949355233	-2.28809230190218	1.64627279603695	4.63788213640525	0.252994265859405	0.233338205869129	-4.1372862070603	-0.591938769395861	3.44652577050301	-0.945759387722882	-1.27738197611027	-1.11599093567098	-1.0655396509321	-0.972172341288015	-0.268251244514764	-1.88780619376631	-0.687635000500876	-0.307940102712946	-1.68602707644676	-0.0615769700995237	1.20184506304192	-2.16908153303586	-1.71491086973841	-0.684846980659483	1.10902399595744	2.8201182451808	-1.1603299241038	-0.960235085519301	-0.977006688287673	-1.94184566301606	-1.51129205084569	-1.24294749127362	-3.27533787770291	-0.84825353541718	-1.64534340742913	-2.49075757942618	-1.0699910355343	0.784838057487616	0.169560527374529	-1.42651749295329	-0.878357123298244	-1.9857053241474	-0.874843153194165	-1.52119544983857	-1.15694329000311	-1.31501446924256	-1.4171736596901	-1.12497231043589	-1.11606266917206	0.1 TSBA + AA
GlycineControlA	4.66245637719388	1.82137395945759	-0.393416041444536	3.94888778587178	1.66744331346708	-1.75750718114482	1.53427166921159	-1.30893313299625	-3.39981907444283	-2.07114855559684	5.56469752557707	4.14681560457327	1.17719474569825	1.78334307175066	7.20611366389016	2.95071893991983	-2.80949338182152	0.182609746696172	1.54730744260132	5.57312204115586	-3.92407172740018	-0.0437952663573573	-1.69051411630253	-3.20410454955863	-2.75081029931756	-1.30722334399297	-1.28390628417081	1.14037538076713	0.172435755467226	-1.08193682627843	0.280123007522272	0.344699346085334	-2.77994804974921	-1.50351157976156	0.884734677135402	1.02245005693639	2.22146171525454	-1.33776235612679	-0.281586592776384	1.57040910795105	1.25336441064527	-0.098181633051871	-0.399793421693748	1.3869241392425	6.10604763234688	4.22577006110139	3.99586073586951	-0.401340714433843	0.963072987396332	-0.36105692152102	-1.95287051178444	4.44285965133733	-1.17775083938392	4.89181910323898	5.56255767009339	-3.66353262344807	1.42982611444697	9.48265017496024	6.47555411866914	6.79182956254515	0.408711543630922	-1.32525188888891	-3.45311713087631	7.24433798824328	0.491984604319597	1.75498180355992	6.3776302526183	3.29356142861657	-1.41618398380406	2.2377200378255	2.43632143656212	6.84932052240524	2.36474256146212	-0.00120989842113358	-0.540522758480855	4.78470391665729	5.55145181036715	3.98734980698177	5.87283474549024	8.70167039247553	0.651504760070681	-1.88780619376631	4.88069327051288	-0.626551908326587	12.9598704119587	1.86220558561678	2.26018132247587	9.13303773115679	4.75079155419953	0.598273846763124	2.10115527204212	0.561992137151782	1.80522542125113	-1.84034308021906	-0.977006688287673	6.91678635652142	-1.56672832122481	-1.49032408390311	10.6547871701725	0.229506721160917	5.88462021484333	2.6436105243924	-1.0699910355343	0.669940789246511	0.512298461878025	-1.07030981529212	0.317457729013206	-0.200475477296813	0.0640163295544683	-0.822417558555967	-0.137724209675207	-1.31501446924256	5.41987250447086	0.568146714773075	2.88030589779927	CTL 0.1 TSBA + AA
GlycineControlB	-0.362740786353001	-2.18512842451316	-1.71200754089379	-1.6789625245228	1.66256741574331	2.40898794976769	-0.807852243932662	0.634756296538156	3.51491319993685	-0.58075824170172	7.45325577968396	-4.28742536005949	-0.472182220119881	1.17404144598744	-0.810565011149486	0.809866188366283	0.487645745742944	-2.85873444048182	1.39410329984504	2.69396577916916	-4.10579652405219	6.49849189269119	2.37417428330503	2.10961944811113	-1.90012763684262	5.37174079563368	7.91376974084622	-4.72110513320324	0.129956024846979	1.46549912382377	1.00095355980359	0.551903214349653	-3.15883077657039	-1.32957749779288	2.13593962685116	0.923820297045393	4.24830222894052	-0.455078127904599	1.00939227671145	3.27487020774259	1.60681900130686	-1.38410645698226	1.16052419900524	-0.540539040146878	3.4977662901464	3.4499361985121	3.36983166423709	1.28794823420844	1.73187374750246	1.2940367290665	-0.553906886233775	4.06387170450014	-3.10604119475015	0.643761156307184	1.09628120929073	1.90171999607039	1.67960612092684	2.95855722534731	3.35501216741758	0.938904823393815	0.724164604055848	-0.592952518134917	-0.668373072952113	3.93863751388238	-1.10536451376533	1.47801965916605	1.44085793925224	2.74015086476333	0.750330859809555	-0.792779045813538	0.96140173197762	2.97859729497767	3.33340674641788	1.91372417787127	-0.297407786626942	1.60080342266414	1.67933049685258	0.963143022900286	1.44294154700662	1.66658490877589	0.698786642413827	-1.88780619376631	1.42273204114579	0.0326898619270441	2.66753938410032	1.08572099540099	1.21981545449751	1.83109684218741	1.73723506044461	0.656234282074839	1.06839484494716	-0.468436471896847	2.40799331812983	-0.781442753866433	-0.977006688287673	1.81618731835176	0.368596601539446	-2.27715299604887	3.972195714162	1.02049937927592	2.52837090746546	2.38185531850877	3.16851010845608	1.1258077820796	1.64212662732039	0.407140005753277	1.16876148035725	0.289522110305951	0.520445690551023	-0.635811223332192	-0.734834805441512	-1.31501446924256	5.14578194941851	-0.776071846042262	-0.249702404555761	CTL 0.1 TSBA + AA
GlycineControlC	0.421098800486343	-3.00429550513811	-1.20826142083128	-7.49185053048613	-1.44890229725032	1.45679975429116	5.1649218822426	-0.919789327053382	-2.87828104153074	-0.818041805978009	4.30001519545108	2.75256865113837	-0.751139099103146	2.33546503492003	-2.28473569028456	-4.40286517504981	7.43971719507705	0.138311183817718	1.25831766001348	0.559683133296619	-4.37490559740791	-1.4421872852304	-0.487088076942799	-0.207307211859393	2.87729339652961	-1.30722334399297	-1.93340873105251	3.07315850878973	0.561820427551591	-1.51712015486268	-2.74578327634955	0.460537606550719	-1.1097859857008	2.85091900228997	0.772206781256766	-2.62930842656247	0.433625428016631	-0.0449533476951244	0.236166126926817	-2.66871548887633	0.630505058314283	-2.01626864298319	-0.402554706694409	2.19356052867628	-0.653114104826277	-1.11039917643504	-0.167058164712659	2.91237696752337	1.11122814785636	0.222971633378425	-1.22103195898117	3.32376969340171	-3.10604119475015	-0.376513209177505	1.33400269065321	1.55821701679407	-0.220798906557047	-0.515832801381946	-0.0662565170659405	0.797363897984307	0.494970547924263	-0.723437341662905	0.877132128409703	-0.252481403574547	1.28050987415706	0.0259156098852084	-1.41496949355233	2.96990563795879	0.385362567384047	0.510875619058964	1.72577529705802	0.953132781643539	-0.719285279325111	-0.622501539155601	-0.643830576110019	2.6021093060155	-1.27738197611027	1.34097737521687	-1.0655396509321	-0.435819818365517	0.23695077031243	-0.923350762107245	3.38574532601625	0.0772324810979001	-0.339598060736203	1.49147791388817	0.230524633862036	-0.993605116405287	0.626474396953442	0.0720817110013911	0.828880239701264	-1.8216569300778	-1.1603299241038	-1.12098499494823	-0.977006688287673	2.07934498183824	0.193772029386488	-0.206269888002119	2.14916215019836	0.475635349489722	-1.64534340742913	1.4989221835871	-1.0699910355343	0.441521227506152	-1.42499556853471	-0.730818275840179	-1.08045490097616	-0.25624266638767	-1.05328901548278	-1.47830928797038	-1.30883262855594	-1.31501446924256	0.150204739470292	-1.55748321429343	-1.77918037481561	CTL 0.1 TSBA + AA
TSBABurkA	-8.46656076312951	5.3848292632104	3.42280320124443	-7.49185053048613	-8.78625573627181	-3.12152249710124	2.47447696797006	-0.688223480917848	1.07520137004037	-3.54896044917663	-2.88872255682245	-0.27804813594332	-3.31740026799965	-1.61025268916233	-0.0731057262218199	-1.57189390907553	-1.41683882915448	0.542608850455711	-0.901467482937236	-1.19400898000271	4.90400873725246	-2.02170476788812	0.0299734918064177	2.28205073547672	-3.6062931796016	-1.30722334399297	-2.39309632352234	1.31446076075622	-2.85849340518943	-3.45484906515647	-1.88297918338064	-1.5870288654127	0.256324522418761	-2.68679246429616	-0.924013647231297	-1.51937565114984	-2.1856109397946	-2.32660670470628	1.71552994894395	-4.85727413603076	-5.90258113990647	-0.58678299732982	-3.01573912810033	-1.71713628367117	-2.19491305476352	-3.67379172589956	-1.51872416587748	-5.11021461297414	-3.62251870723171	-3.56961724286008	3.14021493272486	-7.65645662826408	3.3096563089912	-5.29189539944913	-4.21919717553233	-0.0142792791460861	-3.0480737788372	-4.92007353033812	-3.36624864232386	-3.19791428544598	-2.65687956911381	-0.836073770053026	2.83834969777716	-3.59045841374625	-3.66905875817319	-2.42666649443916	-1.41496949355233	-4.75737274262015	1.25540363748266	-2.80176204645537	-4.07532435945061	-7.07423817452667	-4.81016287546917	-3.25202827428515	-0.236226007363712	-7.03054687482237	-1.27738197611027	-2.79177978842611	-1.0655396509321	-2.59166851967828	-3.05377454950198	1.33399603262527	-5.50621968445877	-2.86161895667572	-4.83655990775017	-3.12355758058913	-3.059919915432	-3.82392198494662	-1.71491086973841	-4.13004943051307	-3.07854574087201	-3.81847469326181	-1.1603299241038	-4.17171046525691	-0.977006688287673	-4.51029819570724	-4.77377850574988	-3.44933283788216	-3.27533787770291	-2.98975071936311	-1.64534340742913	-4.54384263412641	-1.0699910355343	-3.20104467268399	-3.10737729924564	-3.96247171692214	-2.74734704087969	-2.97494865555347	-3.02008401701755	-3.09505108486662	-3.34607601467959	-1.31501446924256	-1.4171736596901	-3.60072033516782	-4.00116596059509	0.1 TSBA
TSBABurkB	0.384843342464772	-4.45936399141812	-1.06313409365839	0.36912028461794	8.58230086689118	-5.03698371960925	-0.61148459306324	-1.39101455066378	-3.02798039437073	14.5554174278113	-3.0514569963301	1.16584866897362	-1.08601558487552	-1.57640414239551	0.817924546045186	0.675452734146992	0.798965498801697	3.34874157798986	2.5869683109561	-1.19400898000271	0.769382060697588	8.81722818408714	0.634004428996554	-2.3362549340388	3.19101666700732	7.70049264429598	10.4550909866195	1.05661552845643	0.75125980686715	2.60609557293471	1.12863430753478	6.89751752537257	3.80139439511763	3.22166073501059	-6.66530765749676	1.14970478519301	9.24537950751285	0.195302356309845	1.85806050373326	0.673687627322094	0.838395457970716	0.842456643648252	5.26445494139975	3.65124483395599	-2.19491305476352	-1.31691414601756	-1.88156807501708	2.58804141759304	2.55820162575903	0.0902455134711425	-1.68562577889683	0.13541842373467	3.21624481065459	3.70205140119107	1.06838668977135	1.05228641176747	0.837544001841754	-0.410197588643922	-1.07930670993006	-3.19787752354803	0.168953931470288	0.412981156033829	-3.45311713087631	-0.656124654214265	3.38011471729916	0.514963005318378	-1.41496949355233	-1.04177687964846	1.63613204004791	-0.961757438723123	0.640171917205093	-0.222036537382438	-3.18763351991506	1.51551342726124	-1.20576261973138	0.920702156208014	-1.27738197611027	-0.443554486724309	-1.0655396509321	-0.6471086030456	0.34818534990015	-0.335820493521239	3.41070288214407	0.399101855716703	-1.60599051987802	-0.055989523261853	2.64429752111876	2.48469809148222	-0.38640026600586	2.6786933664261	0.956795471856342	5.14079435195241	4.38063169776684	5.58099720998298	-0.977006688287673	-0.403134565278075	7.14485489353482	1.90429873525604	-3.27533787770291	5.46850964701052	0.468385471504264	1.92013844738178	7.53140024688693	2.24054409631081	2.57576832921285	5.56325611332185	4.02248197198839	2.89401349068759	3.96573783364722	3.81319333485831	1.36990273606902	2.53898472408984	-1.4171736596901	1.98681296889247	-0.234269178743587	0.1 TSBA
TSBABurkC	6.73478534856559	3.86708961555441	-5.19590692101088	0.605405179074271	2.96493654253216	1.90094329842432	-1.02181892497996	-1.81740905545775	1.85875659372121	-1.2605584931155	-2.8978443798686	4.06715934205712	-3.31740026799965	-0.119169705126676	1.74655657830731	-1.01502024601841	-2.23481292020733	0.820121182207085	-3.03644850416725	-1.19400898000271	2.76781241532841	-1.91021689496368	-0.217445989735575	3.00298119429808	-2.82524974291234	-1.30722334399297	-2.14986482138058	1.83638799542834	-2.85849340518943	-2.83596565497787	-1.53832003278493	-1.5870288654127	1.0381801660575	-3.70187798948405	-0.97152502899184	1.23881134851722	-2.1856109397946	0.096553002726396	-1.40126637013223	-3.28822835800488	-1.24752828917058	-2.60774367377387	-2.37462762397042	-3.02456748632192	-2.19491305476352	-3.67379172589956	-1.16552244215656	3.15049896944175	-4.62352570308265	-3.56961724286008	3.21072345580008	-7.65645662826408	-0.301891279988222	-5.29189539944913	-4.21919717553233	-0.900918758031342	-3.0480737788372	-3.73615226203404	-3.36624864232386	-3.19791428544598	-2.93967153040751	-0.364217352193426	-3.45311713087631	-3.59045841374625	-2.36897539045029	-2.196210264506	-1.41496949355233	-4.75737274262015	-2.49570787479755	-2.80176204645537	-4.07532435945061	-7.07423817452667	5.18725036070719	-2.65650805292465	1.17393908564297	-3.53712232271939	-1.27738197611027	-2.79177978842611	-1.0655396509321	-2.59166851967828	-3.05377454950198	2.1270492590059	-5.94329670689415	4.71249057247994	-4.83655990775017	-1.69897878804007	-3.059919915432	-3.82392198494662	-1.71491086973841	-4.13004943051307	-3.07854574087201	-3.81847469326181	-1.1603299241038	-4.17171046525691	-0.977006688287673	-4.51029819570724	-4.77377850574988	-3.44933283788216	-3.27533787770291	-2.98975071936311	-1.64534340742913	-4.54384263412641	-1.0699910355343	-0.00405828882875249	-3.10737729924564	-3.96247171692214	-2.74734704087969	-2.97494865555347	-3.02008401701755	-3.09505108486662	-3.34607601467959	-1.31501446924256	-1.4171736596901	-3.60072033516782	-3.1204503270207	0.1 TSBA
TSBAControlA	-3.87710080648212	-3.93709489010479	5.36653899738731	-7.49185053048613	0.106764448729153	-4.51715585568512	-1.64847331639291	4.1657975882588	2.64363543090936	-3.45192568477013	-8.63577345525164	-0.433984181284393	-0.745542694283036	0.977223414200506	-1.84576904133801	0.48456110886352	5.86480219268535	-3.51489905688226	-1.18403847358981	-1.19400898000271	-4.0307537859672	-1.50053468176444	2.17415482464051	-2.7538754421978	-2.24968068911127	-1.30722334399297	-1.79927104844284	-4.72110513320324	-0.64251734010983	4.63942791399404	-0.121958045773186	-1.5870288654127	1.60860748412206	-0.599894074921593	2.01858071628277	-1.74015681238048	-2.1856109397946	0.197756029984766	-0.842471648436955	0.327058416446757	0.477251196611009	2.01814581256354	-1.92269984440468	-0.969553902398423	-2.19491305476352	-1.4403712963192	-1.33529022449049	1.78202782571766	1.39987822979917	-1.3413917390111	1.73005510836543	1.82274587986595	-2.43530958977171	0.0711511474143361	-1.11414195468839	-3.65739717417798	0.458048539722163	-2.11390895552972	-2.12545998096709	0.659014834399689	0.20372369911772	-0.723062597778555	1.0201949073165	-1.85880522847334	-2.81618059003957	0.119528185063438	-1.41496949355233	2.62519790581343	-0.287851420810229	-0.65459187753018	0.833292543752565	-0.0855865182145006	-3.06321512781931	0.000282136710307308	-0.875931876382887	-0.078534542118093	-1.27738197611027	-0.145682968350236	-1.0655396509321	-2.59166851967828	0.749250594804019	3.58122667857147	-0.707743978981806	0.879424391227709	-3.03503608656972	-1.47884913866769	0.0533048941917511	-2.42491313294188	-1.71491086973841	1.92468198290074	0.482484334684381	-2.56381955008424	-1.1603299241038	3.33258828380732	-0.977006688287673	-1.0234500236053	0.0593395537550857	0.185346108471118	-3.27533787770291	-0.605437466647314	-1.64534340742913	1.63337800243387	-1.0699910355343	-1.05447929759791	1.45122361202545	0.549958697386924	1.20298798458136	0.583113814116817	0.645110367452512	0.692608477937403	0.430660732479433	-1.31501446924256	-1.4171736596901	0.0301296089642119	-0.660562203123296	CTL 0.1 TSBA
