	Inoculation	Means	sd	se	test	p.value	eff.size	CI.lower	CI.upper	label	Compound	Medium	diff	perc.rel.change	media.comp
47	Abiotic Control	-5.70222823953454	0.148738453774474	0.085874186325541	Welch Two Sample t-test	0.0231372817958668	-5.08573855293194	-9.74988651653087	-0.421590589333023	Effect size: -5.09	X33.93.9932mz.3.95min	0.1 TSBA	4.46904014061146	-362.397281040433	0.1 TSBA, X33.93.9932mz.3.95min
48	Burkholderia sp. AD24	-1.23318809892308	1.23379237894651	0.712330362108879	Welch Two Sample t-test	0.0231372817958668	-5.08573855293194	-9.74988651653087	-0.421590589333023	Effect size: -5.09	X33.93.9932mz.3.95min	0.1 TSBA	4.46904014061146	-362.397281040433	0.1 TSBA, X33.93.9932mz.3.95min
95	Abiotic Control	-2.5390427723557	0.33660456276249	0.19433873492138	Welch Two Sample t-test	0.0486478057876664	-3.3465993547817	-6.85853054130039	0.165331831736984	Effect size: -3.35	X87.125.9557mz.7.26min	0.1 TSBA	4.30886124128772	243.463457802419	0.1 TSBA, X87.125.9557mz.7.26min
96	Burkholderia sp. AD24	1.76981846893202	1.78946533432012	1.03314829247522	Welch Two Sample t-test	0.0486478057876664	-3.3465993547817	-6.85853054130039	0.165331831736984	Effect size: -3.35	X87.125.9557mz.7.26min	0.1 TSBA	4.30886124128772	243.463457802419	0.1 TSBA, X87.125.9557mz.7.26min
103	Abiotic Control	2.97036102861575	0.455508831102622	0.26298814625535	Welch Two Sample t-test	0.00261512799472484	15.9350995931129	2.96363742474155	28.9065617614844	Effect size: 15.94	X100.56.0900mz.7.72min	0.1 TSBA	-5.13259015465392	237.374942962604	0.1 TSBA, X100.56.0900mz.7.72min
104	Burkholderia sp. AD24	-2.16222912603818	3.17670069490545e-05	1.83406900133853e-05	Welch Two Sample t-test	0.00261512799472484	15.9350995931129	2.96363742474155	28.9065617614844	Effect size: 15.94	X100.56.0900mz.7.72min	0.1 TSBA	-5.13259015465392	237.374942962604	0.1 TSBA, X100.56.0900mz.7.72min
115	Abiotic Control	4.10333568025906	0.341214029642277	0.197000011865246	Welch Two Sample t-test	0.0379698446578169	3.84828108193492	0.0204379178855509	7.67612424598428	Effect size: 3.85	X116.91.0575mz.8.41min	0.1 TSBA	-5.65220481613872	364.924620499241	0.1 TSBA, X116.91.0575mz.8.41min
116	Burkholderia sp. AD24	-1.54886913587966	2.04892415567495	1.18294691282806	Welch Two Sample t-test	0.0379698446578169	3.84828108193492	0.0204379178855509	7.67612424598428	Effect size: 3.85	X116.91.0575mz.8.41min	0.1 TSBA	-5.65220481613872	364.924620499241	0.1 TSBA, X116.91.0575mz.8.41min
123	Abiotic Control	2.82950533176956	0.999368354858547	0.576985588697176	Welch Two Sample t-test	0.00123106282149964	6.86196912220864	0.913276457258549	12.8106617871587	Effect size: 6.86	X126.40.0232mz.8.85min	0.1 TSBA	-6.35651571260189	180.223901442043	0.1 TSBA, X126.40.0232mz.8.85min
124	Burkholderia sp. AD24	-3.52701038083233	0.847038411126573	0.48903785467788	Welch Two Sample t-test	0.00123106282149964	6.86196912220864	0.913276457258549	12.8106617871587	Effect size: 6.86	X126.40.0232mz.8.85min	0.1 TSBA	-6.35651571260189	180.223901442043	0.1 TSBA, X126.40.0232mz.8.85min
221	Abiotic Control	9.64460933929365	1.89503655109961	1.09409986290154	Welch Two Sample t-test	0.00127077907313684	6.62495891339587	0.851439362275832	12.3984784645159	Effect size: 6.62	X17.43.0900mz.2.73min	0.1 TSBA + AA	-12.9151257795545	394.895607940271	0.1 TSBA + AA, X17.43.0900mz.2.73min
222	Burkholderia sp. AD24	-3.27051644026082	2.00241462699794	1.1560946239265	Welch Two Sample t-test	0.00127077907313684	6.62495891339587	0.851439362275832	12.3984784645159	Effect size: 6.62	X17.43.0900mz.2.73min	0.1 TSBA + AA	-12.9151257795545	394.895607940271	0.1 TSBA + AA, X17.43.0900mz.2.73min
243	Abiotic Control	-5.64979338547953	0.102412215180165	0.0591277200025742	Welch Two Sample t-test	0.00673623048097315	-9.84158199941683	-18.0488126001383	-1.63435139869532	Effect size: -9.84	X33.93.9932mz.3.95min	0.1 TSBA + AA	18.2350031094167	144.892326066951	0.1 TSBA + AA, X33.93.9932mz.3.95min
244	Burkholderia sp. AD24	12.5852097239372	2.61832751870425	1.5116920977505	Welch Two Sample t-test	0.00673623048097315	-9.84158199941683	-18.0488126001383	-1.63435139869532	Effect size: -9.84	X33.93.9932mz.3.95min	0.1 TSBA + AA	18.2350031094167	144.892326066951	0.1 TSBA + AA, X33.93.9932mz.3.95min
