	Inoculation	Means	sd	se	test	p.value	eff.size	CI.lower	CI.upper	label	Compound	Medium	diff	perc.rel.change	media.comp
45	Abiotic Control	-4.74249227758028	0.216124044049486	0.124779275010321	Welch Two Sample t-test	0.00426710376296679	-10.3543962822559	-18.9574016787117	-1.75139088580012	Effect size: -10.35	X30.93.9953mz.3.94min	0.1 TSBA	7.29987249527931	285.443378530834	0.1 TSBA, X30.93.9953mz.3.94min
46	Burkholderia sp. AD24	2.55738021769903	0.973317365133634	0.561945042766841	Welch Two Sample t-test	0.00426710376296679	-10.3543962822559	-18.9574016787117	-1.75139088580012	Effect size: -10.35	X30.93.9953mz.3.94min	0.1 TSBA	7.29987249527931	285.443378530834	0.1 TSBA, X30.93.9953mz.3.94min
115	Abiotic Control	3.57399637055634	0.353663456736861	0.20418769194956	Welch Two Sample t-test	0.0379698446578171	3.84828108193491	0.0204379178855496	7.67612424598428	Effect size: 3.85	X113.91.0588mz.8.42min	0.1 TSBA	-5.85842937219219	256.45004112605	0.1 TSBA, X113.91.0588mz.8.42min
116	Burkholderia sp. AD24	-2.28443300163585	2.12368055395423	1.22610753949825	Welch Two Sample t-test	0.0379698446578171	3.84828108193491	0.0204379178855496	7.67612424598428	Effect size: 3.85	X113.91.0588mz.8.42min	0.1 TSBA	-5.85842937219219	256.45004112605	0.1 TSBA, X113.91.0588mz.8.42min
129	Abiotic Control	3.40138179387465	0.49115749458733	0.283569911714497	Welch Two Sample t-test	5.99582010923339e-05	14.484634749236	2.65607043049281	26.3131990679791	Effect size: 14.48	X131.41.0830mz.9.31min	0.1 TSBA	-6.98089818682122	195.023500956081	0.1 TSBA, X131.41.0830mz.9.31min
130	Burkholderia sp. AD24	-3.57951639294657	0.472567148237157	0.272836770244897	Welch Two Sample t-test	5.99582010923339e-05	14.484634749236	2.65607043049281	26.3131990679791	Effect size: 14.48	X131.41.0830mz.9.31min	0.1 TSBA	-6.98089818682122	195.023500956081	0.1 TSBA, X131.41.0830mz.9.31min
239	Abiotic Control	-4.76777679795177	0.0647186142244641	0.0373653093440739	Welch Two Sample t-test	0.0283388610171918	-4.74262239583865	-9.16845262488635	-0.316792166790949	Effect size: -4.74	X30.93.9953mz.3.94min	0.1 TSBA + AA	11.7206656557848	168.572601913239	0.1 TSBA + AA, X30.93.9953mz.3.94min
240	Burkholderia sp. AD24	6.95288885783302	3.49441319012952	2.01750039598106	Welch Two Sample t-test	0.0283388610171918	-4.74262239583865	-9.16845262488635	-0.316792166790949	Effect size: -4.74	X30.93.9953mz.3.94min	0.1 TSBA + AA	11.7206656557848	168.572601913239	0.1 TSBA + AA, X30.93.9953mz.3.94min
287	Abiotic Control	-0.850642813043247	0.253522148556932	0.146371080714877	Welch Two Sample t-test	0.045642402097616	-3.47418081478139	-7.06481715750409	0.116455527941302	Effect size: -3.47	X76.57.0887mz.7.08min	0.1 TSBA + AA	3.5098096733711	131.989072432197	0.1 TSBA + AA, X76.57.0887mz.7.08min
288	Burkholderia sp. AD24	2.65916686032785	1.40604344515051	0.811779561549954	Welch Two Sample t-test	0.045642402097616	-3.47418081478139	-7.06481715750409	0.116455527941302	Effect size: -3.47	X76.57.0887mz.7.08min	0.1 TSBA + AA	3.5098096733711	131.989072432197	0.1 TSBA + AA, X76.57.0887mz.7.08min
289	Abiotic Control	2.92268551741106	1.05767105780132	0.610646669935671	Welch Two Sample t-test	0.0375910033671642	3.0162143037129	-0.29788405169267	6.33031265911847	Effect size: 3.02	X79.106.0439mz.7.11min	0.1 TSBA + AA	-5.29222553564998	223.344003262847	0.1 TSBA + AA, X79.106.0439mz.7.11min
290	Burkholderia sp. AD24	-2.36954001823891	2.24466438878287	1.29595758910416	Welch Two Sample t-test	0.0375910033671642	3.0162143037129	-0.29788405169267	6.33031265911847	Effect size: 3.02	X79.106.0439mz.7.11min	0.1 TSBA + AA	-5.29222553564998	223.344003262847	0.1 TSBA + AA, X79.106.0439mz.7.11min
309	Abiotic Control	1.71643492112238	1.82917585915879	1.05607517468049	Welch Two Sample t-test	0.0297855738357529	3.29444661207351	-0.18566410716199	6.774557331309	Effect size: 3.29	X113.91.0588mz.8.42min	0.1 TSBA + AA	-4.72243321116525	157.1003292586	0.1 TSBA + AA, X113.91.0588mz.8.42min
310	Burkholderia sp. AD24	-3.00599829004287	0.873892813455178	0.504542251091227	Welch Two Sample t-test	0.0297855738357529	3.29444661207351	-0.18566410716199	6.774557331309	Effect size: 3.29	X113.91.0588mz.8.42min	0.1 TSBA + AA	-4.72243321116525	157.1003292586	0.1 TSBA + AA, X113.91.0588mz.8.42min
365	Abiotic Control	1.52997829013997	0.88472266693391	0.510794869912457	Welch Two Sample t-test	0.0111356095246833	5.92700196185167	0.663377022018718	11.1906269016846	Effect size: 5.93	X215.57.0953mz.17.05min	0.1 TSBA + AA	-3.88495304579536	164.96792742537	0.1 TSBA + AA, X215.57.0953mz.17.05min
366	Burkholderia sp. AD24	-2.35497475565538	0.276657315935737	0.159728175828777	Welch Two Sample t-test	0.0111356095246833	5.92700196185167	0.663377022018718	11.1906269016846	Effect size: 5.93	X215.57.0953mz.17.05min	0.1 TSBA + AA	-3.88495304579536	164.96792742537	0.1 TSBA + AA, X215.57.0953mz.17.05min
