	Inoculation	Means	sd	se	test	p.value	eff.size	CI.lower	CI.upper	label	Compound	Medium	diff	perc.rel.change	media.comp
41	Abiotic Control	-6.45985215430501	0.12453192066851	0.0718985379206651	Welch Two Sample t-test	0.0128891779848734	-6.65026417640079	-12.4424422729874	-0.858086079814202	Effect size: -6.65	X31.93.9909mz.3.94min	0.1 TSBA	3.8970846725177	-152.065480002104	0.1 TSBA, X31.93.9909mz.3.94min
42	Burkholderia sp. AD24	-2.56276748178731	0.819325531922239	0.473037816409238	Welch Two Sample t-test	0.0128891779848734	-6.65026417640079	-12.4424422729874	-0.858086079814202	Effect size: -6.65	X31.93.9909mz.3.94min	0.1 TSBA	3.8970846725177	-152.065480002104	0.1 TSBA, X31.93.9909mz.3.94min
65	Abiotic Control	1.76208983139544	0.20545553037904	0.118619805770836	Welch Two Sample t-test	0.0109208710413416	6.48303442347592	0.813954616239116	12.1521142307127	Effect size: 6.48	X57.91.0575mz.5.54min	0.1 TSBA	-3.8866817401198	182.937802039048	0.1 TSBA, X57.91.0575mz.5.54min
66	Burkholderia sp. AD24	-2.12459190872436	0.822573083257833	0.47491279104705	Welch Two Sample t-test	0.0109208710413416	6.48303442347592	0.813954616239116	12.1521142307127	Effect size: 6.48	X57.91.0575mz.5.54min	0.1 TSBA	-3.8866817401198	182.937802039048	0.1 TSBA, X57.91.0575mz.5.54min
119	Abiotic Control	2.09956522013989	0.36783169637718	0.212367728919842	Welch Two Sample t-test	0.0379698446578171	3.84828108193492	0.0204379178855518	7.67612424598429	Effect size: 3.85	X129.91.0614mz.8.41min	0.1 TSBA	-6.09312602993276	152.57376361946	0.1 TSBA, X129.91.0614mz.8.41min
120	Burkholderia sp. AD24	-3.99356080979287	2.20875808864083	1.27522707705155	Welch Two Sample t-test	0.0379698446578171	3.84828108193492	0.0204379178855518	7.67612424598429	Effect size: 3.85	X129.91.0614mz.8.41min	0.1 TSBA	-6.09312602993276	152.57376361946	0.1 TSBA, X129.91.0614mz.8.41min
277	Abiotic Control	-1.97427973228004	2.08991600921575	1.20661357050442	Welch Two Sample t-test	0.0225001214237318	-5.24336371955098	-10.0183154436248	-0.468411995477161	Effect size: -5.24	X15.43.0918mz.2.62min	0.1 TSBA + AA	7.77922171693731	134.010326675067	0.1 TSBA + AA, X15.43.0918mz.2.62min
278	Burkholderia sp. AD24	5.80494198465726	0.185952543164398	0.107359750852461	Welch Two Sample t-test	0.0225001214237318	-5.24336371955098	-10.0183154436248	-0.468411995477161	Effect size: -5.24	X15.43.0918mz.2.62min	0.1 TSBA + AA	7.77922171693731	134.010326675067	0.1 TSBA + AA, X15.43.0918mz.2.62min
297	Abiotic Control	-6.25516182597069	0.278567669517514	0.160831118983463	Welch Two Sample t-test	0.00679923331619872	-9.57589903970331	-17.578687699272	-1.57311038013461	Effect size: -9.58	X31.93.9909mz.3.94min	0.1 TSBA + AA	21.5329432880337	140.942867532849	0.1 TSBA + AA, X31.93.9909mz.3.94min
298	Burkholderia sp. AD24	15.277781462063	3.16786137124108	1.82896561544146	Welch Two Sample t-test	0.00679923331619872	-9.57589903970331	-17.578687699272	-1.57311038013461	Effect size: -9.58	X31.93.9909mz.3.94min	0.1 TSBA + AA	21.5329432880337	140.942867532849	0.1 TSBA + AA, X31.93.9909mz.3.94min
333	Abiotic Control	-1.26882241565886	0	0	Welch Two Sample t-test	0.006293781707978	-10.2433250929479	-18.7604865688083	-1.72616361708747	Effect size: -10.24	X67.61.0362mz.5.96min	0.1 TSBA + AA	5.07528966263545	133.333333333333	0.1 TSBA + AA, X67.61.0362mz.5.96min
334	Burkholderia sp. AD24	3.80646724697659	0.700704449848269	0.404551902742267	Welch Two Sample t-test	0.006293781707978	-10.2433250929479	-18.7604865688083	-1.72616361708747	Effect size: -10.24	X67.61.0362mz.5.96min	0.1 TSBA + AA	5.07528966263545	133.333333333333	0.1 TSBA + AA, X67.61.0362mz.5.96min
339	Abiotic Control	-1.38052200571036	0.655728827943074	0.378585215328332	Welch Two Sample t-test	0.0304506347841752	-3.33498072352004	-6.83980477191902	0.169843324878943	Effect size: -3.33	X70.43.0868mz.6.08min	0.1 TSBA + AA	3.74669457814068	158.344096360326	0.1 TSBA + AA, X70.43.0868mz.6.08min
