	Inoculation	Means	sd	se	test	p.value	eff.size	CI.lower	CI.upper	label	Compound	Medium	diff	perc.rel.change	media.comp
27	Abiotic Control	0.796617335142638	0.312038424539442	0.180155468405353	Welch Two Sample t-test	0.0475944814068863	2.96137817290162	-0.320798092665846	6.24355443846908	Effect size: 2.96	X17.40.0274mz.2.94min	0.1 TSBA	-1.89855951403748	172.292117535748	0.1 TSBA, X17.40.0274mz.2.94min
28	Burkholderia sp. AD24	-1.10194217889484	0.851274181698736	0.491483377957943	Welch Two Sample t-test	0.0475944814068863	2.96137817290162	-0.320798092665846	6.24355443846908	Effect size: 2.96	X17.40.0274mz.2.94min	0.1 TSBA	-1.89855951403748	172.292117535748	0.1 TSBA, X17.40.0274mz.2.94min
41	Abiotic Control	-4.36513238055143	0.31984131251027	0.184660467875768	Welch Two Sample t-test	0.0243150337288718	-4.8523224551595	-9.35389198633272	-0.350752923986279	Effect size: -4.85	X29.93.9965mz.3.95min	0.1 TSBA	7.17886678497758	255.136617503231	0.1 TSBA, X29.93.9965mz.3.95min
42	Burkholderia sp. AD24	2.81373440442615	2.06769583363507	1.19378474615147	Welch Two Sample t-test	0.0243150337288718	-4.8523224551595	-9.35389198633272	-0.350752923986279	Effect size: -4.85	X29.93.9965mz.3.95min	0.1 TSBA	7.17886678497758	255.136617503231	0.1 TSBA, X29.93.9965mz.3.95min
103	Abiotic Control	-2.88246399309067	0.387247072688292	0.22357720165948	Welch Two Sample t-test	0.0486478057876663	-3.3465993547817	-6.85853054130039	0.165331831736984	Effect size: -3.35	X88.125.9527mz.7.26min	0.1 TSBA	4.95713393964319	238.936026806599	0.1 TSBA, X88.125.9527mz.7.26min
104	Burkholderia sp. AD24	2.07466994655252	2.05869227293153	1.18858653795562	Welch Two Sample t-test	0.0486478057876663	-3.3465993547817	-6.85853054130039	0.165331831736984	Effect size: -3.35	X88.125.9527mz.7.26min	0.1 TSBA	4.95713393964319	238.936026806599	0.1 TSBA, X88.125.9527mz.7.26min
131	Abiotic Control	2.39895332508062	0.357247205595437	0.206256770317767	Welch Two Sample t-test	0.037969844657817	3.84828108193492	0.020437917885554	7.67612424598429	Effect size: 3.85	X133.91.0604mz.8.41min	0.1 TSBA	-5.91779411337687	168.174534439284	0.1 TSBA, X133.91.0604mz.8.41min
132	Burkholderia sp. AD24	-3.51884078829625	2.14520027168657	1.2385319543239	Welch Two Sample t-test	0.037969844657817	3.84828108193492	0.020437917885554	7.67612424598429	Effect size: 3.85	X133.91.0604mz.8.41min	0.1 TSBA	-5.91779411337687	168.174534439284	0.1 TSBA, X133.91.0604mz.8.41min
259	Abiotic Control	-4.13492461628676	0.226824004250996	0.130956899912981	Welch Two Sample t-test	0.0470264225255125	-3.60644814983085	-7.27990539269244	0.0670090930307299	Effect size: -3.61	X29.93.9965mz.3.95min	0.1 TSBA + AA	9.82124720869878	172.717024915268	0.1 TSBA + AA, X29.93.9965mz.3.95min
260	Burkholderia sp. AD24	5.68632259241202	3.84456676238653	2.21966165518135	Welch Two Sample t-test	0.0470264225255125	-3.60644814983085	-7.27990539269244	0.0670090930307299	Effect size: -3.61	X29.93.9965mz.3.95min	0.1 TSBA + AA	9.82124720869878	172.717024915268	0.1 TSBA + AA, X29.93.9965mz.3.95min
323	Abiotic Control	-2.46327774296141	1.11329895574645	0.642763451788743	Welch Two Sample t-test	0.0125855590539084	-3.93669946230904	-7.82187142488787	-0.0515274997301995	Effect size: -3.94	X88.125.9527mz.7.26min	0.1 TSBA + AA	5.73434953246097	175.304912318609	0.1 TSBA + AA, X88.125.9527mz.7.26min
324	Burkholderia sp. AD24	3.27107178949956	1.73325103289612	1.00069295041577	Welch Two Sample t-test	0.0125855590539084	-3.93669946230904	-7.82187142488787	-0.0515274997301995	Effect size: -3.94	X88.125.9527mz.7.26min	0.1 TSBA + AA	5.73434953246097	175.304912318609	0.1 TSBA + AA, X88.125.9527mz.7.26min
353	Abiotic Control	3.0012059771129	0.278029848162858	0.160520607679577	Welch Two Sample t-test	0.0206414692167624	5.03765500893272	0.40714939492669	9.66816062293875	Effect size: 5.04	X133.91.0604mz.8.41min	0.1 TSBA + AA	-4.88252449101016	259.526733774374	0.1 TSBA + AA, X133.91.0604mz.8.41min
354	Burkholderia sp. AD24	-1.88131851389726	1.34216958624671	0.774901971917667	Welch Two Sample t-test	0.0206414692167624	5.03765500893272	0.40714939492669	9.66816062293875	Effect size: 5.04	X133.91.0604mz.8.41min	0.1 TSBA + AA	-4.88252449101016	259.526733774374	0.1 TSBA + AA, X133.91.0604mz.8.41min
359	Abiotic Control	1.70783282186592	0.737623537487058	0.425867147928757	Welch Two Sample t-test	0.0373362527415441	2.60870515215447	-0.475247477229847	5.69265778153879	Effect size: 2.61	X139.57.0833mz.8.74min	0.1 TSBA + AA	-1.6876692742265	-8369.90248148267	0.1 TSBA + AA, X139.57.0833mz.8.74min
360	Burkholderia sp. AD24	0.020163547639417	0.541265054229933	0.312499524762589	Welch Two Sample t-test	0.0373362527415441	2.60870515215447	-0.475247477229847	5.69265778153879	Effect size: 2.61	X139.57.0833mz.8.74min	0.1 TSBA + AA	-1.6876692742265	-8369.90248148267	0.1 TSBA + AA, X139.57.0833mz.8.74min
