	Inoculation	Means	sd	se	test	p.value	eff.size	CI.lower	CI.upper	label	Compound	Medium	diff	perc.rel.change	media.comp
15	Abiotic Control	-3.42131621349882	0.747640373415696	0.431650370848584	Welch Two Sample t-test	0.00893839667623706	-5.36235671047538	-10.2214575356407	-0.503255885310085	Effect size: -5.36	X15.62.0348mz.2.09min	0.1 TSBA	6.85539915010347	199.628234863819	0.1 TSBA, X15.62.0348mz.2.09min
16	Burkholderia sp. AD24	3.43408293660465	1.64614756168444	0.95040373786436	Welch Two Sample t-test	0.00893839667623706	-5.36235671047538	-10.2214575356407	-0.503255885310085	Effect size: -5.36	X15.62.0348mz.2.09min	0.1 TSBA	6.85539915010347	199.628234863819	0.1 TSBA, X15.62.0348mz.2.09min
21	Abiotic Control	2.44533039315901	0.285611880212842	0.164898095924639	Welch Two Sample t-test	0.000163637672561209	13.9141373122089	2.53400799201529	25.2942666324025	Effect size: 13.91	X19.72.0683mz.2.22min	0.1 TSBA	-4.99568476003074	195.881985065411	0.1 TSBA, X19.72.0683mz.2.22min
22	Burkholderia sp. AD24	-2.55035436687173	0.419809999380413	0.242377416150778	Welch Two Sample t-test	0.000163637672561209	13.9141373122089	2.53400799201529	25.2942666324025	Effect size: 13.91	X19.72.0683mz.2.22min	0.1 TSBA	-4.99568476003074	195.881985065411	0.1 TSBA, X19.72.0683mz.2.22min
23	Abiotic Control	2.0319072960231	0.991472950256599	0.57242717472488	Welch Two Sample t-test	0.0154997421344088	3.3368141262346	-0.169130731754469	6.84275898422368	Effect size: 3.34	X22.42.0803mz.2.26min	0.1 TSBA	-3.11814476175305	287.059216803728	0.1 TSBA, X22.42.0803mz.2.26min
24	Burkholderia sp. AD24	-1.08623746572995	0.873751029879402	0.504460392305585	Welch Two Sample t-test	0.0154997421344088	3.3368141262346	-0.169130731754469	6.84275898422368	Effect size: 3.34	X22.42.0803mz.2.26min	0.1 TSBA	-3.11814476175305	287.059216803728	0.1 TSBA, X22.42.0803mz.2.26min
31	Abiotic Control	5.34250376855908	0.582232406156465	0.336152036425359	Welch Two Sample t-test	2.63632502261924e-05	19.5878235186859	3.72553900655395	35.4501080308178	Effect size: 19.59	X32.70.0556mz.2.50min	0.1 TSBA	-10.3298059206303	207.122119447694	0.1 TSBA, X32.70.0556mz.2.50min
32	Burkholderia sp. AD24	-4.98730215207118	0.466068100967738	0.269084543554421	Welch Two Sample t-test	2.63632502261924e-05	19.5878235186859	3.72553900655395	35.4501080308178	Effect size: 19.59	X32.70.0556mz.2.50min	0.1 TSBA	-10.3298059206303	207.122119447694	0.1 TSBA, X32.70.0556mz.2.50min
33	Abiotic Control	8.59632949540299	0.46247376224613	0.267009351125942	Welch Two Sample t-test	6.53496909916836e-06	30.8273754593408	6.0157425068989	55.6390084117826	Effect size: 30.83	X33.43.0600mz.2.51min	0.1 TSBA	-16.920693263276	203.267105272112	0.1 TSBA, X33.43.0600mz.2.51min
34	Burkholderia sp. AD24	-8.32436376787302	0.623432568057303	0.359938960989464	Welch Two Sample t-test	6.53496909916836e-06	30.8273754593408	6.0157425068989	55.6390084117826	Effect size: 30.83	X33.43.0600mz.2.51min	0.1 TSBA	-16.920693263276	203.267105272112	0.1 TSBA, X33.43.0600mz.2.51min
