	X33.93.9932mz.3.95min	X87.125.9557mz.7.26min	Media
ArginineBurkA	9.8454905875522	-2.73338150727708	0.1 TSBA + AA
ArginineBurkB	15.0623602590839	7.09283374648508	0.1 TSBA + AA
ArginineBurkC	12.8477783251754	5.28422936129385	0.1 TSBA + AA
ArginineControlA	-5.72178425218945	-2.73338150727708	0.1 TSBA + AA
ArginineControlB	-5.53254988660376	-1.86924567567663	0.1 TSBA + AA
ArginineControlC	-5.69504601764539	-2.73338150727708	0.1 TSBA + AA
TSBABurkA	0.0319894575535555	2.84329861601353	0.1 TSBA
TSBABurkB	-2.43299636491491	2.76210307246479	0.1 TSBA
TSBABurkC	-1.29855738940789	-0.295946281682264	0.1 TSBA
TSBAControlA	-5.53309834903517	-2.15036530251294	0.1 TSBA
TSBAControlB	-5.81266667963852	-2.73338150727708	0.1 TSBA
TSBAControlC	-5.76091968992992	-2.73338150727708	0.1 TSBA
