	X30.93.9953mz.3.94min	X76.57.0887mz.7.08min	Media
AspragineBurkA	8.6644211819428	3.93364118649397	0.1 TSBA + AA
AspragineBurkB	2.93264542915151	2.89298914619662	0.1 TSBA + AA
AspragineBurkC	9.26159996240476	1.15087024829296	0.1 TSBA + AA
AspragineControlA	-4.72323170520502	-0.584694577324531	0.1 TSBA + AA
AspragineControlB	-4.84201375581294	-1.08957509126555	0.1 TSBA + AA
AspragineControlC	-4.73808493283736	-0.877658770539661	0.1 TSBA + AA
TSBABurkA	3.58959862901149	-2.25617306072739	0.1 TSBA
TSBABurkB	2.42629121512488	-0.886053201147814	0.1 TSBA
TSBABurkC	1.65625080896072	0.712419051715423	0.1 TSBA
TSBAControlA	-4.49673850660325	-1.24918964978074	0.1 TSBA
TSBAControlB	-4.90296458106396	-0.319322701760126	0.1 TSBA
TSBAControlC	-4.82777374507363	-1.42725258015316	0.1 TSBA
