	X15.43.0918mz.2.62min	X31.93.9909mz.3.94min	X67.61.0362mz.5.96min	X70.43.0868mz.6.08min	X91.125.9495mz.7.26min	X152.61.0385mz.9.72min	Media
GlutamineBurkA	5.68171069070638	12.8903862819307	3.4225946831588	1.20526865253611	5.29790614028949	3.51712664977114	0.1 TSBA + AA
GlutamineBurkB	5.71427866245869	18.871604852543	3.38158255234681	3.98755690440259	7.01420014546448	6.37680167230292	0.1 TSBA + AA
GlutamineBurkC	6.01883660080672	14.0713532517153	4.61522450542417	1.90569216035228	4.65521972332923	2.46889218640951	0.1 TSBA + AA
GlutamineControlA	-4.16005734056796	-6.0785600296679	-1.26882241565886	-1.80322548173274	-2.84259004988273	-1.37364672316484	0.1 TSBA + AA
GlutamineControlB	0.00434668024839772	-6.11063488932265	-1.26882241565886	-0.62513752574833	-2.26401305573985	-1.37364672316484	0.1 TSBA + AA
GlutamineControlC	-1.76712853652057	-6.57629055892151	-1.26882241565886	-1.71320300965	-3.60984168958662	-1.37364672316484	0.1 TSBA + AA
TSBABurkA	1.58633245451997	-1.65885331890977	-1.26882241565886	-3.54440289592283	1.46110656862315	-1.37364672316484	0.1 TSBA
TSBABurkB	-8.11992791726924	-3.2565896431192	-1.26882241565886	6.23356412316631	1.98084293986309	-1.37364672316484	0.1 TSBA
TSBABurkC	1.57771562910118	-2.77285948333297	-1.26882241565886	-2.7933817989415	-1.39344992271657	-1.37364672316484	0.1 TSBA
TSBAControlA	-4.10445988175378	-6.31824741409253	-1.26882241565886	-0.64869209736492	-3.07969742047041	-1.37364672316484	0.1 TSBA
TSBAControlB	-8.11992791726924	-6.55231722109021	-1.26882241565886	-1.87340084980441	-3.60984168958662	-1.37364672316484	0.1 TSBA
TSBAControlC	5.68828087553945	-6.5089918277323	-1.26882241565886	-0.330638181292564	-3.60984168958662	-1.37364672316484	0.1 TSBA
