	X29.93.9965mz.3.95min	X88.125.9527mz.7.26min	X228.43.0710mz.14.18min	Media
GlycineBurkA	3.87310983983551	2.61538091400106	1.39032487012715	0.1 TSBA + AA
GlycineBurkB	10.1021864721998	5.23651035433395	2.35393718277201	0.1 TSBA + AA
GlycineBurkC	3.08367146520076	1.96132410016367	2.8201182451808	0.1 TSBA + AA
GlycineControlA	-3.92407172740018	-1.17775083938392	0.561992137151782	0.1 TSBA + AA
GlycineControlB	-4.10579652405219	-3.10604119475015	-0.468436471896847	0.1 TSBA + AA
GlycineControlC	-4.37490559740791	-3.10604119475015	-1.8216569300778	0.1 TSBA + AA
TSBABurkA	4.90400873725246	3.3096563089912	-3.81847469326181	0.1 TSBA
TSBABurkB	0.769382060697588	3.21624481065459	5.14079435195241	0.1 TSBA
TSBABurkC	2.76781241532841	-0.301891279988222	-3.81847469326181	0.1 TSBA
TSBAControlA	-4.0307537859672	-2.43530958977171	-2.56381955008424	0.1 TSBA
TSBAControlB	-4.66812183175067	-3.10604119475015	-2.6633788611624	0.1 TSBA
TSBAControlC	-4.39652152393641	-3.10604119475015	2.88707441256077	0.1 TSBA
