	X15.62.0348mz.2.09min	X37.45.0585mz.2.64min	X40.73.0412mz.2.76min	X66.88.0525mz.3.31min	X69.59.0433mz.3.36min	X80.55.0697mz.3.59min	X86.94.0077mz.3.75min	X95.43.0861mz.3.99min	X115.73.0373mz.4.57min	X126.70.0875mz.5.08min	X162.108.0587mz.6.19min	X205.125.9539mz.7.20min	X217.103.0354mz.7.42min	X303.61.0258mz.9.71min	X351.71.0873mz.11.50min	X482.135.0629mz.17.22min	X492.135.0610mz.17.54min	X497.107.0320mz.17.64min	X498.121.0452mz.17.67min	X503.135.0632mz.17.73min	X506.149.0836mz.17.83min	X603.246.0973mz.22.48min	Media
AminoBurkA	2.09060095627082	4.63567226081989	5.44506156678601	5.28106876810719	3.92307053395624	1.14246602760376	19.5126269846041	2.66221751984301	3.70015516923908	1.82041998129736	5.40352562834305	4.45468957409351	5.02476897074865	7.28298441945697	-2.22725442630473	5.52556439233696	4.79240845209116	4.73121943961831	4.66497950845808	6.39414103596238	5.42985855856343	-1.42716198780569	0.1 TSBA + AA
AminoBurkB	3.29404180360646	5.02738482332433	5.54061576379233	5.24063736507296	4.21745704607728	3.99466053586843	21.1679145869471	-0.0902185025181307	4.1633116537638	1.90780013856634	5.28735344591543	6.31696569218311	7.08748957609186	8.70006425534457	-1.06574525614778	6.11573820383173	5.03791264558176	5.25122486371983	4.82734247985265	6.65387743856284	5.23178303162353	2.81966414320984	0.1 TSBA + AA
AminoBurkC	2.5409084024862	2.1948343600454	3.77516082129067	2.19749973728909	2.3164954638885	1.80473360193857	22.4884415271976	2.9923634176805	2.99170557445658	1.79770600026667	4.940110004573	7.47355845658527	6.82070900741581	10.0942678196694	-0.791760974119902	1.72045659591412	2.55034056782888	3.27848707419372	2.82608486271746	3.75523884121124	3.39391814302985	2.80735628408058	0.1 TSBA + AA
AminoControlA	-3.00357293314882	-2.24444507751112	-1.84156037501938	-1.17446715052811	-0.611251394504184	-4.04424339636432	-14.3549165197478	-3.31419439996336	-1.78029389209464	-0.127114896462859	-3.21071773122221	-5.56083490322964	-2.14382860726665	-4.66072750216119	-0.14413802842106	-3.98752550800754	-2.81845333502072	-2.95605990202759	-4.01098085693679	-4.35670643049997	-2.73236726099242	-9.16413759337444	0.1 TSBA + AA
AminoControlB	-2.47791271810144	-1.6807206314547	-2.21243457313593	-3.32701252935462	-0.229325796733918	-3.92668987012486	-14.3855913018424	-2.36743321731344	-3.50000933974984	-0.301318247413691	-1.0988620787313	-5.82285181700495	-3.18169830837549	-4.66072750216119	6.53196619151266	-2.34176183774015	-1.24774331635115	-2.59045413294925	-2.18714718640153	-1.86499563679802	-2.89299033958448	-4.70783089410675	0.1 TSBA + AA
AminoControlC	-2.4823656804307	-3.28441694803379	-2.62087514728237	-2.52281718749905	-3.06204551808631	-1.9951400217802	-14.1063622217855	-3.14717775719593	-0.75203124768854	-0.296606992760912	-1.93428826962249	-5.51510444683651	-4.27951340777109	-4.66072750216119	-0.412240988449879	-2.3049720716277	-3.27516500064452	-1.76934884588346	-3.94428121777909	-4.61297453582091	-2.96406428003	-6.83844257988385	0.1 TSBA + AA
BurkA	3.2949906650837	2.31294460491097	-0.283803812691012	0.395642453220064	-0.699718226342523	2.91054879793427	4.84658237394608	-0.416118706163443	-0.41101702064554	-0.279086705144056	-1.24873923017474	4.59778203109641	-2.47053068350856	-0.090004927303232	2.74578944815008	-0.691513094838778	-0.0554125130384248	-1.31726890291398	0.170667172977442	-0.191570834554228	-0.0432058113535487	2.37883612737336	0.1 TSBA
BurkB	5.1453634600911	-3.37717672383889	-0.591511730605151	0.112935050014956	0.0581067821932346	2.89743044605608	9.2677308759641	-3.13702723999742	1.61926680856046	-7.3059107284184	-0.738066763105535	5.30309366279614	-2.01503924906988	1.00231154547067	2.00802835708643	0.177638001820139	-0.0305887952012595	1.13754763403409	0.648633042366178	0.330410352471392	0.471552475403761	3.00347046900972	0.1 TSBA
BurkC	1.86189468463914	1.2219010674778	-1.37154758984578	-1.0921088633767	-0.307835956863499	3.01339508673493	9.30237254456732	-3.04316888147542	1.04290260123088	-0.422398874233964	-1.69544654548945	4.6767358150927	-2.58385216676425	0.97474190032883	1.54611494981313	-0.695707309886356	-0.0934994136085206	-3.91806168243391	-1.067302917868	-0.805012143890209	-0.26516743689885	0.982741187229065	0.1 TSBA
ControlA	-4.00074167582834	-1.45585394108641	-1.5672148599334	0.171595018119961	0.521213390280861	1.88895811747639	-14.5188618492484	1.6958910667952	-2.31917159855664	-7.28025251276857	-0.225314941158301	-5.65779126362524	-3.05743734506791	-4.66072750216119	-2.70190773205903	0.329106481850308	-0.862036584068069	1.07869997973709	0.832789907528989	-0.0812020383651195	-0.0489942321973947	4.15182855923186	0.1 TSBA
