	Groups	Means	sd	se	logFC	Compound	test	p.value	eff.size	CI.lower	CI.upper	label
1	0.1 TSBA	-43.5045456137591	29.6601408437091	17.1242903003176	42.5045456137591	X15.43.0918mz.2.62min	Welch Two Sample t-test	0.0355799845012098	-4.12979835029719	-8.14167621669199	-0.1179204839024	Effect size: -4.13
2	0.1 TSBA + AA	43.5045456137591	2.83695258357497	1.63791533780522	42.5045456137591	X15.43.0918mz.2.62min	Welch Two Sample t-test	0.0355799845012098	-4.12979835029719	-8.14167621669199	-0.1179204839024	Effect size: -4.13
3	0.1 TSBA	-135.770536998146	4.15914350868121	2.40128262433538	134.770536998146	X31.93.9909mz.3.94min	Welch Two Sample t-test	0.0291441510684847	-4.64949749321094	-9.01139105456219	-0.287603931859691	Effect size: -4.65
4	0.1 TSBA + AA	135.770536998146	82.4884542016325	47.6247312383487	134.770536998146	X31.93.9909mz.3.94min	Welch Two Sample t-test	0.0291441510684847	-4.64949749321094	-9.01139105456219	-0.287603931859691	Effect size: -4.65
5	0.1 TSBA	-7.78654476414003	0	0	6.78654476414003	X67.61.0362mz.5.96min	Welch Two Sample t-test	0.0257575593251475	-4.98865897699527	-9.58496289909156	-0.392355054898969	Effect size: -4.99
6	0.1 TSBA + AA	7.78654476414003	4.41474843650452	2.54885619822036	6.78654476414003	X67.61.0362mz.5.96min	Welch Two Sample t-test	0.0257575593251475	-4.98865897699527	-9.58496289909156	-0.392355054898969	Effect size: -4.99
7	0.1 TSBA	-3.7151178296113	31.053626553501	17.9288196499779	2.71511782961131	X70.43.0868mz.6.08min	Welch Two Sample t-test	0.72489321051227	-0.323300039253388	-2.60501923172695	1.95841915322017	Effect size: -0.32
8	0.1 TSBA + AA	3.71511782961131	9.59482984601184	5.53957759442359	2.71511782961131	X70.43.0868mz.6.08min	Welch Two Sample t-test	0.72489321051227	-0.323300039253388	-2.60501923172695	1.95841915322017	Effect size: -0.32
9	0.1 TSBA	-20.3468623585906	8.62763412601055	4.98116688512179	19.3468623585906	X91.125.9495mz.7.26min	Welch Two Sample t-test	0.0208101086923762	-3.42560480251362	-6.98613344418404	0.134923839156802	Effect size: -3.43
10	0.1 TSBA + AA	20.3468623585906	14.415221143695	8.32263180774032	19.3468623585906	X91.125.9495mz.7.26min	Welch Two Sample t-test	0.0208101086923762	-3.42560480251362	-6.98613344418404	0.134923839156802	Effect size: -3.43
11	0.1 TSBA	-8.9214200364235	0	0	7.92142003642349	X152.61.0385mz.9.72min	Welch Two Sample t-test	0.140308053091431	-1.94334730506349	-4.69382677207666	0.807132161949677	Effect size: -1.94
12	0.1 TSBA + AA	8.92142003642349	12.9845994879695	7.49666200969869	7.92142003642349	X152.61.0385mz.9.72min	Welch Two Sample t-test	0.140308053091431	-1.94334730506349	-4.69382677207666	0.807132161949677	Effect size: -1.94
