	Groups	Means	sd	se	logFC	Compound	test	p.value	eff.size	CI.lower	CI.upper	label
1	0.1 TSBA	9.93292856615787	26.340155559514	15.207495902782	-10.9329285661579	X15.62.0348mz.2.09min	Welch Two Sample t-test	0.321473609486575	1.00696361737836	-1.39937455415553	3.41330178891225	Effect size: 1.01
2	0.1 TSBA + AA	-9.93292856615785	9.19900550496662	5.31104830456933	-10.9329285661579	X15.62.0348mz.2.09min	Welch Two Sample t-test	0.321473609486575	1.00696361737836	-1.39937455415553	3.41330178891225	Effect size: 1.01
3	0.1 TSBA	-18.3169664829216	20.4903798528677	11.8301263238509	17.3169664829216	X37.45.0585mz.2.64min	Welch Two Sample t-test	0.0722429181452503	-2.04800232741007	-4.8468363641411	0.750831709320973	Effect size: -2.05
4	0.1 TSBA + AA	18.3169664829216	14.8350876041077	8.56504182168323	17.3169664829216	X37.45.0585mz.2.64min	Welch Two Sample t-test	0.0722429181452503	-2.04800232741007	-4.8468363641411	0.750831709320973	Effect size: -2.05
5	0.1 TSBA	-25.964490874028	3.8896065181322	2.24566537028535	24.964490874028	X40.73.0412mz.2.76min	Welch Two Sample t-test	0.00696390190476932	-6.61412006735131	-12.3796510735659	-0.848589061136723	Effect size: -6.61
6	0.1 TSBA + AA	25.964490874028	10.3997405952379	6.00429303216288	24.964490874028	X40.73.0412mz.2.76min	Welch Two Sample t-test	0.00696390190476932	-6.61412006735131	-12.3796510735659	-0.848589061136723	Effect size: -6.61
7	0.1 TSBA	-22.0978108465138	5.78085430287663	3.33757778791183	21.0978108465138	X66.88.0525mz.3.31min	Welch Two Sample t-test	0.0383675228318651	-3.3719445227631	-6.89941501177534	0.155525966249134	Effect size: -3.37
8	0.1 TSBA + AA	22.0978108465138	17.6114038195606	10.1679487360305	21.0978108465138	X66.88.0525mz.3.31min	Welch Two Sample t-test	0.0383675228318651	-3.3719445227631	-6.89941501177534	0.155525966249134	Effect size: -3.37
9	0.1 TSBA	-13.7476980240092	2.40373163883779	1.38779510874262	12.7476980240092	X69.59.0433mz.3.36min	Welch Two Sample t-test	0.0294638176316872	-4.05527972241386	-8.01802445410226	-0.0925349907254565	Effect size: -4.06
10	0.1 TSBA + AA	13.7476980240092	9.28239643929481	5.35919408295168	12.7476980240092	X69.59.0433mz.3.36min	Welch Two Sample t-test	0.0294638176316872	-4.05527972241386	-8.01802445410226	-0.0925349907254565	Effect size: -4.06
11	0.1 TSBA	-3.02224430908776	0.943670324685519	0.544828315983446	2.02224430908775	X80.55.0697mz.3.59min	Welch Two Sample t-test	0.674584775181687	-0.397164422636833	-2.68636257507343	1.89203372979976	Effect size: -0.4
12	0.1 TSBA + AA	3.02224430908775	21.5023729069429	12.4144007860392	2.02224430908775	X80.55.0697mz.3.59min	Welch Two Sample t-test	0.674584775181687	-0.397164422636833	-2.68636257507343	1.89203372979976	Effect size: -0.4
13	0.1 TSBA	-306.054822983895	91.3141222244291	52.7202330470885	305.054822983895	X86.94.0077mz.3.75min	Welch Two Sample t-test	0.00105635210969639	-6.99290442997651	-13.0387537617236	-0.947055098229421	Effect size: -6.99
