	1/44.0550mz/1.27min	3/40.0341mz/1.37min	4/40.0334mz/1.41min	5/40.0281mz/1.51min	6/44.0898mz/2.11min	7/45.1029mz/2.19min	8/43.0922mz/2.21min	10/58.0836mz/2.25min	11/62.0384mz/2.35min	13/75.0380mz/2.46min	14/43.0922mz/2.56min	15/43.0938mz/2.62min	17/43.0900mz/2.73min	18/44.0531mz/3.04min	19/78.0691mz/3.10min	21/40.0256mz/3.13min	23/40.0257mz/3.27min	24/40.0249mz/3.30min	25/45.0645mz/3.33min	26/41.0794mz/3.39min	30/40.0250mz/3.68min	31/40.0255mz/3.73min	32/40.0251mz/3.79min	33/93.9932mz/3.95min	37/43.1008mz/4.12min	38/40.0272mz/4.19min	39/91.0622mz/4.23min	42/55.0679mz/4.51min	46/41.0800mz/4.64min	47/40.0260mz/4.67min	53/43.1074mz/4.86min	55/43.0993mz/5.15min	57/40.0252mz/5.23min	60/43.0956mz/5.52min	61/91.0559mz/5.55min	62/91.0501mz/5.67min	63/60.0589mz/5.71min	64/40.0255mz/5.89min	65/43.0791mz/5.97min	66/104.0594mz/6.00min	67/91.0533mz/6.03min	69/43.0818mz/6.08min	72/70.0849mz/6.13min	73/42.0820mz/6.35min	77/192.9742mz/6.86min	82/57.0838mz/7.08min	83/106.0432mz/7.11min	87/125.9557mz/7.26min	88/57.0831mz/7.27min	89/40.0265mz/7.40min	92/57.0895mz/7.50min	100/56.0900mz/7.72min	104/43.0921mz/7.86min	107/43.0949mz/8.00min	108/57.0883mz/8.12min	109/57.0942mz/8.16min	111/68.0827mz/8.16min	116/91.0575mz/8.41min	117/43.0980mz/8.55min	122/57.0830mz/8.74min	124/105.0295mz/8.78min	126/40.0232mz/8.85min	131/43.0759mz/8.97min	132/71.0832mz/9.24min	135/56.0894mz/9.30min	137/266.9887mz/9.33min	149/57.0960mz/10.70min	150/41.0885mz/10.81min	152/57.0866mz/10.91min	153/134.9981mz/11.23min	160/43.0802mz/11.62min	164/43.0915mz/11.85min	168/57.0865mz/12.12min	170/57.0808mz/12.24min	176/85.0348mz/13.06min	178/85.0955mz/13.45min	180/57.0928mz/13.46min	181/43.0959mz/13.60min	182/43.0669mz/14.18min	189/57.0948mz/14.70min	192/170.0620mz/15.10min	193/57.0955mz/15.91min	194/149.0195mz/15.96min	196/71.0537mz/15.97min	199/105.0235mz/16.45min	203/57.0982mz/17.05min	209/221.1299mz/17.46min	211/57.0843mz/18.13min	215/149.0141mz/18.93min	217/57.0895mz/19.16min	219/163.0344mz/19.71min	220/149.0110mz/19.87min	221/57.0969mz/20.13min	225/57.0968mz/21.07min	227/57.0885mz/21.97min	228/57.0943mz/22.30min	231/57.0853mz/22.84min	236/57.0935mz/23.67min	Groups
ArginineBurkA	373.18058807395	-43.7481075836688	24.7026150770564	-9.71866252162918	164.000853224705	-25.7484469789355	-67.217167677938	-16.4261964107221	21.0162384693073	-24.1772716564223	-40.8268293785411	-31.5683070816831	-32.0141969623742	17.3865795337219	9.62191008801272	-3.94690172489821	-8.65791619267437	14.1907487094017	-16.724032265495	-8.37366151725554	8.61160900991883	-10.4444729149779	6.71500418637289	100.096365970087	-16.7617799271029	11.8275864862295	-18.1738221875161	-5.90748244530108	-9.85532651095898	-7.02465289189886	-16.806210876359	-23.0385321830957	3.87669831908173	-14.3275020118243	-17.3723431309779	-19.9964354699586	-10.0805603123862	-13.2848109674918	-10.0703797472979	-17.0282783079327	-9.85972375387889	-16.9225261190134	-6.36929847510381	-7.27283650655461	-16.158233100088	-10.0836695849581	-34.1138591835703	-12.0956378763695	-7.41542535292448	10.3238925912545	-6.62067982127629	-6.96417932133614	-15.1941715262375	-18.4909701859696	-14.5283887569966	-9.90552063921147	-25.798210648001	-11.6054520738011	-6.84153307748032	-5.26106367954711	-17.6097220842548	18.8431481092304	-10.8038358244467	-12.2344191449353	-12.4886157648407	-9.14591096015576	-13.0405962268114	-15.1222470661216	-12.37262148023	-9.17086065910936	-7.69895891582998	-12.1992992507445	-9.37834341277836	-4.99812452589529	-5.10719739892563	-4.26040698163661	-8.8068722980747	-4.22562065999928	-8.01968939243244	-13.8848421704916	-4.7952425066112	-6.65711125580654	-16.9887194572503	-20.2370227934392	-7.69556601097426	-13.2378831975976	-14.7769589673995	-5.32566002109503	-12.8834687865365	-5.62979239474529	-4.24919365722812	-8.65685322665321	-6.51690567971919	-8.68328742851932	-9.62793376128969	-4.66319548252683	-10.9691716910937	-11.9956372478156	0.1 TSBA + AA
ArginineBurkB	14.7423802761925	23.9988771385781	-60.7998853838884	39.9990398981686	-36.4586333954622	-40.2562836576737	-31.5571431924952	-21.9050157713321	29.1042440461356	8.86669789196392	54.7645804439777	-16.1631159866138	-29.4812788012303	-5.70280734848701	54.7989300089968	4.37531103150974	2.20857297317293	17.0352720714644	26.9720058892687	11.5306488518153	18.979484599501	5.18585885746713	10.0227248753249	220.63202453239	22.2585263601742	-16.7328400190286	16.0280022399646	-4.28842859661693	-8.10921581107198	-1.33033514063751	-0.553633414842708	33.0610497351944	-7.23635010592046	17.7705262820127	1.05575960321848	-4.55543524771626	-10.0805603123862	-6.30742376362276	-2.00563229047427	2.22148851663729	4.29215034724077	14.9250115769551	-3.92453681430204	-5.38656110308409	2.94952094261822	11.1917182808735	-14.7189734225039	49.0599458718407	-3.85580870393239	-4.85115108109097	1.24743251516219	-4.6190848174534	-3.80369359173673	3.13847691061693	0.349989613723316	-5.59177003382761	1.99996251860692	-11.6054520738011	4.52895119277311	-2.05651410051356	-0.394953161006312	-18.3734746746426	0.844563909420816	9.07756591582417	-4.68202817717559	4.3923166033945	-4.64843860944331	20.0685932280838	6.8085277791688	44.3266480308824	3.24413438580922	3.92527327929676	-8.38654307132835	-4.36732227486458	-5.10719739892563	-4.26040698163661	-6.01682529373721	-4.22562065999928	-8.01968939243244	-12.2567567755784	-4.7952425066112	-5.59205046136456	-15.240343742085	-19.3005075331699	-7.69556601097426	-13.2378831975976	5.6047482135728	-5.32566002109503	-8.58099278442169	-5.62979239474529	-4.24919365722812	-5.2928539596695	-6.51690567971919	-8.68328742851932	-8.74608583046532	-4.66319548252683	-9.39298969619205	-10.4881116627506	0.1 TSBA + AA
ArginineBurkC	-53.8063259424625	-51.7444842406387	-31.6551147073366	-6.36045238935542	74.3733027205268	31.8727299740614	-44.7939803091754	33.2658186654829	-5.15121834709622	18.277675863077	-29.3073425718615	115.101606544492	-37.7002660109425	-9.87679254742573	-13.2267408994929	-16.2147471766749	-11.3542682434685	-14.7424480864053	47.4783648992652	25.3434216954016	-2.05004177136346	6.58791650441919	-4.24821160288604	165.348440991571	22.7704493846073	-1.08759133015077	-11.235755063948	-2.72228597321852	-6.11884974038487	-9.67371732269808	-15.3391315151214	12.4768488435198	-6.41830308596624	21.7879533534629	2.78575491607722	1.25597525062887	-10.0805603123862	-5.65771265680686	15.9352133842126	12.3161447692756	-4.39560629372486	10.8239627718464	7.57071063827326	23.6119658259102	2.30643303968802	2.62260606940187	2.13887228802345	28.6192756805795	-3.88182196353855	-12.8142067151492	3.48603493431546	3.48358570525122	1.3416875774626	-5.26235901637699	36.84087824188	1.45925293841312	5.24051208106753	-9.57262390415498	4.6637745507273	8.80978318605002	19.4444346808716	17.6766548830572	-0.59105325899045	-5.16812076893536	13.3575550325102	1.15603716076316	-1.22698652831033	12.4402087789803	0.794531467460461	10.8683396826251	3.43490787544141	5.20916931534859	-3.82890101025462	9.78682707129062	5.45525789442315	0.742296696356472	0.393162486669228	16.2376294897363	13.8608677945024	-8.49991780031951	5.10834373403122	2.15018683867917	71.7454157151562	200.940903774698	32.6876023885838	-6.65050008015771	2.5340745873433	4.29070863842042	61.1082796636511	1.59225677084285	27.1602163227299	41.9191281170385	1.60552205263548	3.71995393415154	12.3039044896465	-4.66319548252683	6.04834769384001	-1.24946143939192	0.1 TSBA + AA
ArginineControlA	-19.0889530075859	77.4537728268884	-25.2437909928001	-10.5453649975556	-37.0887633496981	-54.4097873695075	-60.37334985637	-24.8925196824166	-11.2198081238655	5.60262206683917	-35.4710978656805	-29.5475384847899	68.5990123151437	0.126703722143711	-12.3971441166944	21.4782798163499	-11.3125601661678	-3.53715178122944	-11.8379974854077	-7.3029640812182	-9.05906851383966	-0.944101550802848	20.810208556571	-59.3012147964224	-12.4598625786925	3.1926105528305	-13.0834238937102	-4.89231999285784	-7.2152513881592	-2.87653242997002	-19.8154362675607	-17.9413899774757	-6.90262411918773	14.4905230748469	-4.58412212571567	-10.2892520589993	-10.0805603123862	6.41444508807017	-8.91590423992233	-17.0282783079327	-5.82277848841298	-12.7323028582742	-6.36929847510381	-7.27283650655461	-3.6437466200882	7.46901226858268	9.0534852934428	-12.0956378763695	-4.57206041066414	-22.805576455787	-1.74984989381399	-6.96417932133614	18.6749446593635	-2.36318112921911	-10.7591840178285	-2.44889090299472	0.504892681174584	-11.6054520738011	-5.6451596547423	-6.94698006503446	-17.6097220842548	-9.97688491802115	-2.11859108187792	5.82526479756	-11.858589598703	-1.87118461377123	9.77690001943534	-14.8495607476202	5.99614093247506	-9.17086065910936	-3.09377555373687	-3.40034707425962	19.9296682423378	0.313309220636336	-5.10719739892563	-4.26040698163661	-4.67851343458421	-4.22562065999928	-8.01968939243244	-13.7021343279936	-4.7952425066112	-6.65711125580654	-16.9887194572503	-20.2370227934392	-7.69556601097426	-7.33237914616234	-2.21508054961165	-5.32566002109503	-12.8834687865365	-5.62979239474529	-4.24919365722812	-8.65685322665321	-6.51690567971919	-8.68328742851932	-8.83195365328069	-4.66319548252683	-8.9537253171968	-10.1612463902873	CTL 0.1 TSBA + AA
ArginineControlB	-44.0688188684238	-52.8753205020309	70.373488328983	-10.9708057465126	-34.7033257797567	-152.636558198658	116.987760678695	-17.734357852534	1.26062874716606	-23.656304680032	31.3176330876741	-27.7454676039742	136.389853224201	25.3187675676028	-13.8524434140614	-10.7959107158185	-0.335106221291706	-6.16741079162425	-15.0952844142536	4.88554773691295	-11.405883501407	8.76461227114612	-13.2840488891342	-59.1649603756579	22.1386832150906	2.76220214459848	11.6269730796037	-4.07592454414219	-4.8535207220544	-6.04066092863761	1.42750391437329	-17.9340522579811	6.29261199754318	-12.5526022300931	8.76886281773925	3.61265885146094	40.0625643875065	-12.2982399689047	-5.56029023656392	10.6914814577998	2.35027877596033	-3.89534990992873	3.41441776708156	10.9246956230391	0.897957447765719	1.04565838509151	34.7619030586968	-11.6226744091994	44.6499747397177	-9.82179690406218	11.2373426009875	9.0154703853065	8.4616755428225	7.51993731872992	-14.3985159314925	-5.20520206244303	2.31252544100912	21.6708516778337	3.26542991760045	-2.84290639981926	-8.36023763234513	-18.3734746746426	1.26620536056646	-5.65237869059996	0.631484902820009	-5.39607798364377	2.54121586157683	-9.93662857534447	-3.05425185971785	-9.17086065910936	0.846370483790684	0.495906038774376	0.60784575983375	-4.99812452589529	-5.10719739892563	-4.26040698163661	-3.20000985126773	-4.22562065999928	-8.01968939243244	-12.7665568021838	-4.7952425066112	-2.73439361869798	-16.9887194572503	-20.0943304409821	-7.69556601097426	5.09403938450847	2.66811812374568	-3.71568099383893	-12.0253930040986	-4.05205108309275	-4.24919365722812	-8.65685322665321	-3.20101114190031	-7.36421921468724	-8.02387499274228	-4.66319548252683	-9.76384790402289	-11.2110905629331	CTL 0.1 TSBA + AA
ArginineControlC	10.4434014980132	-55.8646936790187	5.37345289804196	-13.0450988074422	-33.6016519779152	-103.028493677921	-65.8382277667858	-19.6121520242343	-9.44805469951705	3.02643833024706	-32.41219576745	-26.8767560694536	93.3686667148634	0.519550549456104	-15.8232344190809	-1.25068436351898	24.8643616061701	-18.2844860809213	-14.0953577400385	-8.89053566737259	-4.24947620568358	-5.50695177911254	21.2254404413981	-59.2846520001956	-12.0463039201669	11.9949267825034	12.2153201459093	-4.96308342820363	-7.13099890741266	15.6315619901657	-4.92590115133017	-11.2385763409291	11.900216053797	-13.8338001262542	5.59630352748948	7.59691469043122	-10.0805603123862	-4.60398452052371	-7.04327403251066	-8.79762631866353	-5.09743419922661	7.37064259529841	-6.36929847510381	-7.27283650655461	-4.07915962296922	6.35672078727071	-22.2821062949323	-12.0956378763695	-4.33807193770581	10.2749141448475	-3.99280008971029	-6.96417932133614	-8.99944759782968	5.00006523670963	-10.9893090163016	21.6889575382364	-6.54284091537377	-11.6054520738011	-10.7940324355648	-6.94698006503446	-17.6097220842548	23.2873680358125	-1.35645917036737	-8.5051810844061	-12.4886157648407	-1.30432604120103	-2.11095397893629	-15.1222470661216	14.6606620350015	-9.17086065910936	-5.78426729688578	-4.05986847338538	-9.37834341277836	-4.99812452589529	-5.10719739892563	-4.26040698163661	-8.8068722980747	-4.22562065999928	-8.01968939243244	-13.7040476768549	-4.7952425066112	-6.65711125580654	-16.9887194572503	-20.1573012643492	-7.69556601097426	-0.858897224269621	-4.18947779541385	-5.32566002109503	-12.8834687865365	-5.62979239474529	-4.24919365722812	-8.65685322665321	-6.51690567971919	-8.68328742851932	-9.39333232840365	-4.66319548252683	-10.7688399256369	-12.4679711362151	CTL 0.1 TSBA + AA
TSBABurkA	-62.4559246402995	14.9064348502546	-60.7998853838884	23.9413317845328	-29.185570925841	-103.748486673438	-50.4074178422935	4.73011197857624	-8.11288714944992	-0.535515463387067	-41.665573076863	19.0542070622813	-35.1317833369095	0.0154267400837294	46.2339617085885	-7.11680293803837	20.9494554964815	-12.7744863260306	-13.9941656437976	-8.79760453451965	-12.609307384954	13.579447698076	-2.26387933421881	-35.3392483362756	7.19323123432629	-12.6360562700906	-18.353771627972	-5.90748244530108	-9.43992752724141	9.84247417118591	10.7078968654118	-0.719476150472023	-23.5151745913984	-10.0416797863214	1.06431383466974	-11.8939966248272	-10.0805603123862	11.9891155604519	-10.0703797472979	-17.0282783079327	-4.19132751373509	-14.6502807595514	-6.36929847510381	-7.27283650655461	-10.6002583397225	-7.59434535198326	-34.1138591835703	7.60204028304173	-6.60590656414608	-4.83578726409032	-6.25698592474148	-6.96417932133614	17.0877563154068	2.46572155457166	-14.3409688234408	-8.06776415414779	-3.84886495380042	-11.6054520738011	9.48483685645285	-6.94698006503446	-17.6097220842548	-18.3734746746426	-8.8730180603182	0.256878473299128	-12.4886157648407	-6.86530914164817	-13.0405962268114	-15.1222470661216	-11.2975739752488	-9.17086065910936	-7.69895891582998	-10.3242305418854	-9.37834341277836	-4.99812452589529	-5.10719739892563	-4.26040698163661	-8.8068722980747	-4.22562065999928	-8.01968939243244	-13.8848421704916	-4.7952425066112	-6.65711125580654	-16.9887194572503	-20.2370227934392	-7.69556601097426	-13.2378831975976	-8.03245222055389	-5.32566002109503	-12.8834687865365	-5.62979239474529	-4.24919365722812	-8.65685322665321	-6.51690567971919	-8.68328742851932	-9.62793376128969	-4.66319548252683	-10.9691716910937	-12.6774938860704	0.1 TSBA
TSBABurkB	-57.9627140375432	-51.0142854124867	14.0469429795744	-8.00547464447732	-37.779326593772	308.32785932237	51.5594402003989	-10.7067047515339	3.67809748382087	-22.3340596803705	161.453659144395	-34.9224149170893	-37.7002660109425	1.45452539510924	-6.75420903163813	-20.3813270066574	-2.22321624977734	-18.2844860809213	-10.010600871383	19.7074427229261	27.3165818886646	-13.9285423545881	-8.63020417532087	-50.6230861261143	-18.33159196679	2.61981874663394	18.3711403070005	-3.97539620143317	15.0188448973918	6.3739767740483	4.95194662427432	20.2828312129231	7.68427987664271	3.89742248126262	-3.59593804116482	7.84573884869628	60.7430387363554	13.390980391211	7.31102523329533	14.3594880870869	1.1918617156554	47.7717033239287	6.50754079570998	-3.50672926557419	20.0470382518912	-3.4843176451428	5.19472027132986	7.03262607463693	2.7686956774413	13.9081185980608	7.68965935082321	-6.96417931924798	6.86002747892436	0.968180330995026	3.12013153194662	9.32594162215291	8.643623927585	-3.04740067146094	12.0066148680641	6.13566280732453	18.7596944397684	-18.3734746746426	9.44504520987938	-3.45721608721274	11.175120722351	10.0143340698749	5.29660120087626	38.7545383574627	-11.2050343587265	8.30611177479794	13.8691471211157	18.5152991404719	4.50118282915203	16.0442398523324	41.6781801089042	10.5526169644873	15.3829711928726	7.39397571778224	38.4484484729883	37.6162888248343	-4.7952425066112	13.9980585301029	57.3705705354091	-7.39328357140659	32.3763973327926	12.4473603591476	14.3511652334869	12.9842019111019	30.8934317138301	20.2603689667394	-4.24919365722812	9.58024957143512	19.4959756533502	16.3220635977028	1.15438111872484	4.92590139552481	4.61451825942317	-5.76594473895753	0.1 TSBA
TSBABurkC	-27.372048698236	99.1665178241507	-55.1978983752576	-19.0819073581904	-19.3295135263907	158.915634512269	18.1962427723414	65.6476386062578	-10.6150411961281	5.77299979762924	-42.4976844343127	18.9584130780205	-36.2902245317109	-8.37743565827042	-14.3693478742342	6.60301349083781	5.48374937987495	18.1644456294865	-11.9800483626124	-8.6010571265924	12.9756363735388	-17.2008833665834	-7.72517157067658	-44.5234952194795	12.9462806499895	-14.6930357854053	-16.403986799192	-5.90748244530108	-8.53517769128375	12.1004781263969	-5.49467675681262	3.31933868986566	5.33379906811122	-13.8950387691442	-11.8121505020031	8.31927231327757	-10.0805603123862	-7.98531997594668	-8.67158241425453	-14.2845833654855	11.3750375721707	-13.0205024840053	-6.36929847510381	-7.27283650655461	-8.3691019954365	3.7939996516836	-34.1138591835703	-8.33267672010975	-4.87932549821524	-8.17385058226039	-9.08614682043522	-6.96417932133614	-10.5700330547462	2.3252315178233	-14.2022103332493	-6.94941328376959	-2.9713362059254	-11.6054520738011	-11.9693576967959	-6.94698006503446	-17.6097220842548	-16.9285967392627	3.95639164908204	6.82561201573702	-12.4886157648407	-6.34802695774426	-13.0405962268114	-15.1222470661216	8.40321360427128	-9.17086065910936	-6.97947239373359	-6.03522080373184	-9.37834341277836	-4.99812452589529	-5.10719739892563	-4.26040698163661	-8.8068722980747	-4.22562065999928	-8.01968939243244	-13.8848421704916	-4.7952425066112	-6.65711125580654	-16.9887194572503	-20.2370227934392	-7.69556601097426	-13.2378831975976	3.21814009545629	-5.32566002109503	-12.8834687865365	-5.62979239474529	-4.24919365722812	-8.65685322665321	-6.51690567971919	-8.68328742851932	-9.62793376128969	-4.66319548252683	-10.9691716910937	-12.2996787336209	0.1 TSBA
TSBAControlA	-55.8456726786591	19.4684696174801	-60.7998853838884	36.7798672117783	63.7765382670615	88.8154366329462	-11.811968378934	-11.7087199884387	-11.8593902276268	12.7820464081953	-37.5876204246325	-25.6844954146131	-31.2334350560881	-6.44554795091148	-8.14027663960109	22.9724638827451	11.579237793486	5.99473185661683	39.8500442173706	-6.8656883785318	-1.13264970033585	-2.42699514066676	-19.1028980174926	-59.1654193451863	-19.6734422291227	17.0393277700272	-14.5899267199133	22.5093168516638	31.0075006503543	-23.6583602014086	26.8838560071478	6.47777933363888	11.7981777136621	-6.35438071177534	12.3068215080654	0.629955275341433	-10.0805603123862	14.1531330667668	5.20068329775309	12.1875896190876	6.74720510721798	-4.81164778455372	2.98332003786631	-2.97483635973314	11.7267677263587	-4.76500449811035	24.0625608417328	-11.8803473989421	-2.89979290385853	17.7523907717928	0.856072347155536	13.4905599316824	-2.18540339378802	4.17005123480151	16.5072732959627	-6.35812424508795	6.80126105760715	22.1802674772383	-0.087281781686722	8.09959631681245	24.6632972582922	5.48426503258348	4.27556657445194	-2.26705793086856	12.8889333424	11.2487071776718	5.87926504962005	5.21149732319586	0.378815860332006	-3.73600427403789	3.39449811219253	4.98257923276927	12.0684143371711	0.433167212014654	-3.27150012141256	6.19783801948483	10.3219823075801	6.72199995851982	-7.10839467133248	16.6072049908478	-4.7952425066112	8.23001366471705	-4.7612350212141	-14.316955699508	-5.36732153561606	10.2189706616928	-1.07543127460999	6.45502774865548	-3.05989056732513	3.18571302094505	-4.24919365722812	-1.95398985581825	0.643662302050367	-1.16637586751758	-2.71278130670771	-4.66319548252683	-4.38885718755046	-7.24176370703221	CTL 0.1 TSBA
