	1/44.0593mz/1.28min	3/40.0349mz/1.40min	4/40.0285mz/1.51min	5/44.0910mz/2.12min	6/45.1038mz/2.19min	7/58.0839mz/2.25min	8/62.0359mz/2.34min	10/59.0722mz/2.38min	11/79.0126mz/2.39min	12/75.0379mz/2.46min	13/43.0922mz/2.57min	14/43.0944mz/2.61min	15/78.0654mz/3.05min	17/78.0691mz/3.09min	18/40.0279mz/3.15min	19/45.0760mz/3.24min	22/45.0652mz/3.33min	24/77.0313mz/3.37min	25/57.0764mz/3.44min	26/40.0257mz/3.63min	27/40.0240mz/3.68min	28/40.0260mz/3.74min	30/93.9953mz/3.94min	31/44.0450mz/3.97min	32/43.1009mz/4.12min	33/40.0253mz/4.18min	34/91.0605mz/4.23min	38/40.0251mz/4.47min	40/55.0686mz/4.52min	41/44.0523mz/4.65min	42/40.0261mz/4.67min	48/43.1059mz/4.86min	50/43.0993mz/5.16min	51/40.0254mz/5.22min	52/40.0255mz/5.49min	53/91.0571mz/5.55min	56/91.0544mz/5.67min	57/40.0241mz/5.85min	59/43.0814mz/5.97min	60/104.0584mz/6.01min	64/43.0838mz/6.08min	65/70.0878mz/6.13min	66/40.0259mz/6.36min	67/40.0270mz/6.40min	71/192.9773mz/6.86min	75/40.0248mz/7.04min	76/57.0887mz/7.08min	79/106.0439mz/7.11min	84/40.0252mz/7.30min	85/40.0260mz/7.40min	86/103.0325mz/7.47min	89/57.0895mz/7.50min	100/84.0866mz/7.72min	103/57.0921mz/7.86min	106/71.0992mz/8.00min	108/57.0965mz/8.12min	110/68.0836mz/8.16min	113/91.0588mz/8.42min	114/43.1009mz/8.55min	117/42.0759mz/8.57min	119/57.0782mz/8.75min	121/105.0308mz/8.79min	122/44.0443mz/8.84min	127/71.0869mz/9.24min	131/41.0830mz/9.31min	134/43.0655mz/9.73min	148/57.0955mz/10.70min	150/57.0856mz/10.82min	152/41.0854mz/10.85min	153/57.0867mz/10.90min	155/134.9959mz/11.23min	158/57.0782mz/11.45min	161/57.0849mz/11.62min	166/57.0908mz/11.85min	170/57.0877mz/12.12min	173/43.0869mz/12.24min	186/57.0926mz/13.46min	191/43.0685mz/14.19min	193/57.0770mz/14.26min	196/73.0619mz/14.69min	200/57.0934mz/14.71min	205/57.0951mz/15.92min	207/149.0133mz/15.97min	208/71.0667mz/15.97min	212/105.0176mz/16.45min	215/57.0953mz/17.05min	221/221.1332mz/17.46min	222/57.0843mz/18.13min	228/149.0115mz/18.93min	230/57.0865mz/19.15min	232/149.0036mz/19.87min	233/57.0949mz/20.13min	238/57.0996mz/21.07min	243/57.0997mz/21.97min	246/71.0959mz/22.30min	247/158.9526mz/22.52min	253/57.1006mz/22.83min	257/57.0957mz/23.66min	259/102.0383mz/23.71min	Groups
AspragineBurkA	267.424843211303	-48.0828776359856	-10.7754641280458	-16.8809418546676	60.5123614817728	42.4277147130868	-5.79127298978649	-4.92124452543128	-4.31602674068372	28.2726754823027	-7.32230926586097	67.7885824157499	-14.3831924314499	-8.65952456179154	-0.72789060381516	6.97578508343955	-9.25986583475459	-6.90774036129918	-5.82171418825066	-9.72399229746349	5.83306714447259	-13.5283617984873	88.362670674776	-4.63412339224102	-16.0981509591047	-9.58352946618104	-13.1526743490425	-3.15830585204929	-5.4122256955718	-10.3675155945941	-11.9612407327681	-2.97569835762556	-0.482716875850148	-29.7491528052722	-8.08634229086709	7.15067297183016	-13.9320993074362	23.8810160745819	-6.632658447986	-10.2935496945427	-0.273142028261895	-5.9300585085479	9.40897635964281	-3.38238621438881	-7.24544331094858	7.48013430531698	19.5345312152251	-8.92880832151069	-5.58253995930655	19.0579811690695	-5.37699146359544	6.5850349144205	-5.8522926440404	10.9719339294045	3.16744519327993	-12.9445164706347	4.63670469489609	-12.4662431910366	6.89990930393421	-6.4258211785368	-5.93927391940862	6.45579634440896	28.9648092527337	13.1949640786294	-8.56199989702137	-0.870613731294547	-1.01114801121039	-17.8912323748524	19.6115560668496	2.20890040481109	-6.34740576733957	-1.92282351904516	4.86379395882032	6.66728195101428	13.2323526744628	-2.70044131705997	-7.08836028729938	-8.03740629487282	5.2576584393512	0.0672106689447454	-11.884003489954	-5.7904189702706	-10.444118646549	-7.13666695215787	-5.32859712242826	-13.0922688913352	2.60443520984862	-3.99041457807348	-5.59610494661127	-3.91608614193034	-0.921005610743484	5.56837452537533	13.4326595928941	23.1654155170167	-4.75303963029744	13.0762819878692	31.256219253956	48.0809376734517	46.8973387576706	0.1 TSBA + AA
AspragineBurkB	-40.9012509578078	79.9415954930798	-12.3983821935645	-20.0992596686464	24.4317892042143	40.9973071191049	12.6627823576944	-4.51993481836028	-7.47622256492107	2.41961453946781	-36.2042047786831	61.297392815362	1.22610323690933	-13.7256972428188	2.61090689891635	18.6114096015229	-4.54306079037772	-14.9667070603484	-5.12104856780638	5.55411129315219	11.0977135683213	-15.7163395230566	8.35814692163117	0.361929113166276	25.72904947558	22.3547533724746	16.9731447563752	-15.4649953504494	-4.33643880296811	5.35424220464142	14.054873941222	26.5965220275329	-1.41412491688671	10.666341501595	25.4270111368169	-9.03243566894824	4.75046793688589	3.62294164677215	-6.63258938129386	13.1298600058954	19.6054094969718	-3.21071279420159	-7.28909366224747	14.4747985055699	-0.228037735886468	-1.64283100419879	12.779823966813	-33.2686706989517	-18.5020996120605	-12.1990284115497	-5.37699146359544	0.541825445449804	-5.8522926440404	10.7961992925777	8.58525780536906	12.0235326637513	4.2020598548903	-13.9707326599455	6.14400742483392	-6.76972201001939	-3.92268565710462	-17.6158438039089	-7.67284571520245	-1.38500013694378	-8.10600622432162	-2.11293112830893	-7.95065323721408	1.5902394416094	-1.89335174746886	22.421056626235	-6.34740576733957	-2.02084431897355	4.90111302778741	8.07698071689883	-9.16839207647343	-1.81962197143981	-5.37083330783758	-9.79538398874445	5.70080452876821	-2.19219221635846	-12.3329265090251	-3.95826278200243	-11.876745121994	-5.94541041815056	-5.91990220222056	-12.338701369416	1.43783132483039	-2.32738693503346	-8.45713247558162	-3.91109260396858	-5.92642478333464	-0.461170945717418	7.32088712528875	15.2944330079136	-4.75303963029744	0.00293368634935833	16.8662228151685	17.6564219992384	7.38197070060617	0.1 TSBA + AA
AspragineBurkC	-109.298257493524	-36.2615798826071	-12.7361180770594	93.7353947216782	64.4640286802901	-5.91007915304115	15.8078135841291	37.2658015386054	1.67926060561048	6.66882931261428	-34.3748603301838	-33.0381684977134	7.59416790359744	-16.0715164436932	1.54685591747137	-7.18724156070847	-11.7714469119862	-19.1872196174233	12.0979519920216	27.8400852045326	-1.63146300707741	6.95266095221304	99.0371676960892	-6.24662923081308	25.1355087369627	8.45953882495302	16.3193152747344	-21.1854227243956	-3.27090215384612	-8.57054631225442	13.8870343509535	-6.39705440696205	-12.6700616078316	2.57470136868384	20.406481572534	-4.84110901562956	29.7576670369242	-1.27175768937302	-4.03632921054417	-9.75833274771489	-11.8469205860184	-5.9300585085479	-21.7311770866585	21.084261276645	-8.06740373066495	-0.439198742414451	3.47615451337606	-27.0833279600909	-3.00539020949271	-11.3652421514284	-5.37699146359544	1.8953659742988	-5.8522926440404	-10.6959313245594	7.62949589288908	13.4598190475302	2.94507002039291	-13.9707326599455	9.90141597957687	-6.2646838241731	-5.82264801094582	-17.4331623743214	18.9487433274263	-3.18415716861027	-8.18610146679966	-1.25545679124065	-4.44620750923436	-17.7344952182086	20.7893275102445	14.5333065351785	-6.34740576733957	-1.46515586704984	2.20241911209578	5.21277355846201	-8.86289040145299	-5.6257921525311	-7.47200774806961	-8.85027159240752	-1.64206143334917	-1.7128711355392	-13.4378455461226	-4.12073917111377	-8.59424731182679	-4.13917017480294	-5.91990220222056	-13.5263123841537	-4.25945003507845	-4.06278360571419	-7.61381271441163	-5.04898680942049	-6.01706888043911	-5.83564809738052	-10.6809801868694	-9.54367210990494	-1.02517539057629	-3.69938735522581	-14.2942159180378	-4.25475879150307	-4.7731699569928	0.1 TSBA + AA
AspragineControlA	46.3356659384371	-44.5400565241087	-10.5139549986605	-28.6381394806888	-29.5563639703821	-1.19389608134856	5.0671989040692	-6.67856812700069	15.9149120247532	-7.72508830670651	21.1059092021026	-35.5740406427948	-14.3831924314499	-6.79363345536552	18.9280198278754	-5.69818059996018	-8.63717435876641	24.1374530747695	-1.63043950075103	6.12854611576278	10.1604057007216	-3.7085848064432	-35.0724006234338	6.51909026955189	-25.0525619755806	-22.5181844507756	8.51906941773639	8.39621811437575	-5.56387184724427	-13.3313166038474	-16.3124659692558	-6.18608125241626	0.587728809575719	15.7271077577337	-2.28572802024457	6.96244302759524	-13.2138353098356	0.799878875916483	-8.21977022144513	-12.2083465407053	9.79262975932763	-5.9300585085479	-21.7311770866585	8.34578338798309	-1.88111261196782	14.6721168305453	-3.29731297209242	15.7188367028389	21.6051555664577	-7.64292774564453	-5.37699146359544	-1.41876379312698	-5.31353788202191	2.02146034373441	-6.79243543389115	-9.24539456867752	-3.26105163680986	15.6046351794691	-4.02508562789488	-5.05071848714214	-4.82147934671195	-17.9937626190962	-9.11749105517291	-7.52431563305929	-9.86683792088714	-3.4489570033956	-4.51983127666616	-14.0769598057164	-3.52593277701849	15.6778240236012	-6.34740576733957	-2.86180208226318	-1.54988213137116	0.818296760083381	-9.76613601041379	-6.45528745647897	-5.45702646442217	-8.98688460459008	-5.38340190485332	-3.1256771685197	-13.7385024839134	-5.01443121851594	-12.556583810691	-4.0385216765945	-5.91990220222056	1.58411692170453	3.79836497390787	-6.14033347179409	-9.2180977693584	-6.14675727132795	-6.38211806203993	-9.01631648998433	-11.6077374995399	-12.7667065052547	-4.75303963029744	-3.69938735522581	-14.8282143153188	-18.0688003289143	-5.50068216680933	CTL 0.1 TSBA + AA
AspragineControlB	106.962119423561	-20.5212873499506	43.8502926602716	-22.7442712678213	-49.2613763529011	-5.54414884657297	-8.07980862147375	-6.77515593319778	-6.88705700135287	2.81162153398862	-41.0673839863974	37.0428390171841	-10.0409644482684	-14.8126988640203	-19.9744034421539	-1.96569981962483	12.8535509504866	-21.2909828492511	-6.67261372201538	8.22709620756045	-10.8562687253634	6.40290974840723	-35.1747106324546	5.06371838058536	8.902063092465	0.957121733042964	9.36043971049645	3.18602677711704	-5.88848445421873	-15.7751428052172	3.73831453652353	-21.3287752056658	-5.37141696387742	3.24662864488616	3.34339787060999	-9.91823157597952	-8.59781370634742	-14.8284131736355	-8.2768386995421	-15.5702410739274	-8.92536843083975	-5.9300585085479	1.99142774247507	-23.5343560925744	-1.12588012986615	23.7454469753533	-4.80010830318603	10.1313489595489	-18.5020996120605	6.48729400405148	-5.37699146359544	-1.92453133313706	-5.8522926440404	-2.16378213633969	-8.00049584900011	-11.9658716569643	-4.26253192206648	-7.31601507478107	-10.0599779309864	-7.04316685660386	-3.80016593603152	3.24588569989444	-17.0356693021696	-6.48945922838845	-7.22721879279076	-3.4489570033956	10.986234854041	13.1607416644758	6.63257969733259	-4.33860066094873	-6.34740576733957	-3.98467446981366	-1.68283389019765	-1.60964432645538	5.49237702890799	-3.6544748939199	-0.713346221781996	16.7833773467102	-1.88231526764129	-3.59387824476582	-9.25749244656275	-4.46557805042033	-12.556583810691	-8.22746481394275	-5.91990220222056	0.444269440859398	-2.17296266215604	-5.50475149264782	-9.2180977693584	-6.14675727132795	-6.38211806203993	-9.01631648998433	-13.0131072996503	-15.2820750476397	-4.75303963029744	-3.69938735522581	-17.1347732833863	-21.8899191781124	-5.50068216680933	CTL 0.1 TSBA + AA
AspragineControlC	-65.8746079790538	-36.8558511323241	-10.9104101784058	6.17219865431626	24.5916329221163	-11.2975178084334	-10.701910302702	-5.97749775801503	-5.69977848931347	1.86056946843469	83.3434154384416	-40.90325632064	11.153095780291	66.1216495339026	5.07217105656627	-5.76466235684916	-10.278662965307	-16.096352521074	-4.44741531773603	15.2909221618902	-9.08612776915878	9.44974198686401	-35.0861494251671	-7.50890326797554	-15.8786997319936	-19.5283927840159	-18.9242209993962	4.6233046682013	4.35390406835757	23.3406252827998	-3.68651446003207	18.6530933637146	-15.2260271067375	-0.460437611294406	8.68589344166408	11.3653688755828	-0.334780469514677	11.3377289899597	20.3276688754032	11.5632251192951	-7.06341013852136	9.25188565880088	17.9230428407523	-2.78071106771137	-4.22649942041867	-15.748989995619	-4.19499733739478	34.2178993975943	8.16776347774025	-8.87559589712555	6.64171961468245	2.03927149321385	13.0471204579073	7.6991607569717	7.17507099873526	16.171965588767	5.03064258762407	8.01723353703752	4.04134398314121	23.4038122408682	8.26367379970656	29.2136183614778	-13.1702375408803	-2.59191524163207	30.8780007208965	20.3583438692124	5.61963170885792	22.9889865508757	-8.22070930153779	-4.70408019395934	13.0976731828106	17.1342484116538	7.72910695570014	9.46320576296113	2.26145110369478	15.8004052347702	1.08879341264611	3.4468680726707	13.8041924487452	-2.41281850345228	-9.85413765846115	2.4412394743221	-5.59270672192845	-3.65053345339912	4.45880278708939	11.7945447103692	-1.15138472366479	5.05219591151544	-5.77574321010082	2.76154031216698	-4.88730689216615	5.71040786143903	2.85986531402668	4.71701732016574	-4.75303963029744	20.2152705228138	1.89850512802964	-9.72270438000244	-5.50068216680933	CTL 0.1 TSBA + AA
TSBABurkA	90.8386402874189	-56.8348180286032	19.6391402840063	-22.7080786803839	-188.984202203101	-27.9197854625925	-6.60668283430711	-3.63650139278008	5.66654215999759	-8.47722877165808	-50.8216634522406	7.4425236047636	-10.5620109204748	40.7532034460476	-11.691105411346	-8.4825047215051	-7.96323309691913	-22.8552729769124	-1.88032098994883	-3.89447402994921	-13.7456771407311	14.7416186856865	15.4646778881438	-11.8791527501277	6.01772338265764	-0.992352679945936	-22.0495938925532	1.37493937406885	-7.10550972572843	-14.0284133850944	7.45416966387534	-0.801924883956182	-1.61129718586286	-13.6211038656032	11.7342169352698	-7.20048007406053	-11.7669454809372	6.86858764781699	-10.3303665245908	-17.9920571477049	-14.4128875604902	-5.9300585085479	-10.5913226265416	-4.55602115118649	-10.2901722671255	-3.79450508246414	-7.46641577251939	-36.5210163631788	-2.48542961012938	-8.21494311884005	-5.37699146359544	-7.7832775298997	-5.8522926440404	-11.0279565333162	-10.2510499128637	-14.0486765436292	-12.6888082016966	-13.9707326599455	5.24695427814271	-7.43645834685524	-7.27157610640238	-22.2963792834374	-18.3456869565389	-1.32697127266588	-13.6216470787822	-3.4489570033956	-14.4682705137322	-17.7089142331211	-8.22070930153779	-17.1221117963438	-6.34740576733957	-5.26413324274209	-9.11559321452965	-12.6429609871861	-10.782474988771	-7.03387341567154	-10.2449110510631	-9.79538398874445	-6.13212909927397	-5.47223713901882	-14.8958712527892	-7.96755084846821	-12.556583810691	-8.53928924404367	-5.91990220222056	-14.9328541493821	-11.4744315352186	-6.14033347179409	-9.2180977693584	-6.14675727132795	-6.38211806203993	-9.01631648998433	-13.0131072996503	-15.2820750476397	-4.75303963029744	-3.69938735522581	-17.7793406668799	-23.0467793035093	-5.50068216680933	0.1 TSBA
TSBABurkB	-109.842456653501	-32.2656593500721	-8.45528504618204	-29.4158027442617	253.794558938845	-22.1991963894267	9.04061716334046	-5.23912627468371	13.2421149111752	-32.1053719387638	152.166968436336	-48.6056058688581	13.2672477381657	-1.86522121220916	-23.6250889835909	2.1046271859679	-3.74813435527755	11.7573218285692	-5.15876599823299	-13.6128609304191	27.315369456576	-10.6093796224	3.24524998822383	4.64019093469525	-9.55977156503565	10.1094021301119	14.3128496969755	-4.19445738221839	-5.15926006484324	12.2926614427496	4.22509983513442	-3.40373419324129	28.6204961163255	-0.2324784071134	-17.1766001005675	10.7238047746082	3.38006020497668	13.1850454059581	6.46563067138619	12.6427557914177	34.6427744395323	11.285669896151	13.9314949633271	4.03894193062605	21.5579498699822	-1.71155574759244	-4.21967327666522	2.53017122460441	3.68981535434997	11.9863385581206	25.4075783986151	8.34110807176418	1.67235807749177	2.2499406550286	1.80261253473673	5.19683211408118	5.71334211897146	-5.08586022059955	7.675540639381	9.18295521378477	8.15698656312392	17.2299142167989	-14.8943764694044	-5.24394860043128	-13.6216470787822	3.84994758888544	4.11759717054852	40.8953256045613	-4.68197020039307	-6.44892743716724	20.8030150662699	4.48612049956865	8.45182709083754	-1.52570072212321	4.09610112391556	16.8263555555998	14.6724623599517	36.5475774923308	1.65728608976972	28.4816362899362	37.177462424795	13.5074585370244	77.0718789776919	44.3036029792621	40.4024139547743	10.5482134201244	14.7387400351876	12.5636244609391	49.5658255530467	19.9773609884747	18.7443441116633	17.1461882176438	11.795996695483	-4.97597948183786	2.76953742851049	-3.69938735522581	-3.14859103969006	-16.5054802647968	-5.50068216680933	0.1 TSBA
TSBABurkC	126.052146841146	95.6346551378971	-16.8438819663492	-10.7049533015855	93.2501344802973	26.5162620769656	-9.92718203148408	-6.04159928508608	-6.58790438312922	-1.63922618417192	-42.9647696337667	7.34305325193762	-0.700843975017995	-16.7621851239719	18.0432855792321	-10.4901010703101	-6.66619023716575	-21.0492365742651	-1.61272556560974	-9.32294732816336	12.566687767597	-13.6251256401844	-3.92193736769388	15.4530763556841	12.1429807865227	-10.510350967052	-20.1190530930608	7.99210810755473	-7.10550972572843	-16.2204487659248	9.55630543337789	-15.2967588384449	4.20237906057226	5.30767186942311	-17.1766001005675	-10.5174830471631	3.76465787420441	-19.1342072784365	-8.97868085189823	-0.0419627295708047	-11.27960667803	-5.9300585085479	8.18200030466026	-23.5343560925744	-7.97159452414613	-5.64137873668713	1.52987970726896	-36.5210163631788	18.6147843049878	-14.1601833557034	-5.37699146359544	-10.9555166195652	-5.8522926440404	-13.2492713071953	-4.97539001518371	-13.8957378587835	-11.3961581875616	-13.9707326599455	-15.4144060967469	-7.43645834685524	-7.27157610640238	-22.2963792834374	38.7115456273986	5.60057996187117	-13.2306327217725	-3.4489570033956	-14.4682705137322	-18.2691953060902	-8.22070930153779	-2.72869578102104	-6.34740576733957	-5.26413324274209	-8.29937184902078	-8.19160491897163	-10.782474988771	-7.03387341567154	-10.2449110510631	-9.79538398874445	-6.13212909927397	-6.14399684013103	-14.8958712527892	-7.96755084846821	-12.556583810691	-8.53928924404367	-5.91990220222056	-14.9328541493821	1.70099496828557	-6.14033347179409	-9.2180977693584	-6.14675727132795	-6.38211806203993	-9.01631648998433	-13.0131072996503	-15.2820750476397	-4.75303963029744	-3.69938735522581	-17.7793406668799	-22.6892036224391	-5.50068216680933	0.1 TSBA
TSBAControlA	-108.554631112019	19.7330522234891	37.9504020480992	108.01154888639	17.9270078936339	-38.8254499974859	-11.5785032063672	16.9484670708415	-1.49647362156363	5.95810486375847	-44.1188687258677	-39.0131547417837	14.7937133006639	-10.850503815534	15.379961298815	7.48689285150204	57.291873497033	103.15095320625	27.4604880286052	-7.46031917324866	-1.9427195975706	3.13028563566342	-34.8289189896014	13.3840522292052	-11.2777524241902	14.6267799937265	-16.7529669697032	-0.621937013491122	21.5196027249669	30.7266309705471	-23.7341292229756	15.1645079633141	8.74879974891072	7.39615912183993	-17.1766001005675	9.89638742100429	-2.0157311243923	-19.1342072784365	4.42636530293664	10.2409954729197	-0.776252476286567	2.48905360546853	14.2157031253951	1.24037822276515	12.9116736439921	-10.3256539692162	-5.23135999169419	21.2744655163011	-11.7500861172889	15.6574621340257	5.3704104799939	0.637804628596627	8.96557391423964	4.28416091460199	2.21340329599654	-12.9571063800406	2.99943628319618	21.1052203076213	-3.97142920593226	-0.636248488908359	8.83673103725678	18.8197866856485	-17.098762916579	-3.98877794203729	13.2250563469688	-1.61363839159984	4.70816250856545	2.3407250765484	-5.89083056908736	-7.01976296627895	2.0956262614024	-0.293387903579221	-1.21797000366491	-7.39371178186563	12.2080228128739	-1.31811914634866	9.45925997065046	-9.50430914389	-1.58529765779306	-2.58829272524605	15.9349574233648	7.51046994269176	2.18173111779998	15.8175948370892	-3.22850233860258	8.33753753820828	-3.32715221142838	5.89391830356266	3.97307068225312	2.74840961403668	2.85285992801887	-1.81456166960696	-5.55518997453259	-8.6723420875024	-4.75303963029744	-3.69938735522581	-11.6014114167979	-17.9022399480023	-5.50068216680933	CTL 0.1 TSBA
