	1/44.0555mz/1.26min	3/44.0592mz/1.36min	4/40.0341mz/1.40min	5/63.9885mz/2.06min	6/44.0904mz/2.12min	7/45.1035mz/2.19min	9/58.0864mz/2.24min	10/62.0403mz/2.34min	13/75.0397mz/2.46min	14/43.0919mz/2.56min	15/43.0918mz/2.62min	17/132.0126mz/2.76min	18/45.0747mz/2.97min	19/78.0680mz/3.09min	22/45.0692mz/3.28min	25/77.0320mz/3.36min	26/57.0750mz/3.42min	28/40.0261mz/3.67min	29/40.0255mz/3.76min	30/40.0260mz/3.86min	31/93.9909mz/3.94min	33/40.0286mz/4.04min	34/43.1014mz/4.11min	38/91.0635mz/4.22min	39/44.0440mz/4.32min	43/55.0702mz/4.51min	44/56.0865mz/4.64min	51/43.1037mz/4.86min	52/60.0522mz/5.10min	53/43.0982mz/5.15min	54/40.0249mz/5.19min	56/43.0950mz/5.51min	57/91.0575mz/5.54min	59/91.0530mz/5.66min	61/60.0528mz/5.72min	63/102.0261mz/5.78min	64/40.0260mz/5.86min	66/43.0839mz/5.96min	67/61.0362mz/5.96min	68/104.0612mz/6.00min	69/91.0518mz/6.03min	70/43.0868mz/6.08min	73/70.0894mz/6.12min	75/42.0831mz/6.35min	80/192.9757mz/6.86min	83/72.0640mz/6.95min	84/58.0595mz/6.96min	85/105.0422mz/7.10min	91/125.9495mz/7.26min	92/94.0496mz/7.39min	95/76.0376mz/7.47min	97/57.0878mz/7.50min	106/105.0491mz/7.61min	107/118.0256mz/7.67min	109/43.0982mz/7.71min	113/43.0949mz/7.86min	119/71.0951mz/8.00min	122/119.0726mz/8.09min	123/57.0979mz/8.11min	125/68.0845mz/8.16min	129/91.0614mz/8.41min	131/43.1003mz/8.55min	133/42.0748mz/8.58min	135/57.0837mz/8.74min	136/105.0363mz/8.77min	137/40.0250mz/8.84min	138/57.0838mz/8.90min	140/40.0184mz/8.91min	141/43.0782mz/8.96min	142/55.0634mz/9.08min	143/58.0588mz/9.10min	144/71.0904mz/9.24min	145/57.0947mz/9.29min	152/61.0385mz/9.72min	162/55.0624mz/10.19min	163/105.0243mz/10.34min	164/58.0643mz/10.61min	166/57.0964mz/10.69min	169/57.0911mz/10.80min	174/43.0757mz/11.02min	175/135.0011mz/11.22min	183/43.0831mz/11.61min	187/43.0950mz/11.85min	192/57.0915mz/12.11min	193/55.0760mz/12.11min	195/41.0750mz/12.25min	202/104.0228mz/12.49min	205/43.0545mz/12.77min	207/43.0674mz/12.96min	208/85.0368mz/13.06min	210/57.0948mz/13.45min	214/73.0509mz/13.58min	215/57.0828mz/13.60min	217/43.0696mz/14.18min	225/57.0996mz/14.71min	227/43.0803mz/14.88min	228/170.0557mz/15.10min	229/102.0573mz/15.26min	230/57.1007mz/15.91min	231/58.0751mz/15.91min	232/149.0186mz/15.96min	236/71.0699mz/15.97min	238/55.0658mz/16.08min	239/74.0592mz/16.21min	240/105.0168mz/16.45min	241/83.0563mz/16.60min	245/57.0999mz/17.05min	251/135.0473mz/17.22min	254/221.1327mz/17.46min	255/105.0289mz/17.58min	256/43.0869mz/17.67min	257/141.0152mz/18.11min	258/57.0900mz/18.12min	262/41.0642mz/18.39min	263/105.0101mz/18.47min	265/149.0197mz/18.93min	270/85.0990mz/19.15min	271/60.0526mz/19.73min	272/149.0139mz/19.87min	273/57.0936mz/20.13min	276/43.0961mz/20.37min	277/71.0845mz/20.51min	280/57.1007mz/21.07min	285/43.0957mz/21.43min	286/85.0961mz/21.73min	287/82.0829mz/21.82min	288/57.1006mz/21.97min	291/57.0898mz/22.30min	293/97.0909mz/22.35min	294/246.0891mz/22.48min	296/158.9697mz/22.51min	297/73.0506mz/22.67min	300/57.1030mz/22.84min	303/57.0847mz/23.14min	305/57.1014mz/23.66min	Groups
GlutamineBurkA	-44.6710824888659	-96.4255051295313	-57.0711802884953	17.0286559463047	-31.6974260384334	-14.6417342240404	16.9632797469319	-1.22677357312694	-22.0696068244257	46.055106634401	57.9950198761879	-6.48046384534422	8.64045151466777	3.18872464116078	-0.628079277766215	9.16951625170578	0.0348082559154356	-7.57424529304558	-7.66624360035328	3.90320721792388	162.881793812093	-19.4825416942082	1.42808625626058	-8.1802208125084	9.76157734037751	-6.4391518947286	-9.0779242719938	-0.447884860118124	57.6714444965923	-9.45235981487724	-7.20425621059512	0.627704277708451	-4.91893737054227	8.06909413017963	-7.58855389103724	-3.947435284646	14.6823530133197	-3.23036791083634	10.2590118228931	5.23981262792801	-2.18451671412264	3.4532170073945	-2.81717359695859	0.335232185351311	-4.66638902021528	-4.76015819272119	-2.2792941330286	-39.6335950818333	32.8555274775845	-13.0038780110868	-1.91884858413974	1.35704336453555	1.80796282619482	-3.5943724703767	-9.11297290981121	3.78234404847928	-1.18589857365832	-5.03368207450169	-2.66361051518854	0.920655068859063	-18.6360113976069	-1.94779842641434	14.2614793795581	1.53646984790024	-6.26012249581743	43.5387546625521	2.31492445133194	-6.09982692155086	0.48881672417988	-2.13409367904722	-4.08146086855904	-3.54091268468913	-4.32900747997828	9.71308273896405	-4.34689282133084	4.80344318459753	-4.6583234351461	-6.7593947104772	15.047787243155	4.90735339442904	-2.39721887975247	-0.0206221899404551	-1.21002222264855	-7.28996389453695	-3.99043829577879	-2.17462930178549	-5.77099818521253	-3.71870679502276	-3.69575372203807	-8.45051987232679	-7.44270947858285	-0.261968649157271	-0.217934569521549	1.49710236257617	-15.0909351889907	-3.36749424776513	-5.83356352103559	-8.15345449085432	-7.18556724108951	-2.83022678515896	-14.3377863201782	12.7549773110413	-3.34072340861903	-9.47332442507305	-2.3643616981991	-4.63246459543556	-15.091920188434	-2.47999989670944	8.46963502252943	-3.62897309988356	-2.72353459679419	-11.0453139664041	-3.62060607309303	-3.47007087804327	-6.15182634468673	19.8562257670838	-5.28311451594214	-2.06271449882799	-4.77048651756777	-9.33141539960816	-4.13255812404883	-3.48421270136767	-13.0059175252427	-5.94391977680092	-3.43105243190494	-2.91249286803083	-13.9945214478949	-2.35699355027178	-3.95533119168678	-1.06816664004964	-8.0186227268062	-2.92557484970596	-19.6858573897692	-4.30800888468054	-25.6075848202335	0.1 TSBA + AA
GlutamineBurkB	-50.0096600921703	-105.323315143409	42.2302753872403	74.8035581904318	24.7246814514618	93.8342493442386	94.7226828875286	-4.16658678443903	-16.5942996286099	151.083889691035	58.5227353146857	72.4936437508884	11.72022368884	-2.10117986890732	6.89912560255585	126.396757203437	-0.739623484501879	2.34374794766739	-22.3694674512613	-12.5893271849108	332.42349186444	-4.97732364492551	17.0198585656012	-15.0560918954792	26.9877244917585	30.5265765902739	7.93613062552132	-10.4397879417669	4.27172933729457	5.22643327475681	1.71586406506959	6.23373702251262	-5.97296490761537	-19.2650860307575	-6.38126601427754	-3.12702037436916	3.97944816164727	33.599701126385	10.0052324598911	14.4924792859728	7.11664481363953	24.2340938176588	24.7800599142233	-8.4928578632504	22.2186319895318	-1.48575707290692	16.0693489368	19.9200372044774	53.9320379924332	27.0453249481408	12.1433546802272	12.4875153036591	11.2277557716192	-3.56427638040681	21.0822548699342	3.11136047562485	6.93033994749583	-5.99849693866302	-5.89025173266531	9.23291915727154	8.85011169770515	29.9283867667018	-7.6766664177194	6.71901106412079	6.67559228922368	-25.0997629811549	0.822075553087753	6.73607937137052	20.1808748424245	18.224353068058	28.8714087252805	0.794555116609686	23.3597432492477	32.0918335001397	20.2297130108604	16.9712151587345	21.0590922528313	8.60886091309525	28.6395461186617	9.91287896703018	14.3648336179163	8.97453713748587	33.6185953343423	6.79319681411895	22.2035372507381	22.4659879434019	54.5734339119669	35.047556177845	49.7173958010579	58.7903903421124	6.82329038609363	18.7750180230669	30.6154206717188	62.5251208237969	-7.46698476588552	30.4355271028417	-4.33564000226264	27.3490720516954	2.00103911021387	22.5318620447962	211.86478265021	24.9270539438796	28.1090484389098	-9.47332442507305	39.5283418930804	22.39893481266	9.39518781438995	18.1119120755138	12.5427643495373	15.1118160520095	17.0344232690973	71.2649796249416	16.5330304618336	22.4783879630923	48.416467917014	84.3929410328613	27.5929658340119	22.6898402400191	115.197752593427	24.9109779171832	35.33742066804	2.1119963133784	49.7896871143554	10.7842997611527	1.38654175272917	0.216701892691122	56.3577816484575	-0.853231680695199	0.778023455879569	28.0636352229012	59.5537167156552	38.61093272514	81.600010058967	2.23959420476874	79.0440626805923	0.1 TSBA + AA
GlutamineBurkC	255.963865543201	162.666009056436	-60.7126576523502	-11.5801948151964	71.9037393508469	-34.804602136177	-31.2948839391959	74.2220318755672	21.6983469677863	-52.1104123402617	63.5178430143547	-11.2323830444295	-16.8399696126578	-4.12283508282807	-8.34191490680279	31.1230603302357	3.77310821995269	14.4562740623357	22.9331777228302	6.90753234097102	192.827775662708	22.5152779049105	16.4779748805085	28.2722606721004	0.636987097967113	-7.07577788968983	-10.6703785467516	-5.78037109680835	-8.50175814620262	-17.5041528532441	10.6684378609292	-12.1101910142079	2.49535583119323	7.9287450371593	-9.0912397804054	34.0501518113322	-3.62904731449776	-4.6744895004498	18.6134543337596	15.6750062340709	-1.17450957517404	8.03081620179224	-3.99636729125949	18.7703533091464	0.893615633669025	-4.76015819272119	-0.168463090940637	38.5881922357264	25.9163906320184	49.8147963227782	14.769455473034	-0.726659001887555	0.250915163917044	-0.330139737691171	-11.0683939660324	1.77235196474981	0.329375632614741	-7.93948260131193	19.4249999900833	3.11562684309448	0.527355927185323	-7.2504448896212	10.0000466204775	-3.84418390139332	104.19120267313	-18.4705515736433	-0.764058023297219	-2.5710261537163	3.29845446031517	-0.471384253652771	-5.1046732951692	-4.50675404229745	-13.726305660969	4.04589590037311	-3.52934135801098	25.5270976096147	-6.35401669066648	-5.19300122111745	-13.3471661683665	-4.72384096301758	-9.63829356650627	-1.44222027909901	-1.80662056422168	-8.55447145592716	-3.99043829577879	-1.83073298073398	-1.19095765067897	-6.70307246280486	-4.62167982596328	-10.6708542870821	-8.470113340445	3.01123760104503	-4.58448047406119	-3.54943340573552	-14.3336108687115	-2.39621080856549	-4.91029695229407	54.1854728568478	-9.23124038527231	-2.83022678515896	-24.1225283543284	-12.6843333580318	-3.34072340861903	-9.47332442507305	-0.367050754716549	-4.63246459543556	-15.6922498293727	5.55933565005796	-0.311871919575279	21.1779149468262	5.40270384308593	38.9339045189356	-1.39959665151191	-2.82913969600529	12.7966645809367	-15.6229376637086	-5.28311451594214	-2.06269525173915	-11.9952934334426	-4.0342772366055	-0.819543774655694	-3.48421270136767	-3.08470990589976	-3.34038082229798	-3.43105243190494	-2.91249286803083	11.7094349724698	-4.86952496272049	-3.95533119168678	28.4617776752247	20.6325105524068	2.35510588366665	20.4066362562458	-4.47498972833589	85.7719553923069	0.1 TSBA + AA
GlutamineControlA	-58.4092484027592	-105.512745476887	59.9873194602046	-10.9900901284342	82.6545562742298	50.6739694077464	-14.2101225060625	-10.1421423214679	12.6199570157327	20.1429460492849	-44.4968284633945	-5.05905526330292	4.28841292724709	47.7750298966966	-4.95947030880748	-44.8587954040723	2.16944266779321	2.7871362073547	-2.74806673949335	7.29563080850669	-80.1555452652282	4.90567051703088	19.583820341925	-10.829262524316	-9.39608011558598	-7.39578297939161	11.9907872404044	19.6693236087323	-7.93658874639409	-6.6894489767053	5.32841135129946	-9.88610873020408	-2.00459671532381	3.04868738462879	-7.07255961419372	0.179133581973161	-9.09395178758452	-3.65506603235164	-4.31974429072709	2.23164525954305	5.23379745837284	-11.2053207315764	4.56880884342992	2.53747541185819	1.5141063691566	12.3695428344398	2.85664870949872	35.0043734126002	-16.6628963279546	25.1467410813117	-1.81225461038477	-7.35506073704273	-1.57076190155552	11.4521976936839	15.2218104763948	6.25301960957145	1.73877064278064	11.0607514438138	-8.46104015531333	4.65140667678585	21.9693223660127	1.38478631859509	-3.80981799676034	-2.74239415921937	15.1351691803261	40.6222179578259	2.71220040965993	-1.90624796364777	3.40326281001967	-2.18966820273006	0.866134536507537	-1.86683296121887	15.3273848761773	-5.09453468216409	2.01644126566782	12.9638808532014	6.22751656410825	-0.940611460100726	14.1319816671908	2.83358735722382	52.7213994851209	2.3781683342145	-0.571369128033174	-3.98600694254668	-3.99043829577879	-2.68272441659757	-5.39405835372155	-5.26605314564739	-4.5751276359661	1.41721642564574	-0.444811663523695	-3.04256584655229	2.89176443027714	-12.7626249585283	-10.1596741540124	-1.66537685836205	19.9564756010153	-8.15345449085432	36.480310067569	1.39645263244183	-8.26163876317391	52.886853101305	-2.88727651188625	66.942572211551	8.4839384896986	8.67893679382186	3.910645590754	-2.10635052491696	0.749467845730417	-3.62897309988356	-2.72353459679419	-11.0453139664041	-3.58231037157716	-2.40819674926545	-4.5109554319729	-5.50124530072443	-5.28311451594214	-2.06271449882799	-10.4468356082629	-1.1462257723031	-4.13209497563584	-3.48421270136767	-0.397472781920148	-5.94391977680092	-3.43105243190494	-2.91249286803083	8.30722586912089	-6.61158768736351	-3.95533119168678	-5.68885648449258	-8.0186227268062	-4.40090654013446	8.28681343739315	-6.48266639617762	-6.91414125729671	CTL 0.1 TSBA + AA
GlutamineControlB	-57.9473770810773	-104.683862155949	4.84878591789828	-10.3508311182445	-24.4579958686548	-49.0713978359869	5.56288763254745	-9.94257332492527	-20.9017252261957	-68.5995534802119	-14.9911824918003	-8.77007517026481	-2.09845440858667	-8.42336602660511	-9.58539224719077	-44.1628834726691	-2.53391087591993	2.23431652766147	1.03990873348834	11.9853132758211	-80.1870702605103	-1.55043333902658	-24.6962726593978	23.8256063147013	-1.82041031803968	-0.317309693143072	-3.5331089561601	8.28626199725471	-8.50175814620262	-15.9286899429523	14.8972336861526	16.1977735224013	8.19403059908469	-0.64888173231923	-9.0912397804054	-0.617953973358494	-10.3626144106662	-6.61191894581951	-4.31974429072709	2.33931944687116	3.94857989151285	-6.43215116268826	5.53616212483944	-2.69032871221203	-11.4793403475648	1.79266343218161	-0.440776448320336	11.9942426147953	-15.8942224160137	-14.8579095411877	-2.42824455914808	1.33282503915894	-1.91015317240277	36.8664591415662	40.5307879092176	-10.9832103945396	2.08547466797482	55.4621953123739	11.9567918842342	8.36954409419357	9.0680018742871	-4.09464412242707	7.83881855123269	3.90121706002258	8.82282191912136	-23.4332998660275	4.16868189896784	18.9572679873451	0.478347076977555	1.08643028853254	1.59477766049814	-2.59453681812866	21.7030221255649	-5.09453468216409	2.1285429440232	-5.02716857716351	24.0438242590442	-1.08303463248463	4.39814791020514	-2.15108059456242	22.824155391307	2.06678512970259	-2.99136155486876	-4.75391353600668	-3.99043829577879	1.42249900928232	-5.77099818521253	-6.70307246280486	-5.23476508860396	5.07844264754923	-2.13222522712534	-3.04256584655229	0.978102823127216	-6.82294185542139	-12.5084957234094	-3.97255421398424	-6.29942770883847	-8.15345449085432	24.666982807372	-1.12795814167486	-26.9954394604576	-14.4691973642763	-3.34072340861903	27.7906720391795	-11.7894123846355	-0.438873707227007	7.00896561099715	-1.17399417712974	-7.84625436618803	-3.62897309988356	-2.72353459679419	-11.0453139664041	-6.17110846038897	-3.47007087804327	-6.44083025189364	-18.1237372071871	-5.28311451594214	-2.06271449882799	-13.86749910848	-11.1393005054015	-4.520077200445	-3.48421270136767	-15.039684472239	-5.94391977680092	-3.43105243190494	-2.91249286803083	-17.3116746783441	-4.90064911780987	-3.95533119168678	-6.9639074179446	-8.0186227268062	-4.47114191794433	-17.8055810818114	-3.89438304961688	-21.2278313416199	CTL 0.1 TSBA + AA
GlutamineControlC	27.56569037865	155.958310955117	14.3390588850971	-11.2721315364776	-39.9588353844308	-24.815722912541	-7.99508134547066	-10.0951256772271	6.1511941820286	3.85959817027956	-30.0278712514335	-11.2323830444295	5.7799033627506	-10.7950877253495	-7.1106078823956	25.709372873871	-5.75532049482328	2.4803467153466	3.03685351824067	4.18453095354621	-80.5004487291511	-14.3366588519469	13.4645425602419	12.0502438401497	3.06988178011121	-7.33382573430387	-9.13239877197703	-8.99561711619654	-8.04661515680621	5.69991023321541	17.0979130819003	-3.3505307915166	4.78715729275666	0.267374680042322	16.6732227732041	-3.36634204059186	-9.12654968173272	-2.13758066505823	-4.31974429072709	-0.952917662883833	-6.78459679494673	-10.8845047388612	-0.253380103195221	-1.77218439937205	4.10494785249316	-2.5101164162931	-4.33392533877058	7.73133170018913	-17.0330146935134	-16.1910117768653	-2.34093489953616	6.03904310004625	-3.96937506970392	-3.87843307757257	4.3131770998314	2.12175762238876	-3.00090594927043	-7.93948260131193	-13.6260205409848	-2.59723741905501	1.31514319728793	-4.54065233364029	-2.88251136924195	8.22031594579073	-14.6619289029503	9.37675786343295	-1.01202087808211	-3.72539579515774	-0.983417052303083	-1.35933742126856	-5.1046732951692	-2.94136819409912	25.0791318902534	-5.09453468216409	4.293499316708	-8.16307912155479	-6.35401669066648	17.6400660726406	10.6039611688429	-2.40203036384509	-11.3731316207584	-1.98704473234866	-3.09952277934917	19.405902409841	2.43390016762956	3.62103131785019	-5.77099818521253	-6.70307246280486	-5.54531164161613	-11.3386576972315	0.47423615188504	-3.04256584655229	-2.38836915102853	-11.0614955509693	-4.75606260353564	-5.77478786524773	-6.29942770883847	-8.15345449085432	-8.42616436879545	-2.83022678515896	-26.9165176312701	-16.931554303384	-3.34072340861903	-9.47332442507305	-11.5344178332631	-4.63246459543556	1.09298786088397	-2.88914735416248	4.97831644752661	-3.62897309988356	-2.72353459679419	-11.0453139664041	-1.99557028152258	-2.85632967427726	-6.44083025189364	-15.1228961957875	1.93066767972471	-2.06271449882799	-12.1467911305072	25.369074396924	-2.43861307688949	23.1047147084623	20.512046107034	19.3452263636936	13.1270602432659	14.6129013619434	13.430441069004	0.848718310289499	21.3467122385699	-6.57334983978467	-8.0186227268062	-4.76666922100908	-2.79778199788252	12.9731680393258	-17.7199325611602	CTL 0.1 TSBA + AA
TSBABurkA	-68.1744923775426	101.107967401626	-71.4720760973739	-13.3734380070197	-26.0276187302559	-176.088831041769	-7.03839127232178	-8.56403133023847	0.75167824682947	-66.1370381329777	1.54759039046463	-11.2323830444295	-10.9037173447938	46.7338293407509	-9.58680885157076	-49.5270076637753	-6.50421390320433	-12.816965605313	0.679624126398067	-23.9466161210574	-63.5621284252608	-11.8836323556771	4.46389678348554	-17.9185978595332	-10.3563562619779	-9.02614248196978	-12.2600500796871	-2.32106738634793	-8.50175814620262	-0.114011813830719	-16.536934318509	-13.0158262683716	-8.29573894954656	-16.6222857052067	-9.0912397804054	-6.4345141740072	-7.131188007658	-12.9532395317738	-4.31974429072709	-29.5228104435691	-5.83962830577747	-15.9807032274506	-10.9537735388188	-8.4928578632504	-15.0122933683022	-4.76015819272119	-5.04092515168983	-47.9254231082212	-0.865497048440615	-17.212807692122	-7.73834920495714	-7.56798420484803	-8.16056241382179	-7.77328466480617	-19.2115846231442	18.7645509500154	-1.18169225533726	-7.93948260131193	-13.1148571109386	-13.9682246324981	-21.6575059481293	3.32565179833828	-12.7846389176606	-12.7064254879654	-31.8036442872021	-20.9368896944088	-10.1980965105857	-3.82043896674601	-11.2054977137954	-4.41816263797637	-5.1046732951692	-0.444515516003049	-32.0823584036775	-5.09453468216409	-6.08063713407362	-8.16307912155479	-6.35401669066648	-16.2174660335741	-29.0368513072755	-9.39874486752603	-15.7844280456218	-11.122528704466	-12.5673465488931	-11.7279580072554	-3.99043829577879	-8.85313669754196	-5.77099818521253	-6.70307246280486	-5.54531164161613	-11.3386576972315	-12.8184977572893	-3.04256584655229	-8.08968089966725	-13.5918755110923	-16.2254042873517	-5.77478786524773	-6.29942770883847	-8.15345449085432	-12.5266215688161	-2.83022678515896	-27.3137680440799	-17.3237423357078	-3.34072340861903	-9.47332442507305	-11.7894123846355	-4.63246459543556	-17.8450560395044	-4.06916687114778	-12.4692367229062	-3.62897309988356	-2.72353459679419	-11.0453139664041	-8.15442248852207	-3.47007087804327	-6.44083025189364	-18.1237372071871	-5.28311451594214	-2.06271449882799	-13.86749910848	-12.283765359867	-4.520077200445	-3.48421270136767	-17.5511353704535	-5.94391977680092	-3.43105243190494	-2.91249286803083	-20.9840562875866	-6.61158768736351	-3.95533119168678	-8.07854172811582	-8.0186227268062	-6.23694386256757	-24.0850848780607	-6.48266639617762	-31.610513118962	0.1 TSBA
TSBABurkB	-61.6644202062288	-104.641203483075	4.33021306612186	14.4438342952315	-38.0677017093598	265.255559800006	-1.0765425909751	-2.06779486739653	-20.0661093734508	111.043592961014	-53.6906976367606	21.4198124028157	8.74176818984445	-10.269900008884	70.3877222771047	-18.9214781171066	-4.46086315582895	23.3601654615308	4.45544107947249	11.4309863193761	-72.36773005198	2.02707554017124	-21.4313814784956	-5.81123325391089	-5.71316374143176	-7.40738288523468	7.5294273402903	5.38326175196175	13.5523370927317	27.6322873434201	-11.4551396566225	29.7573895476682	-8.66127158606061	3.7175755024676	66.9686852753853	-1.10581622238257	6.92178189883558	1.3888813344523	-4.31974429072709	2.752948861581	3.52160196120229	46.0735725831382	-0.242881162322904	-4.22929005599008	12.981077168211	0.394937046650887	1.48589282248583	-9.70704843828774	2.61845219621147	-1.98139952108912	8.57313339987073	6.11880989180525	3.04683412056173	-4.16517266201981	-2.33961036869156	6.67016557366743	2.23593324630588	-2.41923352326061	6.42030186072503	2.58233307592381	-12.8611427552678	5.15508264805783	7.77488458481481	3.05090034351615	-11.2477952312442	-25.655087876677	-2.86711456912255	4.05118094064491	3.40752085541115	-0.954025420667105	0.04446676978366	-4.7008700485772	0.777915247373441	-5.09453468216409	-3.12962408891055	-7.164884795237	-2.60926301902319	2.96309387052279	27.2434878503785	8.33133544260118	-2.28439863140787	13.2224493169596	7.71403783463294	2.57777241059897	-0.795736595727951	9.45072893095965	-1.82043242586608	21.9512616573744	-2.08405434763274	19.0106528939386	12.5659411790679	2.81623979746369	0.723133591405603	18.5570756609645	36.4303025524815	7.36258598841226	-6.29942770883847	-8.15345449085432	-1.00853593022029	-0.158542254291418	7.14211213488156	18.662454639281	1.95524332421811	-9.47332442507305	25.3149227241004	6.42071886422962	8.01695511951728	0.798588802525384	9.02165194609342	-3.62897309988356	2.0746842589645	-11.0453139664041	8.93242852506242	3.4032194572518	-6.04047678294427	16.0301356275698	5.54451559547726	-2.06271449882799	-6.11355781836041	6.83641056908859	-1.48806542677516	4.18183988907509	0.836687445888276	17.2827315554969	11.5365944155179	11.3828194333383	-12.9164113976134	3.22897791444945	0.62883115453537	-1.50682506552589	-8.0186227268062	-3.13966005578641	-13.4927399551425	19.4900585072591	-26.6291891428706	0.1 TSBA
TSBABurkC	203.42569706332	150.061363145243	-27.5133280295821	-12.9308014528489	-34.1819290973798	105.231214836029	-21.7194523911097	-9.9425917184704	6.77636180348711	-60.6078572105623	1.44955728835804	-11.2323830444295	-1.40508179170674	-18.4621306044892	-11.4433890110082	-48.2994755758143	-4.13590861062971	6.97064705479915	7.21004762891593	6.42304203042368	-70.0372399297526	16.6590310250076	10.300443203404	-8.53586777368563	-5.37786897793148	-9.02614248196978	-12.2600500796871	-22.4964361381053	-8.50175814620262	5.22169549021847	-10.373760568068	-17.1872463704455	-13.6298892441718	4.23402498265508	-9.0912397804054	-6.4345141740072	-14.3162403021858	-11.799033618025	-4.31974429072709	-10.6112235474551	-11.1573507534599	-14.2543852541491	-10.9537735388188	-8.4928578632504	-12.2284808370336	-4.76015819272119	-5.04092515168983	-47.9254231082212	-13.9444404768367	-17.212807692122	-7.73834920495714	-10.1987866846482	-7.58039919000576	-7.77328466480617	-19.6233594677949	-13.941044656637	-10.3981876004613	-7.93948260131193	-12.959616655905	-12.8056388323101	-21.6575059481293	-12.2383531183835	-12.7846389176606	-12.7064254879654	-31.8036442872021	37.2041982271288	-5.22255883368621	-2.30975180723809	-10.2603236340743	-4.41816263797637	-5.1046732951692	7.0832569548126	-31.5080339218784	-5.09453468216409	-6.08063713407362	-8.16307912155479	-6.35401669066648	-16.2174660335741	-28.4626356503895	-3.84569218693911	-15.7844280456218	-10.4365366554252	-8.70278723028695	-11.7279580072554	-3.99043829577879	-8.85313669754196	-5.77099818521253	-6.70307246280486	-5.54531164161613	-11.3386576972315	-12.8184977572893	-3.04256584655229	-8.08968089966725	-13.5918755110923	-16.2254042873517	-5.77478786524773	-6.29942770883847	-8.15345449085432	-12.5266215688161	-2.83022678515896	-27.3137680440799	-17.3237423357078	-3.34072340861903	-9.47332442507305	-11.7894123846355	-4.63246459543556	-17.8450560395044	-4.06916687114778	-1.66735327309643	-3.62897309988356	-2.72353459679419	-11.0453139664041	-8.15442248852207	-3.47007087804327	-6.44083025189364	-18.1237372071871	-5.28311451594214	-2.06271449882799	-13.86749910848	-12.283765359867	-4.520077200445	-3.48421270136767	-17.5511353704535	-5.94391977680092	-3.43105243190494	-2.91249286803083	-20.9840562875866	-6.61158768736351	-3.95533119168678	-8.07854172811582	-8.0186227268062	-5.50281265381826	-24.0850848780607	-6.48266639617762	-31.3382124180094	0.1 TSBA
TSBAControlA	-60.9062500361184	-73.8772940125369	-71.4720760973739	-12.2127966595889	89.2941187196922	30.1520955622122	-17.8891585141376	-10.6281651292027	13.470058515845	-61.6230830511156	-44.2368481823593	-8.33764778001092	1.18053674221646	-15.0802038892453	-10.3435483757433	36.1172715412134	29.0099283788045	-1.33936030877148	-3.87605456326155	-6.85540164545979	-80.3601431095054	2.54454970474137	-22.7927067129638	-12.5082996817738	-0.528573668907269	14.782301223094	23.748778386833	16.4376854404441	-8.50175814620262	9.39433411778615	-6.37727269880214	-9.02417286922409	10.6272604618274	-0.109129266817253	-9.0912397804054	-5.38128693895106	15.56792491406	-0.352449653601078	-4.31974429072709	0.222538830922515	5.68868384969967	-6.539779545292	-4.43414363744165	-2.45865127721611	5.38130682341016	9.66086954660193	2.07730445824939	6.18425670109336	-16.8563079484618	-3.01962306347414	-0.579717403296136	-0.95363739652309	6.69061078558836	-6.71118476595778	-5.95624163544318	-4.0261413600354	0.42800268041737	-6.01700412766206	-12.006858509619	0.141495762483634	13.0690276903389	-3.61846820475401	-5.55791624991076	3.74512931289489	-10.4209740043133	-16.1696464900224	10.8019757987341	-1.8704958139013	-2.98259948455982	1.7661026080513	-0.870928958094681	-3.33694810725283	-4.51432490856876	-5.09453468216409	-2.49843821033397	-8.16307912155479	-6.35401669066648	1.86724397740431	-9.746880266803	0.686800683230036	-11.5862912494485	-0.545508727182821	-1.80284046489824	10.3773739298622	-0.724858035896559	-3.79766858290272	-5.77099818521253	-6.32999239254379	-4.98052837369152	-9.84613478237692	7.25501953691799	-3.04256584655229	-1.59729699596772	-13.3899516228561	14.9502274947847	-3.72991462612651	-6.29942770883847	-8.15345449085432	-4.22501080868386	-2.83022678515896	-21.6479159540482	-0.736617911544702	-3.34072340861903	-9.47332442507305	-8.96948442062573	-4.63246459543556	5.77322949180794	-4.06916687114778	-5.7896835664888	-3.62897309988356	-2.72353459679419	-11.0453139664041	2.83937186692949	-2.2413255157606	-6.44083025189364	-10.4595755729383	-2.59895879284447	-2.06271449882799	-11.0176161183707	-7.02055296099178	-4.11505849387521	-3.48421270136767	-12.0235329878728	-5.94391977680092	-3.43105243190494	-2.91249286803083	-15.809935981844	-6.61158768736351	-3.95533119168678	-7.19259160499553	-8.0186227268062	-6.23694386256757	-19.612398297146	-6.48266639617762	-27.6928482811568	CTL 0.1 TSBA
