	1/40.0326mz/1.27min	2/40.0340mz/1.38min	3/40.0282mz/1.51min	4/43.0921mz/2.16min	5/45.1039mz/2.19min	7/58.0824mz/2.25min	8/62.0393mz/2.35min	9/59.0753mz/2.39min	10/75.0406mz/2.46min	11/45.0926mz/2.49min	12/43.0922mz/2.59min	13/43.0924mz/2.66min	15/132.0074mz/2.76min	17/40.0274mz/2.94min	19/78.0714mz/3.10min	20/44.0499mz/3.25min	22/45.0662mz/3.30min	25/40.0259mz/3.69min	26/40.0256mz/3.84min	27/39.0756mz/3.81min	29/93.9965mz/3.95min	30/43.0818mz/3.96min	31/40.0252mz/4.15min	32/43.1039mz/4.12min	34/91.0629mz/4.23min	35/60.0487mz/4.32min	36/43.0711mz/4.41min	39/40.0253mz/4.49min	40/55.0688mz/4.51min	43/41.0819mz/4.64min	50/43.1058mz/4.86min	51/60.0427mz/5.11min	52/43.0992mz/5.15min	56/43.0906mz/5.53min	57/40.0257mz/5.62min	58/91.0555mz/5.65min	60/60.0465mz/5.73min	61/44.0420mz/5.82min	62/40.0252mz/5.84min	63/43.0847mz/5.96min	64/104.0610mz/6.00min	65/91.0517mz/6.03min	68/43.0861mz/6.09min	69/44.0532mz/6.12min	71/108.0636mz/6.29min	72/42.0885mz/6.35min	74/78.0428mz/6.40min	76/40.0253mz/6.67min	77/209.0077mz/6.86min	79/43.0779mz/6.96min	81/40.0253mz/7.03min	85/106.0461mz/7.10min	88/125.9527mz/7.26min	90/94.0505mz/7.39min	91/43.0824mz/7.47min	95/57.0847mz/7.49min	96/58.0600mz/7.53min	102/103.0400mz/7.49min	107/118.0253mz/7.68min	108/84.1018mz/7.71min	115/57.0926mz/7.86min	118/57.0905mz/8.00min	121/71.0874mz/7.96min	123/119.0773mz/8.09min	125/57.0968mz/8.13min	130/68.0841mz/8.16min	132/71.0619mz/8.36min	133/91.0604mz/8.41min	134/43.1014mz/8.55min	137/42.0690mz/8.61min	139/57.0833mz/8.74min	140/105.0356mz/8.78min	142/40.0262mz/8.84min	147/43.0790mz/8.96min	152/71.0875mz/9.24min	153/41.0930mz/9.30min	171/112.0852mz/10.12min	174/55.0638mz/10.20min	176/75.0531mz/10.37min	177/58.0584mz/10.62min	179/85.0890mz/10.69min	180/57.0872mz/10.73min	182/57.0891mz/10.80min	185/57.0810mz/11.00min	186/135.0025mz/11.22min	199/57.0897mz/11.85min	204/55.0737mz/12.22min	217/85.0376mz/13.07min	218/55.0811mz/13.35min	221/57.0985mz/13.45min	226/55.0728mz/13.60min	228/43.0710mz/14.18min	231/57.0724mz/14.44min	235/57.0983mz/14.71min	239/169.0631mz/15.11min	241/57.1016mz/15.91min	244/149.0190mz/15.96min	245/71.0788mz/15.96min	248/74.0585mz/16.21min	251/105.0200mz/16.46min	252/41.0788mz/16.59min	256/57.0981mz/17.05min	260/99.0782mz/17.14min	264/221.1306mz/17.46min	266/57.0867mz/18.13min	272/149.0162mz/18.93min	274/57.0884mz/19.16min	277/149.0102mz/19.87min	280/57.0960mz/20.13min	284/57.0902mz/21.07min	286/57.0938mz/21.97min	288/57.0943mz/22.30min	289/158.9436mz/22.54min	292/57.0953mz/22.84min	295/57.0928mz/23.67min	Groups
GlycineBurkA	90.4848242994871	6.89809276384477	-8.57779014089773	10.3703812095098	-87.7724127704149	30.7811789443215	-6.69015455688876	24.4082868786898	15.1417869801228	-23.8468251692728	-8.4029091215596	-19.3559566469948	-3.83663302105548	15.9896553503484	-16.6903442711262	-4.86717065253914	-8.78394071577524	-1.47354464548672	5.91544776910461	-2.62161843908836	19.2632746965124	-11.0048002445733	-12.6307778361058	-12.6854247212852	19.2832007036541	-6.39577163452583	-13.9041441161649	-1.40920811153086	-0.58450722177383	-11.2748950077878	25.4685267142685	-4.31716765170905	-10.4590239790345	-10.211039765371	-6.15141051122907	6.10660395632462	-9.74913023093189	17.6596234743061	2.14358985469459	-0.658439883161983	-3.72690423869947	-1.28437110359283	19.2940898647585	-1.84126261143632	13.1279951817694	-7.96962530598155	1.54321327990013	-1.69466099742615	-5.48971763523592	18.6211949765111	-0.742321167613877	-30.3159611230095	9.21372067900175	-8.55026023388174	6.23118811379864	-2.94750523210324	-0.823162449994007	5.19915723283006	0.294186183829688	1.36370530830141	-1.35207739541448	-5.35311559788112	-1.320021221504	3.94762986101385	5.41988128625609	-2.43701147951082	2.41914700346428	-17.0054984093883	-8.12776705714498	-5.2824500514714	-0.203547550409159	6.66527662789122	-2.1333374578417	8.26569853852345	-7.2403212716462	-4.02282125334799	0.951756778207407	-0.8995136016904	3.31647022874334	-2.82214909571738	-2.75368212722505	-5.936123936677	-3.57163488375642	-1.69718548299402	11.4227275640089	1.75965670431533	-1.87828149784293	5.07684061990697	1.01355724907344	-6.58135435531364	2.22249049689273	2.65058757936167	-2.8933318946937	-14.1104384707011	-3.83746379593098	-0.501730969738099	-15.5120751027766	-18.3079030877307	0.359805812271082	-9.95079864605542	2.32063537681829	-15.2726590923904	-4.40484416049338	-3.98590915626235	-7.30254437888791	-13.6621764465584	-7.06016513095578	-9.63715225909888	-7.16281565697029	-7.15965128820913	-7.29908816584447	-4.66319548252683	-4.95549296178242	-10.2803366033527	-13.313455458812	0.1 TSBA + AA
GlycineBurkB	-52.1616146159166	-49.9125337117703	-11.9421514770943	2.49846928671185	81.3100194447176	48.1492793628764	1.94122158283067	-0.421996572085201	-16.9255213726233	-11.5783977644267	24.9886433815101	34.6629650320385	49.2632240153344	-0.861123114980769	-8.02512045516764	22.5334257006429	-15.4670673570432	-1.91407107951842	4.70124022464999	-3.15358878718284	109.120085961884	-10.9468244282823	-2.33796105218608	-11.19370223386	-6.61526971617672	-6.39577163452583	-13.2654958883685	-10.6596894381342	-2.9971845127203	-0.515481404474119	1.37510209591466	0.760526658787744	15.6801461692404	-14.8812268832363	14.8978854585848	-3.60025478941551	-9.74913023093189	-1.09989063111981	11.8674556374262	-1.26615495360079	4.93451608640714	9.07707897053233	1.52103425174262	2.77915261869367	7.60496605785011	-1.09956468402073	12.6885687180267	-14.4690036440943	5.78669732268924	-1.67040473236654	-18.9348390552525	7.34076147775652	32.9597770406209	13.6781417679869	-2.22170184607995	-4.89355036507414	9.08735622595677	9.40148626140537	11.0068976692046	5.83611960362018	8.46992884050069	-3.47417040964996	6.36220501683487	9.46028633958753	11.3089308720163	3.37379068057183	0.68430282996035	-7.39257704734613	0.984666335160311	-7.76269158783789	-4.88813703174909	23.8921828614522	46.2571874781306	8.33071206453965	-4.81383949847163	-1.18635433809629	1.1603961340102	-1.30786427373797	-3.18703844905109	9.00099051881187	-0.308396995771949	-5.936123936677	4.0614621320254	-1.94997785480454	17.3411694858763	3.14079344880655	4.4930931606285	16.2673214829676	5.53105292029178	-2.31797828599602	8.17423726316089	9.14188963566681	-0.760030455958587	-8.5183391666842	2.00889489729281	13.4256106814241	64.7173384482293	177.193042790906	13.3297298702078	28.4322132366724	-1.16137721724498	-9.82608195907766	-4.40484416049338	3.77917843531212	2.16407631916685	45.9468341884768	-0.796863176994022	34.7671615261371	-1.59342147561815	-4.16652543533953	-3.26829751328392	-4.66319548252683	-2.39241630030584	-4.58215185652884	-9.0709896671886	0.1 TSBA + AA
GlycineBurkC	-36.2613618804905	-11.4117586019717	42.8032697263352	52.923264222165	197.031489451976	52.5746742908055	-6.35603949669794	-5.78330594833072	-18.7460700767458	-9.29249024774493	-70.739960936638	-19.3559566469948	30.4826980291116	-27.6095457096984	5.43738218500827	-6.27901274108155	-8.33238135757951	6.72599226313443	-5.53988225056919	-3.15358878718284	11.1772049718118	-9.99327172741716	-4.51164943073861	35.0820111819919	-10.1218717638797	-6.39577163452583	-13.9723018569298	20.8273108852688	-2.54358475240308	-3.12277503051934	11.3032575833772	-3.29035690135405	-1.10000375733633	19.8346386836909	13.1107851867711	-9.12731195416999	-9.74913023093189	-8.85211548965833	6.16939986038632	7.03947642244132	7.71984185618881	-0.738644964607304	-8.736797963343	7.13967592110723	-8.87578281303217	15.4803876142544	-6.57608254358954	-19.5950141304361	1.82630926871122	29.3766682140011	0.386213616899252	-26.5052718447249	4.66820572085389	15.9283303793025	-8.98331756105311	7.57483644921304	4.75514230421737	-15.0615725177255	-7.32327711897159	-5.62577606681692	11.3626175891157	-6.65482129142539	7.87722033523302	-4.74882151796527	6.33516817454791	1.15223733027441	-4.33351913808698	-15.2498647175261	10.1432871991159	24.1975664039214	-0.99364679746641	-6.03070595939196	-26.0169048646934	-3.51962623862517	18.1194182737353	-10.1409083626041	-3.48312047677268	-4.15260881188686	-3.18703844905109	-7.83943803531371	-2.2281934447905	-5.936123936677	-9.8354000609881	-2.02465311023294	-20.6454800715324	-0.911525874014403	3.11081487247583	-15.1470927099421	-4.39562393249336	-5.6338594936603	2.91782840215936	12.6768032721312	-2.8933318946937	-10.2071874387869	-3.83746379593098	-12.4486302682381	-15.0042762096087	-16.7900182827396	-18.2470702522111	-7.24522109383547	-4.80964520037722	-14.6087110460427	-4.40484416049338	3.51498705419994	-1.54696009300652	-10.7820757963184	-5.03024466518094	-9.06122147284097	-5.1448178340427	-7.58994867469015	-7.0820260824815	-4.66319548252683	-4.95549296178242	-8.31243311906877	-10.7663250708389	0.1 TSBA + AA
GlycineControlA	42.0955703226473	20.7935946515041	-6.73973494734404	18.8091086345598	32.8453723083865	-22.8511244721757	4.78530752091626	-5.99195124593475	-18.0454634310305	-24.0147865891563	68.5165053172834	26.3364481330565	-0.368042319906479	11.1609945126707	57.2713890686731	14.7375000108471	-14.9939870535923	0.300890353672474	8.76317704475713	23.1725149410057	-28.0396003290978	-6.75338165478607	-10.5136521832074	-17.029831732657	-15.1945729310541	-6.39577163452583	-13.0341112834812	2.18218365089258	-1.56301114442969	-7.27801553903658	1.23040976260089	-2.29864131205687	-15.6797338350741	-10.5802496249841	3.00823504038563	5.48896586800174	1.60447687885393	-5.96936101058015	-4.46921958176788	6.77272671475171	7.98376739531869	-1.19390827365388	-4.07232648803478	6.99340738904926	36.329463171296	24.16529648842	18.6489903428257	-6.6762982639436	2.98249663958606	-4.42983777002736	-11.937845808491	41.900814299161	-9.47751531606142	37.6104672933731	38.0889274597142	-9.9052726696141	4.67107458924829	85.8774939274126	42.7751843478613	45.9986378633836	1.61533664510534	-6.62036156296898	-10.468075933836	54.4583694823271	-0.0369633284817482	10.8842610554169	31.1345998926249	20.1338116643495	-8.39921886281591	6.90216288666521	12.874196262715	70.7108324750028	13.8471872652612	-1.09217963463271	-3.24997554622135	40.6196069650167	24.0705282634548	18.2328482612344	24.8846815089838	61.0669935690277	0.98967300085184	-5.936123936677	41.087121814142	-2.71400384885378	146.717446798356	9.52686823890524	9.38796739873522	79.616768801118	21.2565621656866	0.213943344436637	8.8741684717786	-2.05085561793249	2.59366390469918	-12.9055231702224	-3.83746379593098	53.84937100821	-15.2024108021416	-17.3131612918852	100.418414452554	-3.83664443942609	29.0549685693624	13.7558163322596	-4.40484416049338	2.90105563465162	-0.146159308015034	-9.71140330350132	-1.6016975553622	-5.10687175799882	-2.45162576624328	-6.16223808042729	-4.35115908794509	-4.66319548252683	23.8709051200436	-2.62936328401615	8.32933754737331	CTL 0.1 TSBA + AA
GlycineControlB	-18.5080006935942	-29.8540490540926	-12.2024979475421	-37.9371154956316	32.7263538449198	18.3133452764778	-4.46982281063837	0.644800302270002	23.1788932013251	-16.3578203331558	101.449615426166	-19.3559566469948	-7.10399956019821	5.96167779025011	-6.87925639826379	1.65036249360043	-2.53463137878771	-16.1591881977553	7.71297285757986	5.53650155771053	-28.2779804931505	37.7806785640575	15.8304225966514	10.4869165446953	-12.3450792785846	20.8308042495597	51.5391277713745	-19.6645783174223	-1.68781296676117	4.90282154038477	6.28803385210511	-1.84238898167179	-17.2012812223194	-9.74740157895454	13.5463082337983	4.8791774259903	14.4491126554575	-2.71016485502368	4.81212191250624	20.1932386987924	10.8373801442442	-5.47105433275706	3.81135762880663	-4.5479661087416	12.3843300688848	17.468822870685	14.1425058870622	4.25539344174299	8.02622149841509	2.69534285406295	-5.7539872357074	36.6024908494601	-11.8727045984993	-1.56929254442687	1.95962069426995	8.16256882793773	6.14290780709347	12.3245869909961	14.2508184994032	-0.61165267292223	3.38034307049515	-4.25894186081616	-5.56848043782806	19.2008960285532	-7.55458658681348	9.03208847444027	0.430103378646272	14.9487941484165	4.29284874969341	-5.432141343758	2.8937173693364	20.0072155874574	23.1737218898366	8.78957512157513	-2.2644206749101	8.40425079004794	1.68228263850903	1.70528094075339	0.482194303732644	0.716145838133102	1.1797391737097	-5.936123936677	5.67894762392668	-1.18620622874872	4.65949078325605	5.02769771921436	3.20582734141487	1.63196290961466	2.91696647330697	0.521438463094144	2.70080073225208	-6.76569347987648	5.05088216880186	-9.55430503024991	-3.83746379593098	5.42643841942534	-6.27545062145299	-18.5639825730249	13.8743590223476	-0.46294694092329	5.59448571599144	11.5472492146227	5.92253744127589	5.38316057587797	5.45752418128381	-3.77040148786492	1.85182181270104	-3.36538983059385	-0.792974999827125	-5.69321305818209	-6.07615864846632	-4.66319548252683	21.605988172893	-7.37824232549762	-7.95333045501931	CTL 0.1 TSBA + AA
GlycineControlC	-10.8496955892989	-39.1105452249361	-10.3207613648422	-57.6839713066308	-40.8700370980483	7.46947471622581	28.5724306293008	-4.92572011679677	-16.6575541040278	-17.7201884064429	48.2301258965809	12.4784372567511	-7.94393802035819	16.1955276887553	-13.337472268253	-11.5680895120616	58.0139400804812	0.022145667245383	6.79557953904002	-1.38558123559758	-28.5586875175967	-10.2651222723217	-3.5343160608362	-4.78314103512847	16.6203410436333	-6.39577163452583	-13.9566071309607	18.9652349928854	-0.336956672575406	-8.72335615955124	-17.1742156148113	-2.0492964034006	-7.78580381768215	17.9124773704992	2.13953111207872	-13.4974918476491	-5.73877516829463	-1.01132939483745	-0.949944189700868	-12.9796710381572	3.18144224353396	-7.09900214426023	-4.0844611395492	12.666580930307	-7.31627478857508	-7.91189327991517	-3.17549951884078	17.9035460441575	3.90395492942841	-2.24919745282662	-8.94510436576719	26.741834019883	-11.8727045984993	-7.90378078161333	3.34402143283815	6.00101536369984	-3.04735266514064	-9.26859233803097	-4.67063565723663	-1.26052157074833	2.09206113105832	-4.70932444915717	1.37911661734542	-7.25153040401495	4.61190471753376	-0.143578145839896	-4.33351913808698	17.0566051155756	2.01055824895467	-1.42612770467808	7.747832414758	-0.000199173279230209	-9.99566668742088	-3.63725037758053	-3.65628883182527	17.4541792772054	-3.48312047677268	3.25143476742118	-3.18703844905109	-6.72245624988572	-0.573576031036416	-5.35983387317253	24.257351547335	-1.06881483826619	-15.0282158929398	7.33047781795622	-1.42991280477983	-12.1217767348642	-1.03175769003125	-2.40625184232322	1.46439598525486	-11.0482985585212	-2.8933318946937	-10.763995083081	-3.83746379593098	7.2440144625052	-7.25188612134517	-13.9218675090432	-0.252817391902391	-2.86598841471736	-4.80964520037722	4.70171102770546	-4.40484416049338	1.70388236465838	-6.23336925382118	-8.56019137441313	-5.44550878981457	-5.28715964579601	-5.54733381303329	-7.51726686953533	-7.40069303766972	-4.66319548252683	-3.4405332983713	-9.29976611343334	-12.4232046380873	CTL 0.1 TSBA + AA
TSBABurkA	-58.8022140706421	73.3392762868964	18.8674242858358	-57.6839713066308	-195.81642856882	-32.7871366155828	9.84409053972236	-4.22887166247967	2.99724306927553	-29.4929911167052	-40.1488006596342	-9.030581389503	-11.6082808817131	-13.0358474653288	-3.02620724313779	-7.66938040377067	-11.0073081077744	2.60890255780284	-6.10225032057836	-3.15358878718284	30.9408987526344	-11.1003452866913	-0.323656752201165	11.8256293453242	-17.3564699137684	-6.39577163452583	-14.319527026166	3.4991475835937	-6.04673735789048	-12.9076294162393	-12.3916005310865	-4.31716765170905	0.109442695203445	-15.5719198267584	-9.37481237792556	-8.50744692268928	-9.74913023093189	-8.97655094224639	10.6040709886102	-15.5699237432955	-29.7899388724287	-2.97157266117105	-12.6903759569973	-10.1969871619547	-8.87578281303217	-11.6871164000995	-6.13967826646232	-19.5950141304361	-13.6127442896319	-9.92020052811181	19.9092450997303	-44.0202109672559	14.6417525345215	-21.7279113760599	-13.179525223636	-2.13660594025829	-8.16400428228786	-19.0833642550144	-10.6805891445311	-10.2589446508034	-12.4400235952688	-5.08777471875332	14.5407599864033	-13.7228020718687	-14.3024078779645	-13.5997302807091	-4.33351913808698	-18.9240097614777	7.54764223702745	-7.76269158783789	-11.9710771136458	-35.2056262961668	-27.8823002690934	-10.8229679751614	-2.00990457134618	-28.4629200941389	-3.48312047677268	-5.60954513624413	-3.18703844905109	-9.28620634584354	-6.41044906649752	0.494817569994533	-27.9420150852597	-4.97103576130307	-26.0603773564527	-12.624932828349	-8.13181454145205	-16.7185095264383	-4.39562393249336	-12.2521408823291	-8.32100870148273	-13.4083303259423	-2.8933318946937	-15.9119379126484	-3.83746379593098	-15.9762949128088	-20.8844553830507	-19.2615628968406	-18.2470702522111	-9.95079864605542	-4.80964520037722	-17.1287378817268	-4.40484416049338	-13.1901108679629	-7.91073355212332	-14.343199489872	-7.06016513095578	-9.63715225909888	-7.66929746888992	-8.90567722916827	-9.46097865200528	-4.66319548252683	-4.95549296178242	-11.4087012184191	-14.8387176262708	0.1 TSBA
TSBABurkB	-11.2185523865349	-54.6327502181847	-9.73155924050332	-21.5707348565205	213.24618443137	-43.7920563336561	-3.87728831287172	-6.20006541437631	-17.0846696101138	182.699260091154	-41.6192464884412	-0.254492848358224	-8.83787568801177	-12.851810573938	2.18285548116037	0.977459733809942	-0.817777468183726	23.2090830467151	16.3137400053865	-3.15358878718284	-8.24708270584792	64.6799794688304	3.58835870078268	-14.3539566590518	19.2924601577389	43.1269120956986	86.3471273501486	1.56226956679309	0.313049143340135	12.4163680057443	7.21089900341873	34.6231628499499	26.6352736319978	21.0738471596507	-26.3533515539461	6.28368627373911	66.6346529165205	0.0382419677257956	11.8344984779531	0.973563855852397	4.75219656334426	2.75471196636902	34.3332510654195	24.1805241206672	-8.87578281303217	-8.49567820093253	-6.59136210516142	14.9328669682513	14.1714705046309	-2.77671412198973	-10.9065866510476	-8.38644271452777	13.8752810500401	24.5553413995513	1.80114346913561	3.06805655955027	1.5002853416908	-8.79213377213888	-7.79419537080912	-10.2589446500415	0.313633027084738	-0.355765292126399	-10.468075933836	-8.72197346615226	20.0132527409994	2.84625440252417	-4.33351913808698	-10.6049852194481	10.0750987298883	-5.80770506601669	1.05810200276448	-9.55350878847526	-22.6629059937865	6.4812960144167	-5.73600356110193	2.82329582706972	-3.48312047677268	-2.74878461894109	-3.18703844905109	-7.20036250541273	-0.172305563688198	-4.44383734895311	24.5192892217732	-0.167247914935484	-20.3668639125081	-0.88464918576887	12.0091862579556	6.11895505588551	-3.31263752336735	13.5972069791122	2.11556146347112	34.10179141051	16.2621395400072	36.6992215786958	-3.83746379593098	-6.95584466105856	57.5932052255565	-4.71023301470312	-18.2470702522111	32.2564527463407	-2.14119604228663	7.85120470155573	38.1259041636579	11.9738250536742	11.2298809920453	35.9026943462955	19.5728603487434	10.6343833414239	19.1010964611885	16.4439690154279	1.57943324008182	4.92590139552481	-4.95549296178242	4.3625418537603	-7.89656204250577	0.1 TSBA
TSBABurkC	75.0280543165107	50.096014546259	-18.2708100815295	-19.3671253996605	64.9266905101796	12.4216491442065	-5.07724048417275	-7.1870897655095	8.80896385885108	-20.1159183752276	-40.2318452206556	25.477449938176	-11.6082808817131	-3.83375675591288	8.25648412012086	-5.98471246971186	-13.5750180151738	4.44004355508432	-15.7189038667095	-3.15358878718284	8.14997103063618	-10.9678933743129	-1.87588518975187	17.7262559932766	-15.4107190847134	-6.39577163452583	-14.1574401166113	7.67854455792252	-6.04673735789048	-11.9708742056525	-10.3773718007811	-4.31716765170905	5.21044982675963	-18.917198615107	-9.65465733597686	6.84550257038995	-9.74913023093189	-0.398013017772854	-11.150044679216	-14.2385591983257	-9.55039656778881	-8.33882840661625	-11.1112959723483	-15.2325429511062	-8.87578281303217	-11.6871164000995	-5.56013690052317	20.1626036875193	-14.1632157523082	-9.92020052811181	20.5307577668416	-44.0202109672559	-6.80749480760818	-21.7279113760599	-13.179525223636	-5.45301123134977	-8.16400428228786	-18.3741397076155	-10.6805891445311	-10.2589446508034	-13.4536537803077	-3.43845257372538	-10.468075933836	-13.7228020718687	-11.6994188646705	-12.444490161332	-4.33351913808698	-18.9240097614777	-13.9548623740202	-7.76269158783789	-11.9710771136458	-35.2056262961668	43.4724392459149	-9.70372339785934	4.58005995908821	-22.4236415130027	-3.48312047677268	-5.60954513624413	-3.18703844905109	-9.28620634584354	-6.41044906649752	4.0504525534226	-28.3929542292686	20.9480542806207	-26.0603773564527	-7.9241179163161	-8.13181454145205	-16.7185095264383	-4.39562393249336	-12.2521408823291	-8.32100870148273	-13.4083303259423	-2.8933318946937	-15.9119379126484	-3.83746379593098	-15.9762949128088	-20.8844553830507	-19.2615628968406	-18.2470702522111	-9.95079864605542	-4.80964520037722	-17.1287378817268	-4.40484416049338	-0.542057678980525	-7.91073355212332	-14.343199489872	-7.06016513095578	-9.63715225909888	-7.66929746888992	-8.90567722916827	-9.46097865200528	-4.66319548252683	-4.95549296178242	-11.4087012184191	-14.4592293936936	0.1 TSBA
TSBAControlA	-44.6895108225831	-49.196778127027	37.507544786007	-57.6839713066308	-4.66082742184476	-41.1459592762278	-6.62688838643725	21.0901918792533	15.2660492769449	-29.19786225966	-77.8543750396176	-9.81812890865902	-7.92793847447955	4.36213544377353	-11.5877807979227	0.0520234545625892	40.2233554182221	-18.9977964800445	-7.55389655269213	-3.15358878718284	-28.1843129562457	-10.365665756916	14.3498990527659	-15.7302280663381	-13.600412197968	-6.39577163452583	-13.8054053807994	-19.6645783174223	-3.65001545921003	28.9706197907286	-1.47818952422985	-4.31716765170905	9.19954783827853	-5.97664488010153	12.4893305417896	-9.55436535784514	-9.74913023093189	0.0491682195695956	-7.97483069147262	-1.03504337006435	2.04410331104711	8.66412293229431	-9.79022126730479	-6.73034644414173	-8.87578281303217	-8.82126704685513	-5.85591704083898	8.08117673002485	5.76849427734449	-7.27231683780589	8.51495312767552	8.71751442761584	-11.5829085073712	-5.27107400853656	-8.01351432182372	-9.90525053917945	-0.295287617249821	-15.0989508779536	-9.83093743395802	-1.87292884649919	0.5002770400249	-4.70804936645332	2.17486305683544	-11.9812166453836	-12.7849302880452	0.420839272816791	-4.33351913808698	13.9180727292132	-2.04603067589598	-5.10050264045073	2.14716154694857	-8.52169953489757	-22.1609255458276	-1.08567782910143	-4.54199866118563	-4.54610231528069	-3.48312047677268	-1.97697976429374	-3.18703844905109	-9.28620634584354	1.38525554132609	12.5948340904369	-9.96101042227608	1.35223922768033	-24.2898517112741	-7.08150997850153	-2.13238622635933	-15.595405293019	-4.39562393249336	8.18901728711307	-0.193666337897846	-12.4766010782019	-2.8933318946937	15.2373189176222	-3.83746379593098	-9.47484413176591	-7.97975478998422	-12.5544157242785	-18.2470702522111	-6.59688715753435	-4.80964520037722	5.68400521315604	-4.40484416049338	-5.36894301389848	4.40446601087746	-3.06797299708614	2.00828280470603	-2.18655361129371	-0.300208932304537	-1.28526635297277	-2.38029771801837	-4.66319548252683	-4.95549296178242	-4.74919118861861	-9.37891638474838	CTL 0.1 TSBA
